,XBP1,RSK1-2-3,4E-BP1,AMPK_pT172,Caveolin-1,Cyclin_D1,PRDX1,CD31,p38_pT180_Y182,Bcl-2,Bax,4E-BP1_pT70,beta Actin,c-Kit,SHP-2_pY542,Cyclin_E1,C-Raf_pS338,Annexin 1,Bad_pS112,Src_pY416,4E-BP1_pS65,EGFR_pY1068,S6_pS235_S236,MEK1_pS217_S221,STAT5-alpha,Cyclin_B1,p27_pT157,FOXO3a,Beclin,MDMX_MDM4(BetIHC-00108)
2,1.0,3.0,0.0,4.0,2.0,11.0,16.0,12.0,9.0,5.0,6.0,14.0,8.0,62.0,23.0,26.0,24.0,44.0,10.0,15.0,21.0,18.0,43.0,29.0,53.0,19.0,42.0,17.0,37.0,39.0
51,0.0,2.0,3.0,1.0,6.0,47.0,11.0,4.0,12.0,10.0,7.0,14.0,52.0,51.0,16.0,28.0,74.0,13.0,5.0,8.0,48.0,24.0,33.0,32.0,31.0,92.0,40.0,62.0,36.0,55.0
100,1.0,0.0,2.0,5.0,3.0,17.0,7.0,12.0,14.0,4.0,10.0,16.0,35.0,44.0,11.0,13.0,26.0,34.0,23.0,9.0,27.0,6.0,20.0,29.0,49.0,25.0,51.0,60.0,15.0,83.0
149,0.0,1.0,4.0,3.0,2.0,22.0,7.0,19.0,5.0,11.0,6.0,13.0,10.0,18.0,17.0,15.0,24.0,89.0,16.0,12.0,34.0,32.0,20.0,37.0,36.0,28.0,59.0,68.0,31.0,72.0
198,2.0,1.0,3.0,4.0,0.0,23.0,19.0,11.0,5.0,6.0,25.0,12.0,9.0,14.0,20.0,16.0,32.0,34.0,10.0,13.0,31.0,24.0,40.0,48.0,26.0,35.0,22.0,36.0,39.0,67.0
247,0.0,2.0,3.0,4.0,1.0,8.0,13.0,17.0,20.0,5.0,6.0,9.0,21.0,19.0,12.0,7.0,22.0,28.0,10.0,15.0,32.0,37.0,50.0,40.0,41.0,33.0,45.0,27.0,18.0,43.0
296,0.0,3.0,4.0,1.0,2.0,44.0,27.0,14.0,7.0,8.0,6.0,12.0,11.0,31.0,20.0,24.0,25.0,22.0,9.0,10.0,19.0,57.0,13.0,15.0,64.0,35.0,28.0,21.0,34.0,50.0
345,0.0,1.0,4.0,3.0,2.0,19.0,5.0,36.0,8.0,9.0,6.0,17.0,21.0,22.0,20.0,10.0,35.0,45.0,7.0,11.0,41.0,18.0,12.0,30.0,58.0,34.0,42.0,25.0,40.0,60.0
394,0.0,2.0,3.0,4.0,1.0,9.0,16.0,14.0,8.0,7.0,5.0,30.0,22.0,42.0,24.0,10.0,17.0,31.0,13.0,11.0,25.0,27.0,28.0,12.0,55.0,23.0,34.0,47.0,54.0,46.0
443,2.0,3.0,7.0,4.0,0.0,9.0,19.0,8.0,5.0,1.0,16.0,17.0,6.0,29.0,14.0,30.0,18.0,82.0,11.0,15.0,22.0,28.0,26.0,46.0,41.0,38.0,43.0,20.0,52.0,24.0
492,0.0,1.0,2.0,3.0,6.0,5.0,4.0,10.0,12.0,17.0,8.0,7.0,15.0,16.0,19.0,13.0,11.0,14.0,21.0,74.0,25.0,38.0,31.0,48.0,69.0,32.0,26.0,33.0,30.0,29.0
541,0.0,2.0,3.0,7.0,1.0,9.0,8.0,5.0,11.0,12.0,38.0,15.0,4.0,25.0,29.0,17.0,6.0,20.0,16.0,42.0,26.0,37.0,54.0,32.0,43.0,23.0,33.0,66.0,56.0,10.0
590,1.0,2.0,4.0,0.0,3.0,9.0,12.0,8.0,6.0,11.0,18.0,5.0,10.0,25.0,15.0,60.0,14.0,48.0,27.0,36.0,7.0,38.0,17.0,16.0,20.0,45.0,49.0,30.0,22.0,21.0
639,1.0,0.0,4.0,6.0,5.0,3.0,13.0,8.0,11.0,12.0,19.0,9.0,7.0,32.0,18.0,17.0,2.0,52.0,10.0,49.0,25.0,21.0,37.0,45.0,31.0,41.0,26.0,68.0,47.0,20.0
688,3.0,0.0,2.0,7.0,1.0,6.0,4.0,5.0,12.0,9.0,8.0,13.0,14.0,11.0,35.0,10.0,22.0,47.0,15.0,49.0,17.0,33.0,21.0,28.0,40.0,24.0,36.0,29.0,20.0,30.0
737,1.0,0.0,7.0,2.0,3.0,9.0,12.0,6.0,4.0,8.0,11.0,24.0,5.0,13.0,31.0,10.0,14.0,15.0,17.0,26.0,19.0,18.0,27.0,76.0,98.0,25.0,45.0,60.0,30.0,22.0
