,ZBTB20_AMP,NAALADL2_DEL,PKNOX2_DEL,ARID1A_MUT,LRP1B_DEL,MRGPRX1_DEL,MTOR_MUT,GRIN2D_DEL,TMEM230_DEL,ZBTB44_DEL,WDR91_DEL,ZCCHC4_DEL,GRIN2B_DEL,GRIN2A_DEL,MRPL18_DEL,CCDC113_DEL,CHMP4A_DEL,MRPL15_DEL,MED4_DEL,NDUFAF4_DEL,COMMD9_DEL,LINC00652_DEL,THYN1_DEL,STXBP6_DEL,TIMM21_DEL,RANGRF_DEL,CCDC59_DEL,SETD2_DEL,SLC25A4_DEL,LINC00339_DEL
34,13.0,5074.0,17.0,26.0,10217.0,1125.0,1.0,44.0,52.0,57.0,66.0,55.0,49.0,46.0,63.0,58.0,60.0,54.0,53.0,65.0,97.0,64.0,59.0,48.0,56.0,47.0,62.0,61.0,114.0,45.0
83,0.0,5072.0,10766.0,17.0,10195.0,4.0,20.0,52.0,53.0,49.0,51.0,50.0,54.0,55.0,46.0,48.0,58.0,81.0,43.0,44.0,77.0,45.0,59.0,80.0,82.0,78.0,42.0,47.0,76.0,79.0
132,14.0,5079.0,10767.0,15.0,20.0,46.0,40.0,48.0,50.0,59.0,51.0,57.0,52.0,53.0,64.0,62.0,58.0,67.0,61.0,66.0,186.0,65.0,56.0,49.0,55.0,115.0,60.0,63.0,117.0,54.0
181,2.0,5080.0,10771.0,1.0,10199.0,1010.0,32.0,47.0,66.0,52.0,48.0,50.0,116.0,74.0,55.0,53.0,65.0,68.0,60.0,71.0,56.0,57.0,67.0,63.0,69.0,51.0,62.0,54.0,58.0,59.0
230,33.0,5014.0,30.0,19.0,10218.0,17.0,12.0,113.0,114.0,88.0,112.0,89.0,115.0,116.0,63.0,131.0,58.0,55.0,60.0,61.0,50.0,62.0,56.0,53.0,54.0,51.0,59.0,67.0,49.0,52.0
279,0.0,3.0,21.0,1.0,10199.0,43.0,15900.0,59.0,58.0,62.0,65.0,45.0,57.0,52.0,50.0,56.0,66.0,61.0,63.0,60.0,164.0,54.0,64.0,46.0,53.0,116.0,67.0,68.0,118.0,100.0
328,3.0,5078.0,33.0,25.0,10217.0,1127.0,44.0,53.0,54.0,57.0,52.0,51.0,79.0,99.0,50.0,47.0,72.0,68.0,74.0,59.0,63.0,58.0,69.0,66.0,67.0,64.0,73.0,46.0,61.0,65.0
377,12227.0,5079.0,10767.0,16268.0,4.0,987.0,15899.0,56.0,57.0,53.0,55.0,54.0,58.0,59.0,50.0,52.0,66.0,87.0,47.0,48.0,82.0,49.0,68.0,85.0,86.0,83.0,65.0,51.0,81.0,84.0
426,0.0,18.0,24.0,12.0,10197.0,1109.0,30.0,54.0,58.0,55.0,57.0,51.0,50.0,49.0,62.0,56.0,70.0,65.0,59.0,68.0,52.0,67.0,66.0,63.0,64.0,72.0,71.0,60.0,53.0,61.0
475,0.0,5075.0,10766.0,35.0,10215.0,1120.0,15896.0,77.0,78.0,74.0,76.0,75.0,60.0,59.0,70.0,73.0,63.0,104.0,65.0,68.0,181.0,69.0,62.0,123.0,122.0,182.0,64.0,71.0,180.0,183.0
524,12222.0,6.0,19.0,12.0,10214.0,2.0,15896.0,115.0,69.0,45.0,67.0,59.0,94.0,95.0,46.0,44.0,63.0,61.0,65.0,48.0,55.0,66.0,62.0,58.0,60.0,56.0,64.0,43.0,54.0,57.0
573,4.0,5081.0,0.0,20.0,10197.0,1056.0,41.0,77.0,98.0,51.0,115.0,73.0,76.0,99.0,52.0,53.0,50.0,57.0,45.0,46.0,64.0,47.0,65.0,71.0,72.0,69.0,44.0,48.0,63.0,70.0
622,30.0,5077.0,1.0,5.0,10216.0,28.0,15898.0,54.0,53.0,64.0,59.0,61.0,48.0,55.0,46.0,65.0,70.0,66.0,47.0,49.0,56.0,63.0,67.0,60.0,62.0,57.0,68.0,69.0,52.0,58.0
