,hsa-miR-210,ebv-miR-BART7,hsa-miR-148a,hsa-miR-888,hsa-miR-597,hsa-miR-485-3p,hsa-miR-135b,hcmv-miR-US5-1,hsa-miR-590-3p,hsa-miR-587,hsa-miR-588,hsa-miR-583,hsa-miR-584,hsa-miR-589,hsa-miR-586,hsa-miR-582-3p,hsa-miR-582-5p,hsa-miR-581,hsa-miR-580,hsa-miR-577,hsa-miR-591,hsa-miR-590-5p,hsa-miR-579,hsa-miR-578,hsa-miR-596,hsa-miR-576-5p,hsa-miR-592,hsa-miR-593,hsa-miR-628-5p,hsa-miR-576-3p
2029,0.0,2.0,12.0,1.0,3.0,34.0,331.0,238.0,93.0,95.0,67.0,52.0,47.0,94.0,46.0,53.0,64.0,56.0,59.0,62.0,89.0,91.0,60.0,61.0,84.0,63.0,88.0,87.0,40.0,28.0
2078,0.0,3.0,12.0,29.0,61.0,15.0,345.0,241.0,43.0,48.0,55.0,52.0,54.0,53.0,56.0,50.0,51.0,49.0,58.0,85.0,42.0,44.0,47.0,46.0,88.0,98.0,45.0,57.0,70.0,165.0
2127,0.0,181.0,4.0,289.0,92.0,550.0,341.0,234.0,88.0,77.0,17.0,41.0,40.0,89.0,51.0,20.0,42.0,22.0,47.0,26.0,83.0,84.0,48.0,61.0,2.0,49.0,13.0,80.0,46.0,52.0
2176,0.0,9.0,6.0,4.0,10.0,549.0,23.0,239.0,48.0,44.0,46.0,19.0,42.0,47.0,43.0,52.0,62.0,63.0,54.0,59.0,64.0,78.0,56.0,58.0,11.0,60.0,89.0,88.0,55.0,92.0
2225,0.0,223.0,341.0,7.0,23.0,3.0,347.0,38.0,50.0,48.0,47.0,45.0,46.0,49.0,54.0,43.0,44.0,42.0,55.0,56.0,52.0,51.0,64.0,57.0,75.0,71.0,53.0,73.0,112.0,25.0
2274,585.0,10.0,30.0,292.0,9.0,41.0,328.0,239.0,97.0,51.0,69.0,17.0,49.0,70.0,50.0,55.0,45.0,54.0,57.0,63.0,95.0,96.0,58.0,60.0,90.0,65.0,94.0,93.0,61.0,66.0
2323,30.0,1.0,14.0,289.0,4.0,6.0,328.0,25.0,59.0,49.0,13.0,52.0,51.0,60.0,50.0,58.0,54.0,46.0,57.0,48.0,56.0,45.0,55.0,53.0,0.0,47.0,86.0,22.0,65.0,43.0
2372,6.0,15.0,0.0,30.0,80.0,550.0,327.0,3.0,44.0,43.0,42.0,47.0,46.0,2.0,58.0,49.0,59.0,50.0,51.0,54.0,48.0,41.0,52.0,53.0,28.0,55.0,85.0,61.0,64.0,56.0
2421,0.0,188.0,12.0,15.0,64.0,8.0,363.0,241.0,47.0,52.0,51.0,55.0,54.0,61.0,53.0,58.0,56.0,59.0,49.0,48.0,43.0,45.0,50.0,44.0,80.0,88.0,42.0,57.0,31.0,98.0
2470,38.0,17.0,341.0,36.0,86.0,551.0,346.0,242.0,58.0,44.0,45.0,61.0,48.0,47.0,46.0,52.0,50.0,53.0,55.0,23.0,64.0,80.0,56.0,57.0,1.0,51.0,83.0,84.0,43.0,49.0
2519,1.0,190.0,16.0,33.0,6.0,27.0,332.0,243.0,55.0,14.0,49.0,51.0,13.0,56.0,57.0,54.0,46.0,42.0,44.0,47.0,50.0,53.0,48.0,52.0,60.0,45.0,43.0,58.0,70.0,85.0
