,HAEMATOPOIETIC,LARGE_INTESTINE,OVARY,BREAST,STOMACH,LUNG,SKIN,NERVOUS,PANCREAS,OESOPHAGUS,GANGLIA,AERODIGESTIVE,ENDOMETRIUM,PROSTATE,BONE,LIVER,PLEURA,SALIVARY,SOFT_TISSUE,THYROID,KIDNEY,URINARY,BILIARY
47,1.0,5.0,3.0,4.0,6.0,8.0,7.0,10.0,9.0,11.0,0.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,2.0,18.0,19.0,20.0,22.0
96,1.0,2.0,7.0,4.0,8.0,6.0,5.0,10.0,9.0,11.0,0.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,3.0,22.0
145,0.0,1.0,6.0,2.0,9.0,4.0,5.0,8.0,7.0,10.0,11.0,12.0,13.0,14.0,15.0,3.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
194,0.0,2.0,6.0,1.0,3.0,8.0,7.0,9.0,10.0,11.0,12.0,13.0,21.0,14.0,16.0,4.0,15.0,17.0,18.0,19.0,20.0,5.0,22.0
243,1.0,3.0,5.0,4.0,2.0,6.0,8.0,7.0,9.0,10.0,0.0,11.0,12.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
292,0.0,3.0,8.0,6.0,5.0,4.0,7.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,2.0,22.0
341,1.0,5.0,6.0,3.0,7.0,8.0,4.0,9.0,10.0,11.0,0.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,2.0,22.0
390,1.0,2.0,5.0,7.0,4.0,6.0,9.0,10.0,8.0,11.0,0.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,3.0,22.0
439,1.0,5.0,7.0,4.0,9.0,6.0,8.0,10.0,3.0,11.0,0.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,2.0,22.0
488,1.0,5.0,3.0,4.0,6.0,9.0,7.0,8.0,10.0,11.0,0.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,2.0,18.0,19.0,20.0,22.0
537,1.0,6.0,2.0,4.0,5.0,7.0,3.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,21.0,15.0,0.0,16.0,17.0,18.0,19.0,20.0,22.0
586,3.0,6.0,2.0,7.0,11.0,9.0,5.0,10.0,8.0,12.0,0.0,13.0,21.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,4.0,22.0
