,EEF1A1,AP000974.1,CELF2-AS1,NTN4,PREB,RP11-517B11.7,PTS,RP11-161I2.1,TSC22D2,GALNT5,THRB,GABRE,CLPX,AC006159.5,ACSS1,APLN,PCDHB15,LINC00511,THAP10,FAT4,RAET1G,TCEAL3,NR2F1-AS1,RP11-235E17.6,PLEKHA8P1,NCL,B3GNT5,SERP2,CLYBL,LA16c-380H5.5
1138,0.0,2.0,7.0,49.0,224.0,252.0,119.0,18746.0,47.0,8.0,43.0,131.0,21.0,34.0,210.0,1.0,483.0,11899.0,395.0,107.0,1532.0,97.0,105.0,65.0,5025.0,77.0,14713.0,130.0,6379.0,40.0
1187,0.0,27.0,4.0,35.0,91.0,11.0,8.0,138.0,53.0,135.0,77.0,84.0,15.0,3.0,150.0,34.0,21727.0,18.0,168.0,180.0,38.0,196.0,21453.0,64.0,5427.0,13671.0,66.0,101.0,409.0,162.0
1236,6.0,4.0,42.0,5.0,11.0,15.0,21.0,43.0,152.0,379.0,60.0,61.0,215.0,35.0,7425.0,126.0,228.0,142.0,4493.0,14458.0,9.0,323.0,21455.0,76.0,237.0,59.0,138.0,77.0,676.0,352.0
1285,2.0,4.0,35.0,74.0,431.0,6.0,9.0,59.0,3.0,13.0,65.0,142.0,50.0,111.0,79.0,11.0,343.0,152.0,223.0,288.0,80.0,97.0,21516.0,22.0,4994.0,10.0,14672.0,57.0,266.0,270.0
1334,0.0,14.0,18.0,66.0,1.0,57.0,4.0,19217.0,23.0,41.0,60.0,85.0,26.0,11.0,242.0,649.0,206.0,8461.0,1527.0,77.0,170.0,58.0,21924.0,148.0,7441.0,13650.0,209.0,89.0,541.0,316.0
1383,0.0,13.0,7.0,35.0,289.0,14747.0,38.0,19207.0,29.0,65.0,48.0,52.0,3336.0,85.0,139.0,1.0,21718.0,2463.0,327.0,14478.0,281.0,542.0,21450.0,36.0,81.0,13695.0,49.0,118.0,266.0,4084.0
1432,57.0,23.0,19.0,36.0,29.0,154.0,6.0,9.0,83.0,84.0,12885.0,80.0,198.0,131.0,312.0,8.0,21774.0,8523.0,439.0,266.0,23377.0,134.0,21495.0,12023.0,773.0,123.0,182.0,54.0,3242.0,200.0
1481,57.0,14.0,24.0,29.0,0.0,4.0,46.0,59.0,30.0,33.0,106.0,5.0,288.0,10.0,342.0,9118.0,55.0,17.0,3.0,403.0,23375.0,83.0,185.0,153.0,244.0,44.0,14730.0,5888.0,166.0,54.0
1530,21.0,8.0,19.0,6.0,3.0,13.0,10.0,19197.0,14837.0,7.0,2753.0,2.0,88.0,78.0,142.0,9049.0,21836.0,12111.0,0.0,105.0,97.0,217.0,56.0,181.0,79.0,20.0,200.0,5833.0,125.0,116.0
1579,4.0,16.0,22.0,40.0,3.0,2.0,253.0,28.0,11.0,0.0,12793.0,20.0,142.0,22471.0,96.0,704.0,126.0,12128.0,6.0,198.0,151.0,47.0,84.0,55.0,168.0,18.0,27.0,235.0,135.0,1.0
1628,1.0,23.0,4.0,27.0,12.0,18.0,116.0,79.0,14594.0,39.0,12554.0,7.0,141.0,80.0,30.0,1658.0,21827.0,81.0,184.0,108.0,796.0,3.0,2.0,1864.0,4915.0,13675.0,45.0,5818.0,33.0,1362.0
1677,9.0,40.0,2.0,70.0,0.0,7.0,37.0,73.0,26.0,11.0,108.0,148.0,4.0,137.0,79.0,771.0,134.0,118.0,15.0,14444.0,23322.0,71.0,27.0,269.0,128.0,98.0,259.0,32.0,102.0,95.0
1726,0.0,5389.0,3.0,48.0,6.0,4.0,10.0,136.0,22.0,2.0,42.0,12.0,132.0,93.0,146.0,1117.0,182.0,156.0,13.0,242.0,271.0,116.0,65.0,642.0,4825.0,51.0,161.0,6107.0,117.0,20.0
1775,5.0,10.0,7.0,58.0,134.0,23.0,67.0,177.0,77.0,61.0,186.0,18.0,383.0,70.0,46.0,1021.0,498.0,12101.0,30.0,14468.0,109.0,8.0,21453.0,257.0,4743.0,52.0,22.0,6102.0,305.0,145.0
1824,3.0,7.0,26.0,25.0,2.0,11.0,16.0,130.0,28.0,20.0,12806.0,100.0,42.0,22511.0,71.0,7256.0,108.0,11499.0,157.0,321.0,63.0,61.0,55.0,262.0,60.0,0.0,136.0,6509.0,129.0,87.0
1873,0.0,9.0,15.0,138.0,955.0,1.0,88.0,171.0,84.0,5.0,139.0,10.0,16.0,22466.0,7378.0,9066.0,89.0,2600.0,3.0,191.0,208.0,67.0,21513.0,374.0,287.0,292.0,241.0,5349.0,109.0,174.0
1922,1.0,16.0,11.0,31.0,95.0,8.0,66.0,49.0,27.0,22.0,776.0,78.0,87.0,22530.0,171.0,9066.0,155.0,3.0,7.0,234.0,38.0,39.0,119.0,198.0,2408.0,13538.0,5.0,285.0,69.0,130.0
1971,0.0,25.0,63.0,29.0,137.0,76.0,54.0,2.0,18.0,13500.0,12858.0,8850.0,15.0,9.0,7420.0,20.0,33.0,21.0,141.0,80.0,23375.0,9063.0,156.0,175.0,210.0,28.0,295.0,5858.0,297.0,347.0
2020,3.0,4.0,12.0,34.0,2.0,219.0,13.0,80.0,141.0,1708.0,12799.0,253.0,51.0,7.0,322.0,173.0,33.0,12239.0,189.0,98.0,23373.0,724.0,255.0,9976.0,856.0,129.0,14666.0,7197.0,6399.0,48.0
2069,3.0,23.0,40.0,4.0,10.0,9.0,2.0,197.0,14860.0,304.0,54.0,80.0,67.0,6.0,41.0,485.0,62.0,12115.0,171.0,14445.0,141.0,430.0,12.0,504.0,4996.0,13692.0,66.0,5893.0,6386.0,3849.0
2118,191.0,4.0,69.0,62.0,2.0,21.0,25.0,9.0,1851.0,3.0,80.0,36.0,71.0,6.0,9198.0,5.0,88.0,10783.0,329.0,56.0,477.0,396.0,110.0,205.0,334.0,33.0,17345.0,7784.0,6985.0,118.0
2167,6.0,121.0,50.0,4.0,8.0,21.0,0.0,58.0,249.0,59.0,12847.0,68.0,2.0,3.0,137.0,9.0,101.0,11418.0,652.0,13990.0,164.0,548.0,176.0,148.0,111.0,10.0,14715.0,3343.0,240.0,22.0
2216,10.0,7.0,26.0,9.0,301.0,68.0,21.0,100.0,96.0,213.0,12824.0,83.0,130.0,54.0,142.0,139.0,81.0,11506.0,259.0,36.0,126.0,57.0,93.0,191.0,304.0,91.0,14671.0,3248.0,87.0,335.0
2265,2.0,24.0,38.0,3.0,14.0,14775.0,1.0,8.0,123.0,135.0,12826.0,72.0,121.0,48.0,6.0,9092.0,156.0,12125.0,77.0,203.0,225.0,935.0,209.0,2709.0,523.0,215.0,14727.0,5897.0,194.0,111.0
2314,9.0,16.0,52.0,7.0,3.0,19.0,1.0,20.0,14815.0,1256.0,26.0,86.0,100.0,31.0,193.0,72.0,137.0,11875.0,142.0,82.0,95.0,173.0,122.0,2.0,6693.0,132.0,709.0,2718.0,202.0,8.0
2363,4.0,13.0,38.0,0.0,83.0,63.0,47.0,42.0,14850.0,1600.0,68.0,56.0,72.0,22532.0,85.0,3.0,67.0,12177.0,243.0,14451.0,138.0,236.0,21510.0,26.0,210.0,34.0,14673.0,1480.0,6366.0,642.0
