,PXDN,GLB1L2,ZNF853,CDC20P1,SPIN3,EPSTI1,FUZ,AGAP4,C1orf233,GPX3,H2AFY2,MAGEA1,VAMP5,PPARG,PNMAL1,ACKR3,SLC7A2,RHOU,XAGE1E,H3F3B,LINC00942,EMR1,SPON2,TMEM101,AC016683.6,HIC1,OAS1,CLDN11,PKD1P5,MXRA8
9,6.0,3.0,9.0,0.0,13.0,36.0,39.0,73.0,86.0,2.0,35.0,27.0,25.0,167.0,10.0,176.0,248.0,76.0,842.0,83.0,7.0,1.0,19.0,34.0,21.0,62.0,54.0,158.0,28.0,89.0
58,1.0,9.0,11.0,0.0,5.0,6.0,16.0,12.0,38.0,128.0,8.0,3.0,198.0,76.0,4.0,20.0,7.0,51.0,33.0,27.0,61.0,2.0,46.0,67.0,15.0,22.0,63.0,50.0,85.0,29.0
107,0.0,15.0,5.0,3.0,40.0,79.0,19.0,8.0,163.0,4.0,6.0,30.0,32.0,33.0,9.0,67.0,1.0,77.0,66.0,22.0,24.0,2.0,31.0,87.0,88.0,18.0,367.0,20.0,55.0,63.0
156,9.0,6.0,0.0,14.0,25.0,39.0,28.0,1.0,2.0,20.0,4.0,40.0,160.0,12.0,5.0,17.0,3.0,8.0,351.0,22.0,44.0,10.0,18.0,33.0,411.0,35.0,50.0,69.0,56.0,225.0
205,8.0,6.0,0.0,2.0,21.0,1.0,20.0,317.0,28.0,26.0,71.0,954.0,7.0,22.0,24.0,1036.0,12.0,123.0,307.0,35.0,142.0,4.0,45.0,18.0,668.0,41.0,15.0,9.0,13.0,122.0
254,1.0,7.0,3.0,0.0,5.0,27.0,10.0,28.0,132.0,51.0,15.0,102.0,4.0,58.0,2.0,24.0,20.0,32.0,211.0,54.0,333.0,6.0,11.0,70.0,59.0,21.0,379.0,61.0,33.0,55.0
303,0.0,3.0,2.0,1.0,17.0,9.0,47.0,7.0,39.0,10.0,12.0,6.0,14.0,27.0,15.0,21.0,64.0,30.0,68.0,34.0,75.0,5.0,8.0,98.0,136.0,67.0,94.0,81.0,143.0,159.0
352,5.0,6.0,4.0,0.0,9.0,7.0,12.0,82.0,264.0,22.0,34.0,2.0,52.0,81.0,26.0,47.0,31.0,51.0,418.0,45.0,13.0,11.0,383.0,136.0,349.0,96.0,92.0,44.0,35.0,536.0
401,2.0,12.0,13.0,1.0,9.0,3.0,33.0,11.0,35.0,25.0,10.0,0.0,109.0,31.0,7.0,145.0,8.0,42.0,55.0,53.0,18.0,5.0,15.0,40.0,224.0,45.0,27.0,26.0,79.0,94.0
450,0.0,119.0,3.0,1.0,69.0,4.0,24.0,5.0,19.0,7.0,8.0,12.0,32.0,20.0,35.0,37.0,51.0,47.0,642.0,22.0,25.0,2.0,49.0,52.0,6.0,165.0,531.0,31.0,10.0,79.0
499,0.0,17.0,14.0,4.0,3.0,5.0,11.0,49.0,1.0,37.0,24.0,8.0,195.0,10.0,85.0,31.0,6.0,34.0,64.0,59.0,19.0,20.0,47.0,170.0,23.0,33.0,45.0,94.0,16.0,32.0
548,0.0,5.0,2.0,4.0,13.0,6.0,3.0,7.0,1.0,87.0,76.0,15.0,425.0,18.0,159.0,12.0,32.0,11.0,147.0,113.0,111.0,90.0,499.0,122.0,37.0,211.0,52.0,186.0,10.0,202.0
597,2.0,5.0,1.0,6.0,0.0,52.0,10.0,4.0,7.0,121.0,98.0,17.0,15.0,16.0,104.0,63.0,19.0,29.0,194.0,192.0,129.0,57.0,48.0,97.0,56.0,22.0,206.0,11.0,184.0,34.0
646,1.0,14.0,3.0,0.0,18.0,5.0,11.0,45.0,8.0,344.0,67.0,24.0,15.0,12.0,28.0,273.0,55.0,25.0,222.0,23.0,184.0,56.0,62.0,122.0,252.0,20.0,29.0,22.0,47.0,504.0
695,0.0,15.0,14.0,24.0,4.0,39.0,9.0,19.0,6.0,56.0,28.0,13.0,305.0,20.0,83.0,21.0,8.0,76.0,16.0,44.0,18.0,30.0,175.0,59.0,1.0,32.0,45.0,77.0,17.0,109.0
744,0.0,4.0,29.0,24.0,5.0,17.0,20.0,2.0,1.0,12.0,18.0,10.0,79.0,21.0,13.0,56.0,34.0,23.0,31.0,67.0,19.0,107.0,53.0,344.0,28.0,32.0,7.0,14.0,15.0,42.0
793,0.0,11.0,16.0,8.0,20.0,12.0,21.0,19.0,1.0,143.0,28.0,35.0,76.0,5.0,413.0,45.0,3.0,25.0,167.0,68.0,6.0,40.0,36.0,288.0,84.0,10.0,7.0,50.0,105.0,37.0
842,1.0,15.0,14.0,3.0,17.0,25.0,64.0,80.0,0.0,419.0,30.0,5.0,19.0,8.0,56.0,33.0,2.0,21.0,1212.0,28.0,256.0,22.0,29.0,48.0,11.0,10.0,122.0,182.0,49.0,59.0
891,0.0,4.0,12.0,2.0,3.0,8.0,9.0,6.0,1.0,238.0,15.0,17.0,102.0,27.0,24.0,37.0,5.0,22.0,51.0,49.0,7.0,18.0,16.0,340.0,72.0,56.0,69.0,34.0,116.0,31.0
940,3.0,53.0,16.0,5.0,15.0,17.0,14.0,4.0,1.0,63.0,35.0,9.0,213.0,7.0,13.0,11.0,2.0,8.0,514.0,54.0,6.0,12.0,37.0,144.0,32.0,66.0,68.0,27.0,34.0,531.0
989,0.0,2.0,3.0,39.0,70.0,65.0,73.0,30.0,22.0,11.0,24.0,1.0,5.0,9.0,227.0,27.0,18.0,13.0,4.0,60.0,930.0,49.0,131.0,75.0,105.0,152.0,237.0,28.0,2036.0,206.0
1038,0.0,20.0,17.0,11.0,6.0,29.0,27.0,25.0,8.0,5.0,13.0,3.0,1.0,83.0,361.0,12.0,198.0,30.0,31.0,34.0,371.0,168.0,215.0,138.0,413.0,463.0,51.0,26.0,307.0,66.0
1087,7.0,3.0,1.0,9.0,15.0,47.0,23.0,2.0,13.0,42.0,43.0,0.0,10.0,17.0,444.0,72.0,129.0,60.0,14.0,19.0,214.0,52.0,536.0,64.0,110.0,357.0,70.0,33.0,1530.0,356.0
1136,16.0,3.0,4.0,34.0,10.0,33.0,18.0,6.0,1.0,5.0,32.0,0.0,8.0,60.0,510.0,45.0,24.0,28.0,51.0,49.0,226.0,123.0,581.0,243.0,41.0,318.0,252.0,56.0,111.0,44.0
1185,6.0,10.0,2.0,998.0,17.0,142.0,147.0,11.0,0.0,37.0,61.0,1.0,42.0,20.0,374.0,79.0,15.0,33.0,4.0,9.0,529.0,511.0,400.0,109.0,259.0,217.0,135.0,44.0,382.0,3290.0
1234,2.0,0.0,4.0,1.0,19.0,8.0,78.0,3.0,23.0,53.0,157.0,11.0,18.0,10.0,25.0,143.0,86.0,46.0,6.0,381.0,216.0,67.0,532.0,79.0,1802.0,276.0,15.0,72.0,1936.0,81.0
1283,11.0,6.0,0.0,30.0,10.0,24.0,34.0,2.0,4.0,7.0,51.0,13.0,3.0,40.0,245.0,32.0,65.0,48.0,12.0,26.0,167.0,50.0,253.0,71.0,314.0,249.0,33.0,47.0,3203.0,186.0
1332,8.0,0.0,6.0,14.0,10.0,29.0,19.0,4.0,25.0,124.0,70.0,16.0,12.0,31.0,76.0,115.0,38.0,44.0,2.0,34.0,1596.0,30.0,1806.0,190.0,397.0,422.0,80.0,154.0,817.0,49.0
1381,2.0,0.0,4.0,31.0,21.0,44.0,291.0,10.0,9.0,51.0,56.0,6.0,5.0,1.0,146.0,24.0,78.0,11.0,43.0,22.0,805.0,231.0,416.0,61.0,114.0,381.0,138.0,20.0,3961.0,832.0
1430,0.0,2.0,1.0,5.0,3.0,27.0,10.0,11.0,7.0,4.0,120.0,9.0,12.0,49.0,121.0,42.0,19.0,37.0,8.0,40.0,180.0,189.0,368.0,168.0,38.0,617.0,18.0,112.0,626.0,254.0
1479,1.0,5.0,2.0,15.0,54.0,140.0,97.0,14.0,101.0,0.0,17.0,7.0,56.0,81.0,9.0,108.0,18.0,36.0,4.0,339.0,23.0,151.0,16.0,3.0,78.0,55.0,22.0,67.0,92.0,110.0
1528,0.0,46.0,291.0,24.0,5.0,113.0,30.0,48.0,10.0,27.0,7.0,2.0,15.0,55.0,62.0,223.0,19.0,45.0,1.0,17.0,67.0,37.0,16.0,8.0,4.0,34.0,56.0,35.0,332.0,66.0
1577,0.0,31.0,20.0,12.0,3.0,78.0,14.0,21.0,11.0,23.0,34.0,1.0,19.0,62.0,9.0,794.0,17.0,70.0,6.0,25.0,15.0,89.0,56.0,13.0,4.0,50.0,29.0,7.0,738.0,53.0
1626,0.0,1.0,28.0,50.0,7.0,23.0,19.0,43.0,9.0,8.0,45.0,17.0,163.0,115.0,58.0,76.0,5.0,40.0,10.0,59.0,35.0,254.0,52.0,18.0,6.0,39.0,31.0,4.0,64.0,65.0
1675,0.0,9.0,5.0,68.0,22.0,139.0,6.0,114.0,11.0,2.0,39.0,28.0,34.0,80.0,13.0,1339.0,12.0,48.0,1.0,15.0,8.0,215.0,10.0,7.0,46.0,51.0,171.0,35.0,2493.0,158.0
1724,0.0,11.0,6.0,21.0,3.0,162.0,2.0,10.0,27.0,1.0,40.0,99.0,4.0,182.0,5.0,32.0,13.0,26.0,60.0,30.0,20.0,411.0,8.0,15.0,14.0,35.0,38.0,22.0,1240.0,153.0
1773,2.0,8.0,22.0,18.0,4.0,298.0,147.0,11.0,23.0,6.0,10.0,27.0,60.0,239.0,89.0,243.0,0.0,73.0,3.0,78.0,33.0,311.0,5.0,31.0,88.0,7.0,305.0,24.0,135.0,115.0
1822,4.0,0.0,2.0,202.0,9.0,35.0,47.0,7.0,10.0,3.0,26.0,22.0,20.0,34.0,61.0,170.0,18.0,32.0,1.0,53.0,120.0,1512.0,161.0,13.0,41.0,33.0,11.0,8.0,482.0,1295.0
