,1-methylnicotinamide,alpha-glycerophosphate,C22:6 CE,C20:4 CE,C16:0 LPE,pantothenate,oxalate,UMP,niacinamide,N-carbamoyl-beta-alanine,C22:6 LPC,2-deoxycytidine,SDMA/ADMA,3-phosphoglycerate,pyroglutamic acid,phosphocreatine,urate,NADP,isocitrate,C34:2 DAG,5-HIAA,adenosine,2-deoxyadenosine,cystathionine,malondialdehyde,serine,creatinine,hypoxanthine,carnitine,inosine
21,0.0,2.0,4.0,7.0,1.0,8.0,3.0,5.0,6.0,11.0,20.0,16.0,38.0,9.0,51.0,12.0,10.0,44.0,28.0,15.0,14.0,17.0,25.0,37.0,21.0,35.0,58.0,13.0,29.0,32.0
70,0.0,4.0,6.0,3.0,12.0,2.0,5.0,1.0,9.0,17.0,32.0,40.0,15.0,19.0,41.0,8.0,10.0,14.0,11.0,30.0,13.0,22.0,28.0,7.0,34.0,63.0,24.0,16.0,49.0,20.0
119,0.0,1.0,4.0,2.0,12.0,5.0,7.0,3.0,6.0,17.0,9.0,10.0,19.0,34.0,64.0,16.0,8.0,30.0,23.0,20.0,56.0,22.0,36.0,25.0,13.0,51.0,15.0,18.0,57.0,11.0
168,0.0,4.0,6.0,1.0,11.0,3.0,5.0,2.0,27.0,33.0,10.0,40.0,8.0,18.0,44.0,16.0,13.0,20.0,7.0,14.0,46.0,17.0,25.0,28.0,12.0,47.0,23.0,26.0,31.0,24.0
217,0.0,10.0,3.0,1.0,9.0,4.0,2.0,5.0,7.0,13.0,33.0,32.0,26.0,6.0,41.0,12.0,11.0,8.0,25.0,16.0,55.0,29.0,23.0,17.0,53.0,28.0,40.0,21.0,30.0,22.0
266,0.0,1.0,7.0,2.0,3.0,5.0,4.0,6.0,30.0,36.0,8.0,24.0,26.0,19.0,39.0,40.0,23.0,9.0,22.0,10.0,61.0,15.0,21.0,20.0,25.0,29.0,13.0,12.0,31.0,28.0
315,0.0,1.0,6.0,3.0,5.0,7.0,2.0,4.0,9.0,10.0,30.0,21.0,46.0,34.0,22.0,15.0,13.0,18.0,11.0,8.0,41.0,32.0,55.0,27.0,42.0,47.0,29.0,14.0,38.0,19.0
364,0.0,1.0,3.0,4.0,6.0,9.0,2.0,5.0,8.0,14.0,13.0,48.0,32.0,21.0,38.0,10.0,36.0,7.0,17.0,29.0,53.0,33.0,37.0,34.0,41.0,18.0,15.0,19.0,64.0,12.0
413,0.0,2.0,7.0,5.0,52.0,4.0,3.0,1.0,11.0,10.0,24.0,12.0,22.0,42.0,23.0,15.0,21.0,6.0,30.0,29.0,26.0,16.0,27.0,32.0,41.0,14.0,9.0,37.0,38.0,13.0
462,0.0,1.0,7.0,2.0,3.0,6.0,5.0,4.0,15.0,13.0,24.0,10.0,31.0,8.0,18.0,9.0,19.0,20.0,11.0,34.0,17.0,16.0,27.0,25.0,30.0,43.0,21.0,26.0,53.0,28.0
511,0.0,1.0,6.0,5.0,2.0,8.0,7.0,14.0,22.0,12.0,11.0,20.0,4.0,19.0,23.0,34.0,29.0,3.0,25.0,10.0,41.0,28.0,33.0,30.0,49.0,36.0,13.0,40.0,43.0,37.0
560,0.0,1.0,2.0,3.0,7.0,6.0,5.0,4.0,17.0,9.0,12.0,26.0,14.0,27.0,30.0,8.0,15.0,33.0,11.0,10.0,18.0,23.0,21.0,25.0,59.0,22.0,24.0,46.0,31.0,35.0
609,0.0,1.0,2.0,3.0,7.0,19.0,6.0,4.0,12.0,13.0,10.0,40.0,5.0,45.0,11.0,14.0,16.0,15.0,8.0,9.0,21.0,25.0,28.0,32.0,54.0,17.0,20.0,30.0,62.0,27.0
658,0.0,2.0,6.0,1.0,5.0,14.0,7.0,4.0,25.0,10.0,17.0,36.0,3.0,19.0,8.0,12.0,15.0,48.0,11.0,18.0,56.0,24.0,13.0,16.0,46.0,29.0,9.0,27.0,55.0,23.0
707,0.0,1.0,2.0,4.0,3.0,9.0,10.0,5.0,12.0,13.0,11.0,26.0,6.0,19.0,7.0,8.0,38.0,27.0,30.0,16.0,23.0,25.0,17.0,33.0,39.0,54.0,15.0,31.0,57.0,60.0
756,0.0,2.0,1.0,5.0,4.0,27.0,3.0,6.0,18.0,14.0,8.0,11.0,9.0,49.0,12.0,15.0,46.0,23.0,20.0,19.0,10.0,62.0,16.0,28.0,26.0,7.0,43.0,38.0,32.0,53.0
805,0.0,3.0,2.0,1.0,9.0,21.0,4.0,7.0,11.0,5.0,10.0,12.0,6.0,30.0,8.0,15.0,17.0,25.0,31.0,13.0,38.0,50.0,39.0,24.0,52.0,16.0,18.0,19.0,34.0,57.0
854,0.0,3.0,2.0,1.0,9.0,8.0,5.0,15.0,30.0,19.0,22.0,10.0,4.0,37.0,45.0,12.0,41.0,7.0,16.0,6.0,34.0,50.0,13.0,17.0,14.0,11.0,21.0,31.0,18.0,40.0
903,0.0,1.0,2.0,3.0,6.0,14.0,5.0,7.0,26.0,47.0,9.0,19.0,4.0,25.0,18.0,12.0,34.0,10.0,16.0,8.0,21.0,55.0,39.0,51.0,23.0,20.0,22.0,42.0,57.0,37.0
952,0.0,1.0,4.0,2.0,10.0,13.0,3.0,5.0,36.0,29.0,6.0,20.0,7.0,40.0,9.0,12.0,28.0,8.0,24.0,17.0,35.0,31.0,33.0,49.0,22.0,30.0,14.0,15.0,58.0,48.0
1001,1.0,2.0,10.0,4.0,3.0,0.0,5.0,7.0,43.0,27.0,8.0,9.0,24.0,18.0,15.0,13.0,6.0,11.0,32.0,22.0,12.0,63.0,36.0,14.0,17.0,29.0,53.0,55.0,62.0,66.0
1050,0.0,1.0,2.0,7.0,3.0,4.0,10.0,5.0,26.0,27.0,9.0,28.0,6.0,33.0,13.0,20.0,8.0,22.0,36.0,31.0,17.0,40.0,14.0,32.0,12.0,61.0,18.0,41.0,25.0,39.0
1099,0.0,1.0,4.0,3.0,7.0,2.0,6.0,15.0,20.0,40.0,24.0,19.0,5.0,42.0,18.0,30.0,11.0,60.0,27.0,14.0,12.0,9.0,8.0,10.0,17.0,28.0,35.0,46.0,32.0,59.0
1148,1.0,0.0,6.0,3.0,2.0,8.0,4.0,12.0,34.0,23.0,25.0,13.0,5.0,9.0,20.0,28.0,10.0,29.0,42.0,18.0,39.0,45.0,21.0,7.0,22.0,27.0,37.0,33.0,60.0,31.0
1197,1.0,0.0,2.0,5.0,4.0,10.0,3.0,14.0,13.0,25.0,21.0,15.0,6.0,32.0,20.0,45.0,40.0,8.0,41.0,7.0,19.0,54.0,31.0,11.0,33.0,30.0,24.0,9.0,34.0,47.0
1246,1.0,0.0,2.0,5.0,3.0,6.0,4.0,47.0,15.0,22.0,26.0,9.0,8.0,19.0,13.0,33.0,20.0,10.0,29.0,43.0,53.0,23.0,11.0,12.0,16.0,7.0,31.0,24.0,37.0,28.0
1295,1.0,0.0,9.0,3.0,2.0,5.0,4.0,7.0,20.0,19.0,36.0,6.0,12.0,16.0,13.0,43.0,21.0,8.0,47.0,55.0,17.0,38.0,24.0,26.0,33.0,23.0,30.0,11.0,15.0,41.0
1344,0.0,1.0,3.0,6.0,2.0,4.0,5.0,23.0,15.0,9.0,22.0,12.0,17.0,7.0,13.0,27.0,25.0,21.0,31.0,26.0,18.0,44.0,16.0,8.0,60.0,40.0,19.0,14.0,42.0,64.0
1393,1.0,0.0,4.0,3.0,2.0,6.0,5.0,21.0,12.0,18.0,13.0,17.0,15.0,11.0,22.0,53.0,48.0,24.0,27.0,16.0,31.0,43.0,19.0,8.0,33.0,61.0,10.0,20.0,46.0,66.0
1442,1.0,0.0,3.0,2.0,6.0,5.0,4.0,15.0,10.0,49.0,32.0,9.0,7.0,17.0,18.0,46.0,20.0,12.0,14.0,23.0,13.0,37.0,22.0,8.0,11.0,41.0,29.0,19.0,38.0,40.0
