,LEPREL2,CORO6,IFI27,HERC5,CHRNB1,MYEOV,AC005624.2,AFAP1-AS1,EDA2R,GBP5,PLEKHG4,IFITM1,ARTN,RP11-366M4.17,C8orf58,FAM110C,RP11-834C11.4,ZNF625,SLFN12,MFAP2,ABC7-42389800N19.1,SESN1,MT1E,CSAG1,C3orf18,GPX3,CKB,ZNF703,RGL3,FBXO22
2899,0.0,3.0,61.0,15.0,11.0,6.0,4.0,66.0,302.0,78.0,5.0,190.0,22.0,19.0,64.0,63.0,23.0,33.0,91.0,88.0,50.0,41.0,24.0,9.0,52.0,1.0,20.0,37.0,8.0,123.0
2948,3.0,11.0,0.0,2.0,8.0,254.0,5.0,166.0,9.0,7.0,17.0,90.0,125.0,98.0,189.0,20.0,1.0,57.0,44.0,4.0,67.0,14.0,188.0,3498.0,13.0,170.0,1387.0,36.0,31.0,50.0
2997,1.0,49.0,2.0,0.0,5.0,40.0,12.0,61.0,51.0,47.0,30.0,11.0,39.0,10.0,36.0,37.0,4.0,28.0,52.0,42.0,24.0,43.0,140.0,415.0,46.0,19.0,628.0,73.0,266.0,109.0
3046,1.0,2.0,0.0,4.0,6.0,17.0,82.0,65.0,3.0,12.0,34.0,7.0,279.0,5.0,57.0,37.0,54.0,55.0,19.0,29.0,108.0,13.0,228.0,1299.0,45.0,124.0,174.0,308.0,92.0,14.0
3095,19.0,25.0,0.0,1.0,23.0,16.0,2.0,195.0,8.0,3.0,80.0,14.0,85.0,5.0,58.0,35.0,6.0,40.0,39.0,9.0,92.0,17.0,116.0,4133.0,4.0,161.0,277.0,146.0,74.0,12.0
3144,29.0,3.0,0.0,1.0,9.0,52.0,128.0,20.0,6.0,13.0,69.0,2.0,427.0,21.0,114.0,78.0,22.0,220.0,5.0,12.0,55.0,10.0,8.0,1873.0,11.0,38.0,104.0,7.0,53.0,42.0
3193,6.0,12.0,0.0,1.0,3.0,45.0,17.0,77.0,18.0,11.0,294.0,2.0,63.0,37.0,69.0,43.0,7.0,42.0,33.0,9.0,146.0,27.0,38.0,2527.0,8.0,173.0,941.0,429.0,28.0,23.0
3242,3.0,7.0,0.0,2.0,6.0,38.0,1.0,602.0,20.0,12.0,16.0,5.0,70.0,9.0,73.0,46.0,11.0,56.0,14.0,52.0,35.0,48.0,63.0,3158.0,15.0,71.0,51.0,330.0,36.0,74.0
3291,1.0,34.0,2.0,3.0,43.0,103.0,10.0,25.0,7.0,6.0,57.0,20.0,216.0,16.0,46.0,65.0,0.0,48.0,150.0,9.0,33.0,11.0,23.0,345.0,4.0,275.0,195.0,14.0,184.0,26.0
3340,1.0,15.0,0.0,6.0,11.0,35.0,4.0,66.0,2.0,10.0,102.0,7.0,51.0,9.0,110.0,24.0,5.0,74.0,21.0,20.0,52.0,48.0,93.0,3077.0,3.0,70.0,177.0,43.0,14.0,13.0
3389,0.0,286.0,2.0,15.0,11.0,65.0,5.0,97.0,21.0,20.0,95.0,16.0,209.0,63.0,71.0,56.0,1.0,175.0,132.0,94.0,192.0,34.0,28.0,2312.0,7.0,37.0,234.0,69.0,310.0,50.0
3438,0.0,8.0,1.0,5.0,4.0,15.0,378.0,2.0,142.0,14.0,134.0,18.0,98.0,65.0,28.0,7.0,141.0,59.0,6.0,11.0,41.0,68.0,47.0,40.0,723.0,19.0,104.0,12.0,37.0,174.0
3487,8.0,2.0,1.0,47.0,12.0,71.0,37.0,25.0,15.0,14.0,57.0,4.0,144.0,346.0,104.0,5.0,16.0,74.0,90.0,40.0,189.0,23.0,0.0,776.0,26.0,31.0,256.0,192.0,145.0,124.0
3536,3.0,2.0,4.0,33.0,7.0,10.0,11.0,0.0,14.0,5.0,321.0,69.0,122.0,6.0,67.0,19.0,63.0,29.0,42.0,12.0,51.0,24.0,1.0,107.0,109.0,48.0,23.0,20.0,112.0,32.0
3585,2.0,3.0,0.0,21.0,4.0,59.0,6.0,9.0,34.0,8.0,96.0,22.0,94.0,7.0,48.0,19.0,255.0,14.0,832.0,70.0,58.0,44.0,1.0,116.0,84.0,31.0,72.0,41.0,33.0,54.0
