,LEPREL2,MAGEA6,SLFN11,RCOR2,SPANXD,ANPEP,RCN3,ZYG11A,LYPD6B,TUSC3,ZNF215,CCZ1B,FAM98B,EVC2,PDLIM4,KRT13,SEMA3F,RPUSD2,RP11-305M3.2,CORO2A,LINC00665,WNT5A,P2RX5,LIPE,MEIS3P1,PXDN,CBS,AP000783.1,LGALS9,ARTN
2998,0.0,479.0,2.0,13.0,30.0,1.0,3.0,7.0,12.0,15.0,5.0,9.0,6.0,128.0,134.0,54.0,4.0,23.0,16.0,10.0,81.0,39.0,180.0,43.0,38.0,89.0,49.0,88.0,32.0,445.0
3047,1.0,10.0,0.0,29.0,5.0,54.0,7.0,2.0,6.0,20.0,12.0,44.0,11.0,193.0,158.0,46.0,3.0,16.0,22.0,8.0,34.0,154.0,410.0,41.0,98.0,469.0,52.0,68.0,55.0,128.0
3096,0.0,213.0,76.0,3.0,26.0,8.0,34.0,6.0,4.0,32.0,19.0,5.0,1.0,17.0,110.0,47.0,12.0,11.0,2.0,46.0,55.0,168.0,141.0,40.0,33.0,281.0,109.0,1097.0,43.0,402.0
3145,2.0,14.0,20.0,5.0,1.0,22.0,7.0,0.0,15.0,21.0,9.0,8.0,3.0,23.0,1029.0,41.0,6.0,10.0,72.0,231.0,53.0,108.0,57.0,33.0,50.0,200.0,45.0,380.0,147.0,82.0
3194,1.0,79.0,9.0,7.0,28.0,53.0,13.0,5.0,21.0,33.0,0.0,31.0,12.0,8.0,199.0,62.0,3.0,27.0,2.0,61.0,71.0,74.0,442.0,123.0,332.0,2571.0,108.0,396.0,151.0,92.0
3243,0.0,18.0,5.0,17.0,8.0,9.0,4.0,1.0,72.0,21.0,10.0,2.0,16.0,56.0,189.0,61.0,7.0,31.0,11.0,3.0,65.0,42.0,288.0,263.0,63.0,660.0,37.0,173.0,40.0,136.0
3292,0.0,86.0,16.0,12.0,5.0,14.0,2.0,1.0,24.0,94.0,9.0,4.0,22.0,36.0,84.0,175.0,3.0,21.0,8.0,13.0,329.0,11.0,117.0,26.0,93.0,285.0,50.0,1128.0,98.0,362.0
3341,4.0,146.0,3.0,20.0,11.0,2.0,9.0,1.0,16.0,32.0,21.0,73.0,36.0,31.0,154.0,61.0,0.0,27.0,5.0,38.0,184.0,23.0,52.0,247.0,39.0,1207.0,42.0,151.0,85.0,168.0
3390,0.0,3.0,9.0,12.0,45.0,1.0,7.0,2.0,20.0,241.0,85.0,4.0,22.0,88.0,465.0,18.0,5.0,15.0,46.0,21.0,17.0,115.0,164.0,72.0,183.0,96.0,26.0,348.0,31.0,269.0
3439,5.0,61.0,2.0,19.0,11.0,3.0,4.0,51.0,99.0,26.0,0.0,9.0,6.0,31.0,20.0,25.0,57.0,21.0,14.0,104.0,69.0,15.0,33.0,16.0,1.0,29.0,68.0,96.0,106.0,59.0
3488,7.0,21.0,8.0,22.0,0.0,6.0,26.0,18.0,41.0,11.0,1.0,51.0,13.0,70.0,4.0,19.0,3.0,14.0,29.0,27.0,53.0,25.0,36.0,5.0,23.0,40.0,81.0,24.0,108.0,10.0
3537,5.0,7.0,10.0,4.0,8.0,1.0,9.0,36.0,45.0,2.0,3.0,11.0,14.0,18.0,17.0,33.0,23.0,34.0,12.0,74.0,124.0,40.0,43.0,16.0,0.0,32.0,216.0,81.0,97.0,35.0
3586,4.0,13.0,8.0,16.0,3.0,1.0,2.0,18.0,35.0,39.0,11.0,6.0,12.0,61.0,65.0,28.0,29.0,9.0,15.0,10.0,37.0,23.0,58.0,21.0,0.0,78.0,43.0,46.0,60.0,31.0
3635,7.0,21.0,16.0,36.0,3.0,13.0,23.0,53.0,79.0,34.0,0.0,12.0,33.0,61.0,4.0,26.0,87.0,19.0,31.0,119.0,169.0,54.0,40.0,22.0,2.0,1.0,89.0,24.0,45.0,47.0
3684,10.0,51.0,12.0,7.0,6.0,1.0,31.0,18.0,56.0,27.0,0.0,11.0,17.0,15.0,3.0,64.0,28.0,21.0,26.0,163.0,268.0,30.0,19.0,49.0,2.0,22.0,82.0,43.0,72.0,33.0
3733,1.0,99.0,268.0,25.0,15.0,0.0,18.0,12.0,40.0,2.0,9.0,5.0,3.0,61.0,115.0,31.0,68.0,8.0,21.0,43.0,1143.0,106.0,34.0,14.0,4.0,38.0,20.0,98.0,100.0,47.0
3782,1.0,31.0,4.0,24.0,19.0,7.0,2.0,28.0,29.0,14.0,0.0,25.0,26.0,23.0,50.0,52.0,30.0,11.0,16.0,253.0,81.0,18.0,9.0,5.0,8.0,20.0,21.0,27.0,235.0,12.0
3831,9.0,5.0,1.0,16.0,3.0,6.0,2.0,20.0,87.0,11.0,0.0,14.0,10.0,18.0,21.0,22.0,51.0,12.0,39.0,102.0,65.0,7.0,74.0,33.0,8.0,15.0,23.0,34.0,52.0,35.0
3880,4.0,8.0,29.0,13.0,2.0,0.0,1.0,61.0,82.0,34.0,7.0,9.0,19.0,67.0,18.0,408.0,28.0,32.0,40.0,17.0,272.0,169.0,46.0,151.0,12.0,45.0,120.0,33.0,62.0,30.0
3929,10.0,1.0,64.0,2.0,12.0,6.0,35.0,11.0,34.0,15.0,4.0,9.0,27.0,3.0,0.0,24.0,50.0,173.0,18.0,30.0,103.0,28.0,20.0,134.0,8.0,124.0,218.0,71.0,57.0,13.0
3978,27.0,15.0,12.0,8.0,5.0,16.0,19.0,10.0,31.0,6.0,3.0,2.0,9.0,1.0,0.0,23.0,20.0,26.0,11.0,7.0,43.0,80.0,45.0,38.0,4.0,260.0,55.0,47.0,53.0,56.0
4027,8.0,22.0,11.0,5.0,20.0,0.0,14.0,7.0,10.0,13.0,17.0,4.0,15.0,9.0,1.0,50.0,21.0,25.0,6.0,2.0,30.0,16.0,33.0,58.0,3.0,135.0,223.0,48.0,45.0,18.0
4076,3.0,0.0,81.0,5.0,40.0,2.0,45.0,50.0,38.0,6.0,22.0,1.0,8.0,7.0,4.0,21.0,24.0,41.0,90.0,29.0,57.0,224.0,47.0,19.0,13.0,61.0,88.0,32.0,44.0,119.0
4125,3.0,12.0,32.0,10.0,4.0,0.0,14.0,8.0,38.0,6.0,70.0,2.0,41.0,5.0,1.0,37.0,22.0,103.0,11.0,9.0,196.0,84.0,112.0,21.0,45.0,53.0,23.0,97.0,33.0,19.0
4174,1.0,5.0,21.0,13.0,7.0,6.0,14.0,3.0,16.0,2.0,15.0,9.0,19.0,4.0,0.0,25.0,27.0,114.0,12.0,10.0,22.0,79.0,24.0,18.0,8.0,29.0,158.0,20.0,42.0,23.0
4223,0.0,16.0,9.0,8.0,24.0,4.0,13.0,3.0,31.0,30.0,19.0,11.0,6.0,2.0,57.0,26.0,15.0,70.0,20.0,5.0,25.0,23.0,72.0,12.0,1.0,29.0,52.0,67.0,95.0,215.0
4272,15.0,1.0,6.0,13.0,3.0,10.0,22.0,5.0,26.0,17.0,12.0,8.0,30.0,7.0,2.0,35.0,11.0,44.0,27.0,4.0,60.0,63.0,52.0,37.0,0.0,58.0,143.0,16.0,54.0,40.0
4321,10.0,14.0,15.0,8.0,5.0,0.0,25.0,3.0,41.0,7.0,16.0,11.0,12.0,1.0,4.0,37.0,32.0,39.0,22.0,44.0,127.0,35.0,26.0,18.0,6.0,174.0,74.0,61.0,63.0,53.0
4370,6.0,2.0,0.0,41.0,8.0,35.0,89.0,9.0,1.0,19.0,10.0,12.0,42.0,21.0,4.0,36.0,11.0,63.0,5.0,3.0,34.0,62.0,782.0,39.0,7.0,545.0,260.0,55.0,33.0,73.0
4419,1.0,20.0,38.0,19.0,3.0,21.0,22.0,13.0,243.0,28.0,16.0,5.0,2.0,0.0,27.0,40.0,32.0,7.0,323.0,88.0,53.0,18.0,63.0,10.0,17.0,11.0,26.0,8.0,180.0,262.0
4468,2.0,6.0,126.0,13.0,15.0,91.0,73.0,281.0,219.0,33.0,138.0,1.0,8.0,34.0,0.0,20.0,31.0,11.0,23.0,96.0,42.0,37.0,3.0,16.0,59.0,117.0,310.0,7.0,354.0,608.0
4517,0.0,1.0,413.0,6.0,2.0,65.0,11.0,51.0,54.0,35.0,47.0,33.0,30.0,16.0,5.0,25.0,22.0,15.0,23.0,177.0,26.0,7.0,44.0,4.0,18.0,8.0,24.0,3.0,378.0,88.0
4566,19.0,0.0,2.0,10.0,9.0,292.0,24.0,106.0,88.0,6.0,36.0,41.0,14.0,1.0,4.0,16.0,40.0,11.0,70.0,209.0,30.0,15.0,38.0,18.0,13.0,3.0,220.0,7.0,61.0,158.0
4615,6.0,35.0,8.0,23.0,37.0,301.0,14.0,26.0,38.0,31.0,27.0,15.0,13.0,1.0,30.0,16.0,10.0,17.0,120.0,81.0,12.0,7.0,41.0,4.0,5.0,11.0,55.0,2.0,47.0,366.0
4664,1.0,9.0,3.0,16.0,17.0,100.0,56.0,11.0,58.0,33.0,43.0,37.0,4.0,8.0,6.0,30.0,53.0,5.0,66.0,62.0,10.0,2.0,20.0,27.0,7.0,13.0,57.0,0.0,103.0,180.0
4713,8.0,10.0,16.0,6.0,4.0,94.0,23.0,28.0,188.0,17.0,7.0,1.0,12.0,5.0,81.0,25.0,0.0,3.0,32.0,108.0,34.0,2.0,37.0,9.0,33.0,18.0,75.0,14.0,88.0,204.0
4762,5.0,2.0,158.0,13.0,59.0,15.0,20.0,22.0,211.0,47.0,9.0,4.0,6.0,8.0,10.0,29.0,14.0,11.0,30.0,67.0,49.0,16.0,7.0,91.0,38.0,17.0,107.0,3.0,152.0,284.0
4811,10.0,34.0,0.0,109.0,2.0,1159.0,12.0,18.0,168.0,13.0,5.0,55.0,21.0,29.0,17.0,26.0,3.0,7.0,83.0,43.0,4.0,20.0,91.0,8.0,11.0,44.0,30.0,1.0,87.0,74.0
4860,1.0,6.0,55.0,22.0,5.0,31.0,18.0,59.0,300.0,14.0,12.0,2.0,10.0,16.0,0.0,26.0,33.0,8.0,48.0,54.0,36.0,21.0,3.0,15.0,9.0,7.0,159.0,11.0,110.0,52.0
