,SYTL1,DYRK3,BSPRY,ZCCHC24,RP13-580F15.2,GALNT3,ARHGAP27,VAMP8,FAAH2,FAM110C,HMGA1P4,TSTD1,MACC1,TMC6,AP1M1,CEP170,MYO5B,GPR160,FUT3,ITGB6,PPM1F,SH3YL1,ST3GAL2,DSP,RP11-408H20.1,SMPD1,C5orf24,RP11-902B17.1,GPSM1,LOXL3
3927,1.0,0.0,12.0,2.0,10511.0,18.0,29.0,8.0,60.0,32.0,3.0,34.0,751.0,6.0,11172.0,16543.0,11950.0,25.0,10905.0,5.0,27.0,424.0,777.0,19.0,11981.0,71.0,298.0,148.0,115.0,96.0
3976,21.0,0.0,20197.0,19614.0,8.0,22.0,9721.0,11.0,7827.0,20.0,2.0,12.0,22582.0,5.0,11165.0,16512.0,11950.0,1.0,10897.0,6.0,37.0,16475.0,9958.0,17.0,59.0,67.0,7.0,25.0,126.0,16648.0
4025,8.0,2.0,60.0,5.0,85.0,6.0,35.0,10.0,7838.0,22.0,7.0,0.0,22560.0,11589.0,87.0,473.0,11965.0,95.0,10922.0,1.0,31.0,16485.0,130.0,9.0,39.0,4923.0,43.0,1672.0,11.0,84.0
4074,62.0,82.0,20209.0,1.0,26.0,10.0,46.0,9.0,7827.0,3.0,91.0,4.0,22574.0,33.0,990.0,16502.0,52.0,36.0,47.0,2.0,45.0,44.0,9958.0,12.0,11857.0,399.0,20741.0,307.0,231.0,86.0
4123,8.0,175.0,20274.0,6.0,10526.0,5.0,244.0,10.0,7845.0,16483.0,7.0,4.0,22559.0,33.0,2.0,569.0,49.0,0.0,10956.0,16.0,19.0,111.0,9969.0,11.0,11989.0,1.0,181.0,103.0,97.0,16688.0
4172,1.0,22.0,20213.0,3.0,8.0,2.0,6.0,41.0,7828.0,53.0,12.0,21.0,22558.0,11596.0,52.0,71.0,11965.0,14.0,10915.0,11.0,13.0,103.0,9964.0,0.0,316.0,4882.0,20798.0,2023.0,24.0,63.0
4221,6.0,23.0,20201.0,25.0,1.0,5.0,31.0,20.0,7835.0,16473.0,74.0,17321.0,22584.0,11580.0,0.0,16512.0,4.0,42.0,10918.0,2.0,34.0,509.0,9945.0,3.0,28.0,72.0,20734.0,458.0,98.0,16702.0
4270,3.0,0.0,436.0,15.0,2.0,25.0,32.0,35.0,7822.0,21.0,112.0,19.0,810.0,11575.0,11.0,16519.0,1.0,38.0,10902.0,68.0,77.0,37.0,114.0,54.0,73.0,88.0,10.0,2160.0,14.0,360.0
4319,1.0,0.0,20198.0,13.0,3.0,14.0,9831.0,10.0,133.0,96.0,6.0,64.0,22588.0,7.0,11.0,16524.0,75.0,12.0,10901.0,57.0,77.0,29.0,9883.0,20976.0,550.0,27.0,76.0,62.0,19407.0,16631.0
4368,2.0,21.0,16.0,14.0,1.0,0.0,129.0,9.0,114.0,12.0,19380.0,8.0,64.0,95.0,3.0,16493.0,87.0,70.0,59.0,27.0,86.0,85.0,23.0,20948.0,11843.0,4857.0,67.0,43.0,31.0,16644.0
4417,2.0,4.0,1.0,34.0,14.0,27.0,167.0,16713.0,15.0,31.0,19380.0,3.0,94.0,17.0,7.0,32.0,10.0,14836.0,18.0,19.0,8738.0,21.0,51.0,41.0,57.0,4828.0,326.0,185.0,19398.0,55.0
4466,0.0,14.0,5.0,22.0,2.0,38.0,9.0,16765.0,19.0,3.0,36.0,4.0,15.0,17.0,6.0,13.0,18.0,46.0,10886.0,85.0,8757.0,23.0,93.0,35.0,42.0,4797.0,20746.0,63.0,460.0,48.0
4515,1.0,3.0,0.0,17.0,10514.0,44.0,2.0,16721.0,10.0,37.0,715.0,5.0,121.0,11569.0,12.0,13.0,15.0,27.0,4.0,85.0,8798.0,22.0,92.0,41.0,81.0,4899.0,20733.0,111.0,19436.0,23.0
4564,1.0,63.0,0.0,725.0,27.0,5.0,29.0,16664.0,16.0,33.0,1175.0,2.0,20.0,11635.0,6.0,17.0,189.0,14832.0,10911.0,69.0,8795.0,8.0,906.0,28.0,91.0,4887.0,20745.0,212.0,19462.0,50.0
4613,0.0,3.0,1.0,17.0,10533.0,2.0,9.0,45.0,21.0,26.0,19349.0,5.0,20.0,46.0,6.0,14.0,4.0,96.0,10931.0,91.0,73.0,38.0,55.0,29.0,58.0,4873.0,20732.0,116.0,154.0,42.0
4662,1.0,51.0,2.0,52.0,10539.0,6.0,11.0,16667.0,18.0,45.0,29.0,0.0,23.0,3.0,13.0,19.0,66.0,14825.0,10850.0,12819.0,129.0,85.0,168.0,9.0,95.0,4887.0,20745.0,99.0,336.0,4.0
4711,1.0,5.0,0.0,19585.0,10548.0,39.0,12.0,47.0,18.0,3.0,19377.0,21.0,9.0,82.0,2.0,11.0,6.0,14811.0,27.0,267.0,83.0,24.0,9919.0,40.0,11846.0,5850.0,10.0,123.0,19391.0,16697.0
4760,1.0,6.0,0.0,11.0,10509.0,2.0,18.0,16671.0,51.0,5.0,268.0,12.0,196.0,8.0,4.0,15.0,3.0,14819.0,23.0,341.0,87.0,108.0,9950.0,38.0,11972.0,4547.0,13.0,103.0,19410.0,79.0
4809,1.0,4.0,0.0,7.0,671.0,12828.0,11.0,36.0,6.0,2.0,30.0,21.0,5.0,37.0,3.0,15.0,38.0,14811.0,49.0,23.0,61.0,118.0,9938.0,46.0,110.0,8.0,20739.0,114.0,409.0,16670.0
4858,3.0,1.0,0.0,2.0,10488.0,13299.0,15.0,27.0,6.0,16489.0,262.0,22.0,40.0,42.0,17.0,7.0,44.0,14830.0,10918.0,59.0,38.0,16488.0,9932.0,74.0,77.0,680.0,28.0,26.0,19399.0,16671.0
