,NDN,S100A4,MB21D1,HGF,HSD17B11,AC026407.1,TGFB1,TSPYL5,ALKBH3,AC093627.9,PLAUR,TTC31,ANGPTL2,HERC5,CRIP1,POLR2J3,AC016710.1,GSTT1,LUM,JRK,RP11-834C11.4,SDCBP2,AGAP2,SAMD14,DNAJA4,CAMK1D,KLHL3,VILL,MAGEA1,PRRT2
10,1.0,0.0,3.0,6.0,7.0,40.0,17.0,76.0,16.0,13.0,9.0,24.0,5.0,28.0,19.0,10.0,133.0,2.0,11.0,29.0,164.0,44.0,104.0,20.0,33.0,276.0,233.0,613.0,8.0,82.0
59,0.0,4.0,6.0,9.0,30.0,5.0,7.0,11.0,15.0,13.0,1.0,58.0,84.0,17.0,16.0,14.0,40.0,59.0,12.0,43.0,34.0,20.0,31.0,21.0,112.0,62.0,23.0,106.0,2.0,51.0
108,0.0,3.0,1.0,6.0,12.0,4.0,13.0,2.0,123.0,19.0,5.0,10.0,27.0,37.0,29.0,31.0,28.0,11.0,9.0,52.0,144.0,14.0,41.0,32.0,38.0,574.0,33.0,22.0,7.0,26.0
157,0.0,1.0,8.0,18.0,9.0,7.0,13.0,12.0,33.0,29.0,4.0,20.0,97.0,49.0,2.0,37.0,15.0,17.0,6.0,86.0,314.0,61.0,55.0,32.0,425.0,161.0,195.0,35.0,3.0,34.0
206,1.0,0.0,2.0,55.0,17.0,23.0,9.0,39.0,30.0,4.0,3.0,18.0,41.0,306.0,26.0,107.0,129.0,51.0,27.0,36.0,8.0,28.0,72.0,160.0,574.0,109.0,88.0,47.0,6.0,78.0
255,0.0,3.0,2.0,16.0,8.0,13.0,6.0,5.0,24.0,10.0,9.0,17.0,28.0,7.0,1.0,21.0,37.0,4.0,14.0,25.0,130.0,66.0,22.0,49.0,938.0,124.0,69.0,149.0,30.0,27.0
304,1.0,0.0,2.0,4.0,8.0,24.0,15.0,17.0,21.0,30.0,12.0,18.0,26.0,6.0,9.0,48.0,22.0,7.0,3.0,32.0,89.0,39.0,29.0,60.0,807.0,56.0,122.0,154.0,13.0,113.0
353,0.0,1.0,7.0,5.0,9.0,2.0,8.0,3.0,55.0,39.0,4.0,13.0,167.0,109.0,15.0,74.0,28.0,19.0,18.0,45.0,154.0,25.0,35.0,95.0,105.0,78.0,77.0,156.0,6.0,148.0
402,1.0,0.0,5.0,7.0,12.0,4.0,27.0,16.0,3.0,20.0,2.0,29.0,23.0,400.0,36.0,14.0,43.0,11.0,6.0,42.0,53.0,25.0,38.0,35.0,245.0,18.0,39.0,166.0,15.0,51.0
451,0.0,1.0,3.0,6.0,10.0,36.0,7.0,2.0,9.0,40.0,37.0,24.0,19.0,29.0,30.0,14.0,72.0,23.0,5.0,52.0,476.0,41.0,64.0,101.0,120.0,47.0,34.0,54.0,20.0,71.0
