,NDN,S100A4,MB21D1,HGF,HSD17B11,AC026407.1,TGFB1,TSPYL5,ALKBH3,AC093627.9,PLAUR,TTC31,ANGPTL2,HERC5,CRIP1,POLR2J3,AC016710.1,GSTT1,LUM,JRK,RP11-834C11.4,SDCBP2,AGAP2,SAMD14,DNAJA4,CAMK1D,KLHL3,VILL,MAGEA1,PRRT2
500,0.0,1.0,16.0,4.0,31.0,7.0,14.0,225.0,51.0,24.0,21.0,49.0,34.0,3.0,6.0,44.0,12.0,25.0,40.0,37.0,93.0,27.0,70.0,68.0,2.0,129.0,13.0,28.0,194.0,127.0
549,0.0,1.0,2.0,6.0,9.0,54.0,27.0,11.0,20.0,7.0,12.0,30.0,22.0,8.0,21.0,41.0,121.0,37.0,106.0,73.0,81.0,43.0,69.0,93.0,4.0,25.0,31.0,14.0,1088.0,91.0
598,0.0,2.0,1.0,10.0,6.0,2283.0,41.0,25.0,24.0,7.0,67.0,77.0,30.0,78.0,3.0,189.0,11.0,5.0,75.0,12.0,343.0,65.0,60.0,170.0,15.0,4.0,9.0,69.0,46.0,119.0
647,0.0,2.0,7.0,1.0,30.0,8.0,45.0,35.0,12.0,14.0,53.0,34.0,18.0,39.0,162.0,27.0,112.0,111.0,24.0,77.0,97.0,10.0,58.0,16.0,4.0,11.0,56.0,32.0,271.0,48.0
696,1.0,0.0,4.0,3.0,7.0,67.0,14.0,30.0,10.0,9.0,5.0,55.0,57.0,20.0,31.0,33.0,24.0,13.0,22.0,60.0,144.0,80.0,77.0,25.0,18.0,11.0,27.0,272.0,132.0,76.0
745,0.0,1.0,2.0,34.0,37.0,22.0,15.0,7.0,23.0,26.0,9.0,123.0,48.0,5.0,4.0,90.0,60.0,27.0,140.0,118.0,54.0,129.0,371.0,131.0,6.0,11.0,175.0,14.0,71.0,249.0
794,0.0,2.0,15.0,4.0,16.0,14.0,8.0,6.0,68.0,10.0,7.0,95.0,19.0,23.0,89.0,36.0,20.0,5.0,48.0,33.0,181.0,24.0,79.0,42.0,3.0,1.0,35.0,78.0,173.0,94.0
843,0.0,1.0,2.0,5.0,32.0,24.0,27.0,13.0,18.0,4.0,12.0,108.0,149.0,11.0,30.0,29.0,20.0,117.0,138.0,53.0,207.0,39.0,44.0,37.0,3.0,9.0,25.0,14.0,56.0,226.0
892,0.0,1.0,8.0,2.0,13.0,6.0,9.0,4.0,28.0,41.0,20.0,40.0,38.0,25.0,42.0,18.0,14.0,3.0,46.0,64.0,386.0,62.0,61.0,90.0,32.0,7.0,24.0,112.0,80.0,85.0
941,0.0,1.0,5.0,3.0,20.0,35.0,34.0,8.0,361.0,13.0,7.0,65.0,23.0,21.0,10.0,19.0,36.0,87.0,131.0,30.0,63.0,27.0,59.0,40.0,16.0,2.0,47.0,118.0,57.0,58.0
990,1.0,2.0,4.0,3.0,18.0,99.0,7.0,0.0,72.0,162.0,67.0,28.0,108.0,759.0,8.0,24.0,11.0,5.0,9.0,19.0,15.0,60.0,43.0,152.0,40.0,14.0,65.0,21.0,69.0,100.0
1039,0.0,8.0,5.0,1.0,16.0,134.0,11.0,26.0,123.0,277.0,58.0,49.0,12.0,151.0,82.0,3.0,6.0,2.0,96.0,32.0,4.0,27.0,39.0,199.0,62.0,42.0,66.0,35.0,19.0,174.0
1088,0.0,2.0,1.0,4.0,6.0,201.0,28.0,7.0,50.0,43.0,39.0,31.0,98.0,369.0,3.0,9.0,24.0,1459.0,380.0,41.0,19.0,16.0,20.0,660.0,1841.0,8.0,44.0,12.0,87.0,52.0
1137,0.0,11.0,2.0,3.0,7.0,91.0,17.0,1.0,24.0,143.0,37.0,26.0,18.0,77.0,13.0,12.0,9.0,35.0,29.0,63.0,4.0,122.0,21.0,179.0,86.0,8.0,34.0,5.0,536.0,98.0
1186,3.0,11.0,1.0,4.0,6.0,44.0,19.0,0.0,5.0,43.0,42.0,29.0,31.0,252.0,58.0,10.0,7.0,139.0,12.0,27.0,15.0,38.0,36.0,170.0,76.0,14.0,92.0,9.0,35.0,94.0
1235,1.0,42.0,0.0,10.0,23.0,13.0,5.0,4.0,14.0,68.0,44.0,87.0,20.0,83.0,3.0,2.0,15.0,16.0,9.0,36.0,7.0,33.0,57.0,173.0,150.0,26.0,493.0,25.0,297.0,94.0
1284,0.0,7.0,2.0,1.0,4.0,73.0,12.0,22.0,23.0,96.0,46.0,21.0,26.0,54.0,3.0,13.0,6.0,89.0,5.0,58.0,8.0,174.0,67.0,118.0,19.0,56.0,181.0,43.0,95.0,57.0
1333,0.0,7.0,1.0,2.0,5.0,44.0,10.0,3.0,8.0,30.0,28.0,43.0,26.0,149.0,17.0,14.0,27.0,87.0,29.0,67.0,25.0,57.0,15.0,239.0,208.0,88.0,69.0,4.0,2026.0,66.0
1382,0.0,10.0,1.0,3.0,8.0,82.0,12.0,2.0,6.0,368.0,67.0,111.0,57.0,406.0,11.0,4.0,5.0,13.0,16.0,74.0,102.0,27.0,55.0,109.0,9.0,7.0,142.0,33.0,61.0,145.0
1431,0.0,5.0,1.0,3.0,9.0,15.0,25.0,2.0,14.0,48.0,34.0,33.0,51.0,181.0,38.0,4.0,12.0,63.0,119.0,28.0,7.0,45.0,46.0,358.0,55.0,8.0,106.0,21.0,44.0,125.0
1480,5.0,7.0,11.0,1.0,3.0,14.0,28.0,6.0,109.0,15.0,12.0,20.0,25.0,0.0,54.0,35.0,49.0,63.0,24.0,16.0,31.0,225.0,60.0,17.0,992.0,138.0,59.0,140.0,48.0,41.0
1529,5.0,0.0,11.0,1.0,4.0,58.0,12.0,207.0,136.0,25.0,7.0,35.0,48.0,2.0,23.0,27.0,61.0,406.0,49.0,33.0,6.0,71.0,29.0,17.0,997.0,67.0,79.0,83.0,127.0,42.0
1578,16.0,0.0,1.0,5.0,6.0,227.0,12.0,51.0,14.0,29.0,7.0,46.0,37.0,75.0,2.0,43.0,158.0,510.0,34.0,10.0,4.0,30.0,20.0,56.0,223.0,103.0,27.0,281.0,3.0,312.0
1627,4.0,0.0,1.0,2.0,9.0,565.0,14.0,22.0,15.0,41.0,26.0,31.0,37.0,21.0,20.0,88.0,102.0,18.0,125.0,16.0,25.0,56.0,27.0,13.0,314.0,61.0,10.0,181.0,97.0,29.0
1676,16.0,4.0,0.0,1.0,2.0,8.0,29.0,637.0,109.0,30.0,7.0,36.0,70.0,17.0,3.0,200.0,18.0,5.0,59.0,28.0,61.0,266.0,42.0,13.0,55.0,227.0,41.0,199.0,48.0,46.0
1725,1.0,0.0,11.0,10.0,7.0,22.0,2.0,19.0,14.0,28.0,4.0,31.0,159.0,5.0,3.0,154.0,73.0,149.0,124.0,42.0,15.0,56.0,76.0,6.0,81.0,135.0,30.0,131.0,8.0,51.0
1774,105.0,0.0,1.0,4.0,7.0,19.0,31.0,13.0,24.0,20.0,12.0,11.0,100.0,6.0,2.0,135.0,63.0,409.0,76.0,17.0,3.0,137.0,72.0,45.0,30.0,25.0,27.0,86.0,227.0,68.0
1823,5.0,0.0,26.0,13.0,3.0,299.0,1.0,15.0,62.0,33.0,8.0,9.0,38.0,146.0,6.0,835.0,71.0,772.0,96.0,124.0,19.0,40.0,44.0,11.0,4192.0,345.0,24.0,129.0,49.0,59.0
1872,22.0,3.0,1.0,2.0,4.0,27.0,19.0,0.0,68.0,8.0,149.0,15.0,48.0,26.0,12.0,14.0,118.0,1423.0,11.0,35.0,7.0,60.0,33.0,24.0,164.0,1032.0,174.0,221.0,54.0,13.0
1921,9.0,2.0,0.0,1.0,3.0,13.0,4.0,5.0,38.0,33.0,27.0,7.0,57.0,52.0,10.0,163.0,14.0,68.0,58.0,20.0,8.0,62.0,25.0,11.0,444.0,26.0,23.0,143.0,34.0,22.0
1970,1.0,2.0,78.0,9.0,8.0,0.0,13.0,10.0,48.0,12.0,68.0,20.0,7.0,44.0,18.0,156.0,34.0,4.0,77.0,36.0,851.0,22.0,71.0,49.0,30.0,3.0,19.0,136.0,21.0,28.0
2019,0.0,1.0,13.0,28.0,12.0,2.0,44.0,6.0,100.0,5.0,48.0,71.0,4.0,30.0,25.0,128.0,301.0,31.0,27.0,14.0,552.0,716.0,159.0,130.0,38.0,20.0,137.0,125.0,74.0,61.0
2068,0.0,1.0,2.0,41.0,6.0,90.0,20.0,15.0,30.0,53.0,77.0,18.0,10.0,16.0,46.0,131.0,703.0,168.0,8.0,4.0,216.0,112.0,109.0,78.0,5.0,32.0,13.0,23.0,55.0,61.0
2117,0.0,1.0,3.0,34.0,6.0,2.0,17.0,5.0,129.0,75.0,49.0,14.0,10.0,8.0,74.0,222.0,1211.0,18.0,20.0,15.0,88.0,138.0,243.0,77.0,9.0,37.0,145.0,183.0,116.0,69.0
2166,0.0,1.0,4.0,13.0,9.0,8.0,26.0,103.0,27.0,14.0,41.0,33.0,2.0,108.0,17.0,21.0,195.0,22.0,5.0,12.0,59.0,97.0,52.0,99.0,7.0,6.0,213.0,53.0,86.0,34.0
2215,1.0,0.0,16.0,12.0,3.0,4.0,23.0,15.0,297.0,20.0,71.0,13.0,2.0,29.0,69.0,257.0,12548.0,396.0,28.0,10.0,60.0,136.0,73.0,35.0,36.0,11.0,9.0,43.0,48.0,149.0
2264,1.0,0.0,4.0,14.0,9.0,16.0,8.0,7.0,62.0,17.0,148.0,37.0,3.0,28.0,21.0,93.0,307.0,11.0,2.0,12.0,29.0,96.0,90.0,72.0,6.0,24.0,13.0,119.0,18.0,45.0
2313,0.0,1.0,7.0,13.0,3.0,6.0,18.0,9.0,81.0,5.0,40.0,24.0,2.0,125.0,39.0,237.0,339.0,12.0,10.0,4.0,121.0,76.0,178.0,82.0,11.0,8.0,79.0,119.0,110.0,111.0
2362,0.0,3.0,1.0,14.0,18.0,36.0,10.0,38.0,126.0,29.0,73.0,33.0,5.0,21.0,9.0,59.0,372.0,217.0,17.0,48.0,83.0,152.0,130.0,64.0,4.0,6.0,47.0,100.0,363.0,71.0
2411,0.0,5.0,4.0,31.0,10.0,1.0,17.0,11.0,49.0,12.0,83.0,21.0,6.0,34.0,15.0,207.0,270.0,7.0,28.0,25.0,19.0,172.0,145.0,97.0,27.0,2.0,50.0,134.0,478.0,54.0
2460,0.0,16.0,4.0,12.0,65.0,11.0,10.0,26.0,22.0,32.0,86.0,18.0,23.0,1.0,36.0,3.0,109.0,14.0,13.0,92.0,41.0,24.0,83.0,40.0,8.0,35.0,178.0,132.0,270.0,17.0
2509,0.0,1.0,20.0,6.0,15.0,24.0,14.0,343.0,182.0,3.0,31.0,18.0,33.0,2.0,53.0,25.0,287.0,4.0,17.0,26.0,13.0,89.0,58.0,204.0,56.0,42.0,49.0,54.0,660.0,16.0
2558,0.0,1.0,4.0,29.0,19.0,3.0,27.0,45.0,13.0,57.0,34.0,14.0,38.0,23.0,1255.0,15.0,146.0,2.0,8.0,46.0,10.0,66.0,104.0,321.0,32.0,9.0,193.0,85.0,8265.0,61.0
2607,0.0,14.0,26.0,4.0,40.0,2.0,22.0,20.0,24.0,5.0,29.0,8.0,43.0,1.0,50.0,17.0,80.0,9.0,18.0,41.0,19.0,36.0,58.0,117.0,7.0,132.0,142.0,42.0,710.0,16.0
2656,0.0,1.0,8.0,23.0,26.0,177.0,30.0,7.0,37.0,14.0,98.0,31.0,10.0,27.0,9.0,51.0,11.0,4.0,16.0,61.0,40.0,38.0,55.0,118.0,44.0,25.0,18.0,13.0,87.0,33.0
2705,0.0,7.0,2.0,5.0,21.0,4.0,16.0,842.0,17.0,91.0,80.0,25.0,55.0,1.0,99.0,12.0,35.0,121.0,15.0,114.0,50.0,66.0,90.0,75.0,8.0,52.0,110.0,38.0,315.0,23.0
2754,0.0,5.0,17.0,8.0,18.0,1.0,42.0,43.0,14.0,7.0,40.0,19.0,30.0,36.0,10.0,23.0,69.0,6.0,44.0,142.0,20.0,198.0,66.0,103.0,24.0,27.0,68.0,32.0,559.0,16.0
2803,0.0,1.0,34.0,3.0,6.0,8.0,18.0,320.0,21.0,15.0,247.0,10.0,5.0,2.0,93.0,27.0,22.0,16.0,19.0,206.0,105.0,49.0,102.0,75.0,9.0,92.0,52.0,108.0,276.0,13.0
2852,0.0,1.0,8.0,3.0,17.0,14.0,15.0,44.0,78.0,25.0,149.0,6.0,38.0,4.0,371.0,16.0,184.0,28.0,202.0,125.0,37.0,269.0,68.0,131.0,51.0,160.0,13.0,74.0,1636.0,55.0
2901,0.0,2.0,5.0,9.0,24.0,1.0,23.0,12.0,8.0,60.0,39.0,18.0,16.0,15.0,62.0,28.0,98.0,13.0,566.0,103.0,31.0,11.0,37.0,169.0,21.0,42.0,172.0,40.0,104.0,36.0
2950,0.0,1.0,22.0,4.0,83.0,213.0,8.0,479.0,9.0,89.0,10.0,103.0,56.0,25.0,5.0,7.0,18.0,418.0,50.0,68.0,70.0,80.0,26.0,58.0,354.0,6.0,139.0,69.0,78.0,123.0
2999,6.0,0.0,8.0,1.0,5.0,400.0,2.0,17.0,11.0,13.0,15.0,76.0,78.0,192.0,18.0,43.0,151.0,378.0,33.0,39.0,34.0,27.0,14.0,19.0,1948.0,16.0,28.0,51.0,21.0,69.0
3048,0.0,1.0,9.0,2.0,3.0,23.0,5.0,55.0,15.0,8.0,18.0,66.0,39.0,174.0,13.0,35.0,10.0,40.0,172.0,24.0,36.0,34.0,6.0,41.0,307.0,25.0,106.0,88.0,12.0,42.0
3097,0.0,4.0,2.0,1.0,13.0,90.0,5.0,43.0,6.0,9.0,20.0,30.0,34.0,74.0,118.0,51.0,26.0,49.0,19.0,66.0,16.0,61.0,8.0,35.0,70.0,3.0,63.0,45.0,263.0,68.0
3146,1.0,0.0,8.0,2.0,40.0,22.0,3.0,42.0,12.0,11.0,51.0,99.0,87.0,156.0,4.0,74.0,15.0,16.0,39.0,84.0,5.0,55.0,27.0,72.0,90.0,7.0,19.0,65.0,58.0,30.0
3195,0.0,8.0,11.0,2.0,13.0,68.0,1.0,1066.0,5.0,42.0,27.0,104.0,24.0,370.0,71.0,6.0,10.0,45.0,22.0,148.0,20.0,56.0,23.0,9.0,450.0,18.0,67.0,53.0,96.0,26.0
3244,1.0,5.0,9.0,0.0,26.0,169.0,2.0,350.0,8.0,16.0,22.0,154.0,69.0,233.0,4.0,18.0,20.0,15.0,81.0,105.0,61.0,47.0,17.0,126.0,145.0,45.0,49.0,31.0,195.0,74.0
3293,0.0,8.0,6.0,2.0,16.0,15.0,3.0,11.0,1.0,26.0,27.0,115.0,45.0,71.0,63.0,24.0,116.0,20.0,4.0,64.0,22.0,12.0,10.0,14.0,113.0,5.0,144.0,108.0,66.0,136.0
3342,0.0,2.0,26.0,1.0,21.0,144.0,9.0,65.0,7.0,4.0,15.0,100.0,71.0,6.0,152.0,14.0,11.0,67.0,139.0,31.0,39.0,129.0,13.0,19.0,118.0,49.0,185.0,80.0,62.0,45.0
3391,0.0,1.0,145.0,2.0,23.0,67.0,3.0,40.0,62.0,16.0,28.0,105.0,39.0,343.0,22.0,18.0,116.0,26.0,35.0,68.0,37.0,14.0,8.0,17.0,236.0,13.0,129.0,80.0,38.0,50.0
3440,1.0,9.0,0.0,7.0,27.0,3.0,19.0,171.0,2.0,22.0,26.0,44.0,85.0,4.0,74.0,115.0,43.0,1925.0,42.0,37.0,21.0,17.0,80.0,10.0,20.0,175.0,13.0,11.0,8.0,32.0
3489,0.0,1.0,2.0,8.0,19.0,28.0,22.0,13.0,3.0,4.0,9.0,98.0,12.0,33.0,14.0,27.0,23.0,128.0,25.0,6.0,34.0,36.0,43.0,10.0,162.0,53.0,18.0,17.0,26.0,21.0
3538,0.0,46.0,1.0,5.0,6.0,8.0,16.0,99.0,33.0,2.0,20.0,18.0,9.0,3.0,11.0,28.0,12.0,134.0,65.0,21.0,57.0,205.0,30.0,10.0,47.0,287.0,98.0,35.0,19.0,7.0
3587,1.0,4.0,0.0,2.0,32.0,13.0,46.0,29.0,10.0,11.0,17.0,57.0,3.0,36.0,38.0,14.0,12.0,366.0,59.0,63.0,31.0,55.0,23.0,6.0,40.0,329.0,999.0,50.0,19.0,35.0
3636,0.0,2.0,1.0,13.0,10.0,4.0,29.0,75.0,9.0,3.0,6.0,68.0,5.0,15.0,11.0,39.0,33.0,36.0,35.0,17.0,52.0,21.0,88.0,51.0,269.0,151.0,113.0,27.0,18.0,209.0
3685,1.0,2.0,0.0,13.0,10.0,15.0,19.0,59.0,6.0,8.0,18.0,25.0,5.0,140.0,68.0,12.0,23.0,21.0,97.0,36.0,56.0,242.0,38.0,28.0,230.0,400.0,45.0,255.0,7.0,75.0
3734,0.0,6.0,1.0,12.0,7.0,100.0,29.0,21.0,3.0,11.0,5.0,33.0,18.0,59.0,14.0,93.0,31.0,247.0,192.0,35.0,97.0,38.0,23.0,19.0,321.0,83.0,20.0,4.0,8.0,30.0
3783,1.0,7.0,0.0,8.0,28.0,6.0,33.0,75.0,23.0,16.0,80.0,55.0,2.0,20.0,5.0,9.0,69.0,223.0,57.0,52.0,242.0,43.0,47.0,21.0,106.0,76.0,24.0,3.0,4.0,100.0
3832,0.0,1.0,8.0,7.0,34.0,3.0,6.0,42.0,11.0,32.0,25.0,36.0,4.0,20.0,53.0,33.0,5.0,596.0,75.0,29.0,383.0,43.0,44.0,52.0,285.0,111.0,82.0,22.0,2.0,78.0
3881,0.0,1.0,2.0,3.0,12.0,7.0,35.0,13.0,51.0,6.0,23.0,32.0,17.0,93.0,9.0,11.0,27.0,1727.0,562.0,81.0,92.0,52.0,70.0,24.0,80.0,34.0,84.0,10.0,19.0,46.0
3930,0.0,6.0,20.0,5.0,27.0,7.0,1.0,4.0,10.0,39.0,18.0,31.0,37.0,21.0,317.0,61.0,3.0,11.0,369.0,68.0,130.0,23.0,15.0,22.0,334.0,232.0,54.0,33.0,24.0,8.0
3979,1.0,6.0,4.0,0.0,21.0,68.0,35.0,3.0,8.0,40.0,10.0,15.0,84.0,2.0,292.0,12.0,18.0,103.0,31.0,62.0,77.0,14.0,30.0,74.0,38.0,106.0,7.0,11.0,17.0,25.0
4028,0.0,6.0,7.0,1.0,5.0,10.0,31.0,16.0,14.0,58.0,12.0,4.0,3.0,11.0,439.0,70.0,108.0,33.0,167.0,39.0,42.0,15.0,45.0,13.0,29.0,127.0,56.0,69.0,88.0,18.0
4077,3.0,6.0,10.0,0.0,27.0,1.0,2.0,7.0,29.0,28.0,11.0,9.0,63.0,4.0,35.0,127.0,18.0,15.0,134.0,51.0,46.0,23.0,36.0,40.0,47.0,145.0,130.0,75.0,268.0,17.0
4126,0.0,15.0,6.0,1.0,29.0,31.0,18.0,2.0,10.0,147.0,27.0,8.0,3.0,20.0,209.0,171.0,7.0,301.0,90.0,26.0,145.0,34.0,135.0,39.0,70.0,251.0,50.0,91.0,38.0,30.0
4175,6.0,7.0,3.0,1.0,18.0,0.0,14.0,2.0,12.0,28.0,11.0,15.0,49.0,171.0,275.0,19.0,37.0,124.0,92.0,21.0,66.0,25.0,40.0,23.0,50.0,87.0,80.0,138.0,16.0,22.0
4224,0.0,7.0,44.0,1.0,11.0,13.0,12.0,6.0,3.0,49.0,27.0,26.0,23.0,16.0,160.0,255.0,2.0,756.0,302.0,50.0,43.0,9.0,41.0,18.0,48.0,125.0,45.0,59.0,54.0,5.0
4273,0.0,4.0,2.0,3.0,8.0,1.0,28.0,5.0,33.0,6.0,25.0,23.0,16.0,36.0,11.0,185.0,10.0,55.0,134.0,50.0,236.0,60.0,41.0,18.0,7.0,95.0,173.0,54.0,44.0,12.0
4322,0.0,31.0,3.0,4.0,35.0,1.0,45.0,2.0,12.0,34.0,39.0,18.0,6.0,10.0,405.0,41.0,78.0,73.0,97.0,64.0,53.0,17.0,51.0,32.0,36.0,70.0,113.0,47.0,766.0,20.0
4371,0.0,1.0,4.0,3.0,28.0,2.0,5.0,13.0,22.0,14.0,21.0,8.0,7.0,127.0,875.0,59.0,34.0,16.0,137.0,49.0,253.0,12.0,31.0,11.0,976.0,131.0,95.0,104.0,167.0,10.0
4420,0.0,3.0,2.0,9.0,18.0,1.0,16.0,592.0,152.0,43.0,35.0,5.0,6.0,175.0,65.0,100.0,94.0,42.0,11.0,88.0,24.0,12.0,39.0,29.0,31.0,177.0,26.0,14.0,17.0,91.0
4469,1.0,0.0,2.0,10.0,76.0,3.0,17.0,59.0,222.0,263.0,13.0,12.0,40.0,166.0,60.0,27.0,140.0,80.0,133.0,42.0,44.0,74.0,113.0,65.0,20.0,58.0,9.0,35.0,30.0,151.0
4518,1.0,0.0,3.0,4.0,13.0,2.0,6.0,15.0,78.0,109.0,60.0,12.0,228.0,14.0,52.0,19.0,5.0,80.0,84.0,305.0,54.0,48.0,38.0,29.0,26.0,341.0,11.0,36.0,22.0,89.0
4567,3.0,1.0,2.0,11.0,13.0,0.0,8.0,154.0,86.0,296.0,18.0,16.0,28.0,101.0,29.0,36.0,17.0,91.0,14.0,97.0,6.0,23.0,115.0,78.0,79.0,277.0,21.0,4.0,138.0,55.0
4616,0.0,1.0,3.0,14.0,16.0,7.0,4.0,25.0,67.0,446.0,31.0,12.0,40.0,15.0,32.0,26.0,42.0,8.0,465.0,234.0,36.0,48.0,38.0,59.0,95.0,544.0,13.0,19.0,109.0,80.0
4665,2.0,1.0,7.0,53.0,3.0,0.0,10.0,22.0,361.0,152.0,100.0,8.0,19.0,27.0,37.0,113.0,20.0,57.0,84.0,42.0,34.0,69.0,64.0,77.0,4.0,204.0,66.0,55.0,97.0,91.0
4714,0.0,2.0,1.0,4.0,16.0,24.0,8.0,54.0,46.0,182.0,52.0,39.0,22.0,7.0,49.0,29.0,42.0,26.0,100.0,110.0,84.0,43.0,44.0,47.0,5.0,628.0,27.0,11.0,53.0,187.0
4763,1.0,0.0,2.0,17.0,18.0,3.0,4.0,11.0,121.0,868.0,13.0,15.0,28.0,9.0,88.0,46.0,42.0,35.0,21.0,68.0,22.0,29.0,154.0,89.0,143.0,234.0,26.0,6.0,16.0,334.0
4812,2.0,0.0,1.0,5.0,10.0,19.0,9.0,4.0,160.0,130.0,35.0,16.0,100.0,41.0,168.0,115.0,13.0,66.0,87.0,22.0,12.0,137.0,94.0,48.0,7.0,43.0,6.0,17.0,40.0,119.0
4861,2.0,1.0,0.0,7.0,9.0,5.0,13.0,11.0,184.0,25.0,12.0,21.0,288.0,38.0,956.0,60.0,8.0,16.0,51.0,88.0,130.0,63.0,93.0,41.0,42.0,180.0,123.0,3.0,31.0,44.0
