,STOMACH,GANGLIA,HAEMATOPOIETIC,THYROID,LARGE_INTESTINE,URINARY,SKIN,AERODIGESTIVE,PANCREAS,SOFT_TISSUE,BILIARY,KIDNEY,SALIVARY,OESOPHAGUS,BREAST,PROSTATE,PLEURA,BONE,LIVER,OVARY,NERVOUS,ENDOMETRIUM,LUNG
43,4.0,8.0,1.0,6.0,0.0,13.0,3.0,5.0,2.0,14.0,10.0,11.0,9.0,22.0,16.0,7.0,20.0,19.0,15.0,12.0,17.0,21.0,18.0
92,0.0,10.0,1.0,2.0,4.0,6.0,3.0,8.0,5.0,7.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
141,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
190,5.0,9.0,1.0,6.0,3.0,0.0,2.0,13.0,4.0,7.0,8.0,11.0,12.0,21.0,16.0,14.0,17.0,18.0,19.0,10.0,20.0,22.0,15.0
239,0.0,2.0,7.0,4.0,3.0,1.0,5.0,6.0,9.0,8.0,10.0,11.0,12.0,20.0,16.0,14.0,13.0,17.0,22.0,18.0,19.0,15.0,21.0
288,9.0,0.0,1.0,2.0,4.0,10.0,3.0,7.0,5.0,6.0,8.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
337,0.0,6.0,1.0,2.0,4.0,9.0,3.0,12.0,5.0,7.0,8.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
386,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
435,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
484,0.0,6.0,18.0,2.0,1.0,5.0,3.0,7.0,4.0,10.0,8.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,19.0,20.0,21.0,22.0
533,0.0,1.0,6.0,7.0,3.0,9.0,2.0,4.0,5.0,11.0,8.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
582,3.0,7.0,0.0,4.0,2.0,10.0,1.0,5.0,6.0,8.0,9.0,11.0,12.0,14.0,21.0,15.0,13.0,17.0,18.0,19.0,20.0,16.0,22.0
631,0.0,1.0,3.0,4.0,2.0,16.0,5.0,20.0,6.0,7.0,8.0,9.0,10.0,12.0,18.0,13.0,11.0,21.0,19.0,14.0,15.0,17.0,22.0
680,0.0,1.0,8.0,2.0,5.0,10.0,3.0,6.0,7.0,4.0,9.0,11.0,12.0,13.0,14.0,22.0,16.0,17.0,18.0,19.0,20.0,21.0,15.0
729,12.0,0.0,3.0,5.0,1.0,7.0,6.0,2.0,4.0,13.0,10.0,11.0,9.0,21.0,18.0,8.0,16.0,15.0,14.0,19.0,20.0,17.0,22.0
778,0.0,1.0,6.0,2.0,5.0,19.0,7.0,3.0,4.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,22.0,16.0,17.0,18.0,20.0,21.0
827,0.0,1.0,2.0,3.0,5.0,10.0,4.0,6.0,7.0,8.0,9.0,11.0,12.0,13.0,14.0,22.0,21.0,16.0,17.0,18.0,19.0,20.0,15.0
876,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
925,0.0,5.0,1.0,2.0,6.0,10.0,3.0,7.0,8.0,4.0,9.0,12.0,13.0,14.0,21.0,15.0,17.0,18.0,19.0,11.0,20.0,16.0,22.0
974,0.0,1.0,2.0,3.0,5.0,10.0,4.0,6.0,7.0,8.0,9.0,11.0,12.0,13.0,14.0,22.0,16.0,21.0,17.0,18.0,19.0,20.0,15.0
1023,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1072,0.0,2.0,4.0,5.0,3.0,1.0,6.0,8.0,9.0,7.0,10.0,11.0,12.0,20.0,17.0,14.0,13.0,15.0,18.0,16.0,19.0,21.0,22.0
1121,8.0,10.0,0.0,1.0,3.0,9.0,2.0,4.0,5.0,6.0,7.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1170,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1219,1.0,3.0,4.0,7.0,0.0,6.0,5.0,11.0,2.0,17.0,9.0,10.0,8.0,18.0,16.0,19.0,14.0,13.0,12.0,15.0,20.0,21.0,22.0
1268,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1317,0.0,2.0,4.0,6.0,3.0,1.0,7.0,5.0,9.0,8.0,11.0,13.0,12.0,16.0,18.0,10.0,14.0,15.0,21.0,19.0,20.0,17.0,22.0
1366,0.0,1.0,9.0,2.0,4.0,7.0,3.0,5.0,6.0,11.0,8.0,10.0,12.0,14.0,21.0,15.0,13.0,17.0,18.0,19.0,20.0,16.0,22.0
1415,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1464,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1513,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1562,5.0,10.0,6.0,7.0,0.0,3.0,1.0,2.0,4.0,8.0,9.0,11.0,12.0,20.0,15.0,22.0,21.0,16.0,17.0,18.0,19.0,14.0,13.0
1611,6.0,10.0,1.0,7.0,3.0,0.0,2.0,4.0,5.0,8.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1660,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1709,9.0,0.0,10.0,6.0,2.0,5.0,1.0,3.0,4.0,7.0,8.0,11.0,12.0,13.0,16.0,22.0,17.0,18.0,19.0,20.0,15.0,21.0,14.0
1758,16.0,0.0,2.0,10.0,1.0,7.0,3.0,5.0,6.0,4.0,8.0,9.0,11.0,12.0,17.0,22.0,21.0,18.0,19.0,20.0,15.0,13.0,14.0
1807,6.0,1.0,7.0,8.0,3.0,0.0,2.0,4.0,5.0,18.0,9.0,10.0,11.0,13.0,14.0,15.0,12.0,16.0,17.0,19.0,20.0,21.0,22.0
1856,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1905,6.0,1.0,10.0,7.0,3.0,0.0,2.0,4.0,5.0,8.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1954,0.0,2.0,4.0,5.0,3.0,1.0,6.0,10.0,8.0,7.0,11.0,13.0,12.0,20.0,17.0,9.0,15.0,14.0,21.0,18.0,19.0,16.0,22.0
2003,0.0,8.0,3.0,6.0,1.0,12.0,5.0,2.0,4.0,21.0,10.0,11.0,9.0,20.0,17.0,7.0,15.0,14.0,13.0,18.0,19.0,16.0,22.0
2052,0.0,7.0,2.0,8.0,1.0,6.0,3.0,4.0,5.0,18.0,9.0,10.0,11.0,21.0,16.0,12.0,14.0,22.0,17.0,19.0,20.0,15.0,13.0
2101,0.0,7.0,1.0,8.0,3.0,6.0,2.0,4.0,5.0,11.0,9.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2150,0.0,7.0,2.0,8.0,6.0,1.0,5.0,3.0,4.0,16.0,9.0,10.0,11.0,12.0,13.0,14.0,21.0,22.0,15.0,17.0,18.0,19.0,20.0
2199,0.0,7.0,1.0,10.0,3.0,6.0,2.0,4.0,5.0,18.0,8.0,9.0,11.0,13.0,14.0,15.0,12.0,16.0,17.0,19.0,20.0,21.0,22.0
2248,0.0,7.0,2.0,8.0,1.0,6.0,3.0,4.0,5.0,18.0,9.0,10.0,11.0,21.0,16.0,12.0,14.0,22.0,17.0,19.0,20.0,15.0,13.0
2297,0.0,7.0,2.0,8.0,1.0,6.0,3.0,4.0,5.0,18.0,9.0,10.0,11.0,21.0,16.0,12.0,14.0,22.0,17.0,19.0,20.0,15.0,13.0
2346,0.0,6.0,1.0,7.0,3.0,5.0,2.0,8.0,4.0,18.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,19.0,20.0,21.0,22.0
2395,0.0,6.0,2.0,7.0,1.0,19.0,3.0,4.0,5.0,16.0,8.0,9.0,10.0,11.0,12.0,14.0,22.0,21.0,15.0,17.0,18.0,13.0,20.0
2444,0.0,6.0,2.0,7.0,4.0,1.0,3.0,8.0,5.0,11.0,9.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2493,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2542,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2591,0.0,1.0,4.0,6.0,2.0,18.0,7.0,3.0,5.0,8.0,10.0,11.0,12.0,19.0,15.0,9.0,14.0,13.0,21.0,16.0,17.0,22.0,20.0
2640,0.0,2.0,7.0,3.0,5.0,1.0,8.0,6.0,9.0,4.0,10.0,12.0,13.0,20.0,16.0,14.0,15.0,17.0,18.0,11.0,19.0,22.0,21.0
2689,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2738,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2787,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
