,guanosine,C22:6 CE,C16:0 LPE,asparagine,creatine,N-carbamoyl-beta-alanine,beta-alanine,sarcosine,carnitine,putrescine,2-deoxycytidine,C56:5 TAG,1-methylnicotinamide,butyrylcarnitine/isobutyrylcarnitine,GABA,C22:6 LPE,homocysteine,3-phosphoglycerate,C36:1 DAG,C20:4 CE,C18:0 LPE,taurodeoxycholate,inositol,PEP,cis/trans-hydroxyproline,serine,2-deoxyadenosine,DHAP/glyceraldehyde 3P,inosine,C22:6 LPC
1203,1.0,10.0,0.0,31.0,15.0,12.0,36.0,23.0,50.0,21.0,20.0,13.0,18.0,65.0,64.0,8.0,17.0,66.0,9.0,26.0,40.0,2.0,35.0,55.0,28.0,63.0,19.0,39.0,4.0,24.0
1252,2.0,0.0,1.0,28.0,17.0,55.0,7.0,36.0,50.0,49.0,5.0,54.0,20.0,21.0,13.0,24.0,26.0,66.0,19.0,18.0,40.0,34.0,31.0,6.0,9.0,51.0,60.0,32.0,8.0,38.0
1301,6.0,47.0,5.0,39.0,13.0,10.0,7.0,21.0,19.0,16.0,14.0,62.0,17.0,51.0,63.0,23.0,8.0,66.0,25.0,46.0,4.0,35.0,37.0,1.0,49.0,2.0,55.0,33.0,36.0,22.0
1350,10.0,1.0,3.0,2.0,15.0,16.0,11.0,13.0,12.0,22.0,7.0,58.0,65.0,21.0,57.0,17.0,23.0,9.0,40.0,41.0,46.0,51.0,0.0,29.0,54.0,50.0,14.0,26.0,32.0,37.0
1399,8.0,10.0,7.0,5.0,23.0,56.0,6.0,17.0,4.0,12.0,63.0,55.0,48.0,46.0,54.0,20.0,3.0,25.0,22.0,42.0,19.0,30.0,26.0,11.0,14.0,24.0,62.0,38.0,0.0,40.0
1448,2.0,0.0,30.0,4.0,53.0,63.0,39.0,11.0,15.0,7.0,37.0,61.0,13.0,16.0,60.0,6.0,41.0,3.0,1.0,9.0,26.0,21.0,65.0,27.0,57.0,14.0,8.0,25.0,22.0,33.0
1497,0.0,9.0,14.0,1.0,11.0,2.0,44.0,19.0,16.0,50.0,13.0,56.0,15.0,18.0,8.0,20.0,24.0,5.0,42.0,46.0,22.0,32.0,36.0,28.0,17.0,49.0,12.0,30.0,6.0,21.0
1546,0.0,1.0,2.0,4.0,5.0,58.0,19.0,3.0,6.0,44.0,16.0,12.0,17.0,10.0,55.0,38.0,23.0,15.0,42.0,20.0,8.0,7.0,65.0,28.0,52.0,48.0,21.0,29.0,31.0,35.0
1595,7.0,11.0,1.0,9.0,4.0,14.0,2.0,6.0,51.0,19.0,25.0,61.0,50.0,20.0,62.0,22.0,26.0,3.0,45.0,46.0,23.0,56.0,28.0,27.0,12.0,29.0,54.0,38.0,5.0,17.0
1644,7.0,4.0,21.0,3.0,15.0,5.0,6.0,0.0,17.0,25.0,62.0,52.0,1.0,26.0,13.0,22.0,27.0,16.0,23.0,24.0,38.0,57.0,30.0,11.0,18.0,49.0,61.0,32.0,10.0,37.0
