,DYNC2H1_AMP,TRIM49_DEL,BIRC3_AMP,KRAS.G12_13_MUT,YAP1_AMP,EYA1_DEL,TMEM123_AMP,ETS1_DEL,CRTAM_DEL,MMP13_AMP,OR2T35_AMP,OR8B2_DEL,MIR4697_DEL,BCAS3_DEL,UQCC_AMP,DENND4C_DEL,LOC283174_DEL,BARX2_DEL,LOC341056_DEL,HLA-DRB6_AMP,C11orf70_AMP,MMP27_AMP,NOMO3_AMP,HEPACAM_DEL,CHN2_DEL,NCOA1_MUT,BOD1L2_DEL,PRH1-PRR4_AMP,LMAN1_DEL,CCBE1_DEL
571,888.0,87.0,4.0,0.0,56.0,107.0,50.0,2188.0,14.0,376.0,89.0,21.0,22.0,269.0,255.0,20.0,214.0,252.0,263.0,3.0,62.0,73.0,24.0,52.0,41.0,17176.0,18.0,183.0,192.0,356.0
620,353.0,29.0,50.0,1.0,309.0,54.0,18459.0,56.0,227.0,68.0,3.0,229.0,152.0,26.0,22098.0,841.0,7320.0,35.0,44.0,8.0,130.0,71.0,133.0,10.0,207.0,28.0,2.0,463.0,192.0,98.0
669,182.0,8.0,597.0,0.0,18167.0,23.0,219.0,141.0,57.0,14719.0,68.0,80.0,19115.0,37.0,159.0,12633.0,221.0,216.0,407.0,110.0,344.0,574.0,67.0,14.0,126.0,2236.0,19.0,870.0,5269.0,365.0
718,317.0,18.0,19.0,0.0,16884.0,629.0,56.0,1567.0,69.0,318.0,14.0,49.0,337.0,479.0,14773.0,2317.0,335.0,46.0,59.0,29.0,441.0,467.0,878.0,424.0,491.0,31.0,10.0,113.0,35.0,278.0
767,100.0,49.0,27.0,0.0,35.0,57.0,22.0,21.0,77.0,64.0,3435.0,121.0,280.0,999.0,1549.0,698.0,278.0,33.0,82.0,13.0,75.0,19.0,2199.0,10.0,20900.0,52.0,63.0,2.0,53.0,113.0
816,62.0,304.0,176.0,4.0,6.0,87.0,175.0,13.0,74.0,3.0,190.0,23.0,264.0,674.0,456.0,1826.0,7260.0,40.0,81.0,2.0,21.0,50.0,2100.0,5860.0,7.0,45.0,15.0,43.0,130.0,300.0
865,2.0,873.0,33.0,27.0,13.0,922.0,32.0,0.0,207.0,8.0,426.0,286.0,16.0,111.0,22228.0,13043.0,141.0,109.0,113.0,39.0,29.0,83.0,14701.0,282.0,264.0,26.0,188.0,16360.0,15.0,2762.0
914,189.0,20.0,17809.0,0.0,23463.0,108.0,16003.0,56.0,23.0,346.0,25.0,211.0,287.0,125.0,636.0,11316.0,290.0,216.0,59.0,19.0,23800.0,15544.0,26.0,141.0,93.0,46.0,5.0,71.0,24.0,312.0
963,11.0,174.0,33.0,3.0,95.0,67.0,266.0,5.0,12770.0,257.0,371.0,80.0,19028.0,79.0,94.0,18.0,526.0,22.0,859.0,90.0,121.0,41.0,10.0,6303.0,525.0,56.0,4.0,373.0,240.0,318.0
1012,35.0,43.0,20.0,53.0,359.0,269.0,9.0,61.0,18.0,27.0,0.0,19.0,91.0,10584.0,37.0,304.0,6.0,76.0,131.0,167.0,294.0,279.0,216.0,16.0,825.0,1658.0,1208.0,40.0,225.0,72.0
