,LUNG,OESOPHAGUS,SKIN,URINARY,HAEMATOPOIETIC,LIVER,LARGE_INTESTINE,PANCREAS,STOMACH,OVARY,BREAST,ENDOMETRIUM,BONE,PROSTATE,NERVOUS,PLEURA,SOFT_TISSUE,GANGLIA,AERODIGESTIVE,KIDNEY,SALIVARY,THYROID,BILIARY
48,0.0,5.0,1.0,4.0,13.0,2.0,6.0,10.0,3.0,14.0,7.0,8.0,9.0,12.0,19.0,11.0,15.0,18.0,17.0,16.0,21.0,20.0,22.0
97,1.0,0.0,7.0,9.0,12.0,4.0,5.0,11.0,10.0,8.0,6.0,15.0,3.0,17.0,14.0,2.0,13.0,16.0,20.0,19.0,18.0,21.0,22.0
146,0.0,4.0,13.0,5.0,17.0,8.0,9.0,2.0,15.0,1.0,3.0,6.0,7.0,11.0,14.0,10.0,12.0,19.0,18.0,16.0,20.0,21.0,22.0
195,0.0,2.0,8.0,3.0,13.0,10.0,1.0,5.0,15.0,4.0,6.0,7.0,9.0,11.0,14.0,16.0,12.0,19.0,18.0,17.0,20.0,21.0,22.0
244,6.0,2.0,3.0,0.0,1.0,5.0,4.0,8.0,10.0,7.0,12.0,9.0,16.0,15.0,11.0,20.0,18.0,13.0,14.0,19.0,17.0,21.0,22.0
293,3.0,10.0,1.0,15.0,0.0,2.0,5.0,7.0,4.0,6.0,11.0,8.0,9.0,13.0,14.0,12.0,16.0,19.0,18.0,17.0,20.0,21.0,22.0
342,13.0,5.0,1.0,4.0,0.0,10.0,7.0,8.0,3.0,6.0,12.0,9.0,11.0,2.0,14.0,15.0,17.0,21.0,18.0,19.0,16.0,20.0,22.0
391,8.0,0.0,1.0,14.0,11.0,7.0,15.0,3.0,20.0,9.0,4.0,12.0,6.0,2.0,13.0,5.0,10.0,16.0,19.0,18.0,17.0,21.0,22.0
440,2.0,4.0,0.0,15.0,13.0,1.0,5.0,7.0,3.0,6.0,8.0,11.0,10.0,12.0,14.0,9.0,16.0,19.0,18.0,17.0,20.0,21.0,22.0
489,0.0,7.0,5.0,16.0,2.0,18.0,1.0,3.0,17.0,14.0,4.0,9.0,6.0,11.0,15.0,10.0,12.0,20.0,8.0,13.0,19.0,21.0,22.0
538,7.0,0.0,2.0,9.0,11.0,6.0,1.0,4.0,10.0,8.0,13.0,12.0,5.0,3.0,14.0,18.0,16.0,20.0,19.0,15.0,17.0,21.0,22.0
587,12.0,4.0,0.0,1.0,5.0,2.0,10.0,6.0,3.0,14.0,19.0,7.0,16.0,8.0,15.0,17.0,13.0,9.0,11.0,20.0,18.0,21.0,22.0
636,4.0,1.0,13.0,11.0,0.0,7.0,2.0,9.0,5.0,6.0,3.0,10.0,8.0,16.0,12.0,20.0,18.0,14.0,15.0,19.0,17.0,21.0,22.0
685,0.0,1.0,12.0,5.0,2.0,9.0,6.0,3.0,4.0,18.0,7.0,10.0,8.0,11.0,13.0,15.0,14.0,19.0,17.0,16.0,20.0,21.0,22.0
734,3.0,5.0,8.0,14.0,0.0,2.0,11.0,6.0,4.0,1.0,7.0,9.0,10.0,12.0,13.0,15.0,16.0,19.0,18.0,17.0,21.0,20.0,22.0
783,0.0,13.0,2.0,10.0,8.0,1.0,18.0,3.0,11.0,9.0,4.0,5.0,6.0,7.0,12.0,20.0,15.0,19.0,17.0,14.0,16.0,21.0,22.0
832,0.0,2.0,1.0,14.0,11.0,10.0,3.0,4.0,16.0,8.0,12.0,5.0,6.0,7.0,13.0,19.0,9.0,15.0,20.0,17.0,18.0,21.0,22.0
881,0.0,1.0,8.0,5.0,2.0,4.0,10.0,7.0,19.0,6.0,3.0,11.0,9.0,12.0,13.0,14.0,15.0,18.0,17.0,16.0,20.0,21.0,22.0
930,6.0,3.0,0.0,1.0,14.0,2.0,11.0,9.0,8.0,7.0,5.0,13.0,4.0,17.0,12.0,20.0,10.0,15.0,16.0,19.0,18.0,21.0,22.0
979,0.0,5.0,2.0,14.0,1.0,3.0,6.0,8.0,4.0,7.0,9.0,10.0,11.0,12.0,13.0,15.0,16.0,19.0,18.0,17.0,20.0,21.0,22.0
