,hsa-miR-222,hsa-miR-10a,hsa-miR-34a,hsa-miR-483-3p,hsa-miR-582-5p,hsa-miR-584,hsa-miR-616,hsa-miR-1307,hsa-miR-223,hsa-miR-26a,hsa-miR-204,hsa-miR-219-2-3p,hsa-miR-662,hsa-miR-126,hsa-miR-1252,hsa-miR-10b,hsa-miR-34c-5p,hsa-miR-591,hsa-miR-1276,hsa-miR-888,hsa-miR-612,hsa-miR-323-5p,hsa-miR-27b,hsa-miR-1908,hsa-miR-671-5p,hsa-miR-2054,hsa-miR-574-5p,kshv-miR-K12-3,hsa-miR-30d,hsa-miR-654-3p
15,0.0,5.0,4.0,14.0,16.0,7.0,1.0,10.0,2.0,9.0,35.0,15.0,89.0,24.0,8.0,33.0,26.0,13.0,44.0,47.0,12.0,6.0,17.0,11.0,30.0,20.0,42.0,101.0,98.0,23.0
64,0.0,4.0,3.0,2.0,7.0,5.0,1.0,6.0,11.0,9.0,24.0,20.0,61.0,16.0,23.0,44.0,18.0,8.0,33.0,21.0,31.0,25.0,28.0,19.0,38.0,145.0,76.0,10.0,212.0,22.0
113,0.0,18.0,12.0,2.0,10.0,6.0,1.0,3.0,7.0,5.0,14.0,11.0,15.0,13.0,20.0,31.0,19.0,17.0,84.0,24.0,9.0,8.0,16.0,45.0,28.0,35.0,115.0,46.0,30.0,53.0
162,0.0,9.0,5.0,2.0,12.0,15.0,3.0,1.0,8.0,6.0,10.0,11.0,59.0,14.0,36.0,56.0,17.0,4.0,23.0,20.0,29.0,7.0,19.0,18.0,16.0,54.0,37.0,126.0,102.0,44.0
211,0.0,11.0,16.0,3.0,6.0,4.0,2.0,5.0,8.0,7.0,23.0,19.0,25.0,9.0,22.0,12.0,17.0,61.0,84.0,41.0,15.0,14.0,13.0,20.0,65.0,76.0,39.0,57.0,92.0,74.0
260,0.0,11.0,4.0,2.0,5.0,6.0,3.0,1.0,16.0,8.0,15.0,50.0,24.0,10.0,35.0,7.0,121.0,14.0,58.0,18.0,67.0,20.0,23.0,22.0,36.0,41.0,29.0,219.0,38.0,40.0
309,0.0,19.0,1.0,5.0,7.0,34.0,2.0,3.0,6.0,8.0,22.0,23.0,154.0,25.0,21.0,28.0,36.0,27.0,9.0,81.0,4.0,14.0,159.0,46.0,33.0,24.0,62.0,12.0,78.0,57.0
358,0.0,6.0,26.0,2.0,15.0,7.0,1.0,5.0,8.0,17.0,13.0,16.0,29.0,40.0,9.0,58.0,11.0,3.0,50.0,37.0,25.0,14.0,20.0,10.0,64.0,59.0,41.0,52.0,77.0,28.0
407,0.0,64.0,3.0,4.0,20.0,7.0,1.0,2.0,9.0,16.0,14.0,22.0,41.0,56.0,6.0,160.0,12.0,11.0,79.0,44.0,5.0,18.0,10.0,46.0,13.0,23.0,29.0,143.0,48.0,17.0
456,0.0,5.0,4.0,1.0,3.0,29.0,2.0,11.0,30.0,9.0,21.0,26.0,27.0,8.0,89.0,7.0,41.0,23.0,18.0,102.0,25.0,10.0,20.0,24.0,6.0,66.0,28.0,38.0,72.0,34.0
505,1.0,6.0,0.0,22.0,7.0,9.0,2.0,16.0,4.0,17.0,11.0,37.0,59.0,71.0,8.0,54.0,5.0,23.0,36.0,34.0,30.0,20.0,35.0,51.0,45.0,26.0,13.0,25.0,38.0,78.0
554,1.0,7.0,2.0,21.0,8.0,18.0,5.0,24.0,0.0,65.0,6.0,17.0,54.0,126.0,15.0,129.0,4.0,78.0,3.0,38.0,9.0,10.0,13.0,97.0,45.0,41.0,11.0,89.0,35.0,95.0
603,0.0,14.0,1.0,5.0,12.0,11.0,7.0,4.0,2.0,50.0,6.0,13.0,22.0,32.0,27.0,36.0,18.0,79.0,96.0,28.0,24.0,3.0,104.0,85.0,54.0,48.0,39.0,43.0,8.0,128.0
652,1.0,8.0,0.0,4.0,3.0,6.0,9.0,16.0,2.0,37.0,5.0,36.0,201.0,21.0,43.0,27.0,7.0,182.0,41.0,62.0,10.0,53.0,69.0,49.0,20.0,51.0,17.0,68.0,34.0,22.0
701,0.0,11.0,1.0,5.0,13.0,7.0,12.0,16.0,4.0,18.0,3.0,26.0,10.0,138.0,28.0,161.0,2.0,74.0,34.0,60.0,15.0,19.0,6.0,92.0,88.0,38.0,89.0,44.0,21.0,57.0
