,beta-alanine,C56:5 TAG,DHAP/glyceraldehyde 3P,niacinamide,creatine,alpha-glycerophosphate,GABA,C18:0 LPE,pantothenate,cis/trans-hydroxyproline,N-carbamoyl-beta-alanine,serine,homocysteine,cystathionine,UMP,serotonin,putrescine,phosphocreatine,oxalate,dCMP,2-deoxyadenosine,creatinine,malondialdehyde,C34:2 DAG,palmitoylcarnitine,5-HIAA,alpha-hydroxybutyrate,2-deoxycytidine,acetylcholine,C22:6 LPE
23,0.0,3.0,2.0,6.0,4.0,5.0,1.0,7.0,12.0,10.0,8.0,11.0,21.0,19.0,27.0,14.0,9.0,13.0,15.0,25.0,46.0,28.0,16.0,29.0,17.0,37.0,32.0,31.0,34.0,18.0
72,0.0,2.0,4.0,5.0,3.0,10.0,1.0,9.0,6.0,12.0,16.0,11.0,24.0,8.0,18.0,29.0,17.0,13.0,20.0,7.0,28.0,19.0,15.0,31.0,26.0,27.0,32.0,34.0,40.0,23.0
121,0.0,1.0,2.0,4.0,5.0,12.0,3.0,7.0,20.0,9.0,18.0,14.0,19.0,6.0,8.0,35.0,10.0,16.0,26.0,15.0,38.0,28.0,17.0,13.0,24.0,11.0,29.0,34.0,36.0,25.0
170,0.0,5.0,1.0,4.0,3.0,8.0,2.0,6.0,15.0,12.0,32.0,9.0,17.0,13.0,16.0,33.0,22.0,11.0,25.0,21.0,27.0,31.0,10.0,7.0,28.0,14.0,37.0,29.0,44.0,18.0
219,0.0,3.0,4.0,7.0,2.0,12.0,1.0,6.0,10.0,16.0,33.0,19.0,9.0,8.0,27.0,15.0,11.0,5.0,17.0,13.0,43.0,29.0,21.0,22.0,26.0,20.0,38.0,44.0,14.0,32.0
268,0.0,6.0,5.0,2.0,3.0,9.0,1.0,4.0,8.0,17.0,14.0,13.0,16.0,11.0,19.0,33.0,15.0,10.0,24.0,22.0,34.0,20.0,25.0,32.0,7.0,35.0,26.0,46.0,47.0,18.0
317,0.0,2.0,4.0,3.0,5.0,7.0,1.0,6.0,10.0,9.0,15.0,14.0,23.0,8.0,20.0,16.0,12.0,31.0,34.0,13.0,37.0,28.0,26.0,11.0,25.0,36.0,27.0,38.0,19.0,30.0
366,0.0,2.0,5.0,3.0,1.0,7.0,4.0,8.0,9.0,6.0,15.0,14.0,28.0,17.0,11.0,31.0,16.0,12.0,18.0,21.0,25.0,29.0,20.0,24.0,10.0,13.0,36.0,32.0,37.0,38.0
415,0.0,2.0,3.0,8.0,7.0,12.0,1.0,6.0,5.0,11.0,29.0,14.0,17.0,4.0,9.0,35.0,16.0,15.0,34.0,21.0,22.0,23.0,32.0,13.0,25.0,26.0,38.0,27.0,45.0,24.0
464,0.0,2.0,5.0,4.0,6.0,7.0,1.0,3.0,18.0,8.0,10.0,11.0,15.0,12.0,13.0,23.0,9.0,17.0,42.0,20.0,21.0,24.0,16.0,14.0,27.0,31.0,34.0,33.0,37.0,28.0
