,Akt_pS473,PRAS40_pT246,Acetyl-a-Tubulin (Lys40),HER3,CDK1,CD49b,YB-1_pS102,FRA1,AR,MEK1_pS217_S221,Tuberin_pT1462,TIGAR,RBM15,C-Raf(MP05-739),Heregulin,TFRC,E-Cadherin,Transglutaminase,PKC-pan_BetaII_pS660,alpha-Catenin,JNK2,Src_pY416,Bim(EP1036),Shc_pY317,Syk,MSH6,Chk2_pT68,Lck,Src,Bax
0,2.0,0.0,5.0,15.0,3.0,67.0,4.0,8.0,1.0,17.0,10.0,7.0,12.0,24.0,26.0,18.0,6.0,47.0,36.0,19.0,31.0,9.0,142.0,115.0,20.0,118.0,134.0,60.0,43.0,16.0
49,0.0,4.0,48.0,5.0,2.0,25.0,11.0,8.0,3.0,15.0,10.0,1.0,29.0,55.0,68.0,14.0,60.0,21.0,67.0,17.0,6.0,22.0,87.0,143.0,16.0,132.0,79.0,26.0,9.0,20.0
98,0.0,1.0,56.0,2.0,6.0,63.0,12.0,4.0,3.0,11.0,35.0,14.0,18.0,10.0,49.0,7.0,21.0,75.0,45.0,15.0,34.0,38.0,33.0,155.0,5.0,70.0,47.0,25.0,52.0,8.0
147,0.0,11.0,14.0,7.0,13.0,18.0,6.0,1.0,3.0,2.0,30.0,8.0,10.0,22.0,26.0,17.0,60.0,27.0,37.0,9.0,4.0,21.0,136.0,57.0,35.0,125.0,42.0,34.0,12.0,36.0
196,1.0,0.0,7.0,5.0,14.0,18.0,15.0,4.0,2.0,3.0,41.0,20.0,64.0,19.0,31.0,66.0,45.0,46.0,13.0,11.0,153.0,16.0,30.0,28.0,10.0,74.0,65.0,47.0,9.0,26.0
245,0.0,2.0,8.0,4.0,3.0,90.0,19.0,1.0,6.0,15.0,72.0,7.0,39.0,48.0,28.0,47.0,23.0,9.0,5.0,21.0,45.0,60.0,68.0,120.0,22.0,54.0,56.0,11.0,18.0,20.0
294,0.0,6.0,10.0,5.0,4.0,3.0,8.0,1.0,20.0,2.0,12.0,7.0,55.0,15.0,39.0,29.0,18.0,21.0,24.0,16.0,23.0,37.0,49.0,111.0,32.0,82.0,139.0,120.0,19.0,28.0
343,0.0,1.0,5.0,15.0,18.0,31.0,7.0,2.0,12.0,3.0,11.0,8.0,4.0,13.0,19.0,6.0,10.0,55.0,26.0,9.0,24.0,65.0,39.0,48.0,17.0,123.0,108.0,27.0,75.0,22.0
392,0.0,2.0,43.0,3.0,8.0,36.0,11.0,16.0,6.0,1.0,5.0,4.0,9.0,50.0,58.0,10.0,47.0,18.0,20.0,7.0,25.0,80.0,64.0,17.0,14.0,126.0,30.0,66.0,24.0,15.0
441,0.0,1.0,24.0,9.0,8.0,4.0,6.0,3.0,7.0,10.0,26.0,22.0,12.0,18.0,25.0,39.0,20.0,34.0,16.0,13.0,2.0,127.0,27.0,67.0,11.0,131.0,36.0,49.0,55.0,5.0
