,Shc_pY317,HER2_pY1248,EGFR_pY1068,SHP-2_pY542,E-Cadherin,Akt,B-Raf,Annexin 1,RAD51,alpha-Catenin,RSK1-2-3,EGFR,Src,C-Raf_pS338,VHL,MDMX_MDM4(BetIHC-00108),Smac,PEA15,eEF2,P-Cadherin,p38_pT180_Y182,Rb,4E-BP1_pS65,Bim(EP1036),Syk,YB-1_pS102,C-Raf(BD610151),Src_pY416,4E-BP1_pT70,Claudin-7
0,8.0,6.0,9.0,3.0,22.0,16.0,83.0,13.0,2.0,19.0,1.0,15.0,10.0,45.0,65.0,56.0,102.0,5.0,39.0,85.0,43.0,24.0,14.0,12.0,11.0,138.0,52.0,103.0,27.0,0.0
49,0.0,3.0,2.0,14.0,1.0,5.0,49.0,6.0,11.0,26.0,13.0,7.0,8.0,27.0,28.0,45.0,19.0,10.0,57.0,30.0,158.0,39.0,37.0,4.0,12.0,92.0,150.0,74.0,21.0,15.0
98,0.0,1.0,24.0,21.0,6.0,60.0,107.0,17.0,26.0,22.0,3.0,4.0,2.0,38.0,58.0,87.0,93.0,28.0,36.0,32.0,56.0,65.0,69.0,10.0,8.0,53.0,19.0,39.0,5.0,20.0
147,0.0,16.0,36.0,21.0,1.0,4.0,51.0,11.0,2.0,15.0,7.0,3.0,17.0,9.0,31.0,85.0,23.0,6.0,19.0,13.0,48.0,8.0,80.0,24.0,5.0,27.0,39.0,127.0,14.0,41.0
196,0.0,1.0,32.0,3.0,25.0,9.0,45.0,29.0,10.0,30.0,2.0,11.0,5.0,7.0,6.0,23.0,24.0,27.0,61.0,37.0,77.0,16.0,57.0,36.0,8.0,98.0,15.0,18.0,34.0,21.0
245,1.0,0.0,10.0,16.0,14.0,2.0,74.0,60.0,3.0,7.0,13.0,4.0,8.0,19.0,9.0,23.0,24.0,69.0,20.0,17.0,42.0,76.0,31.0,54.0,5.0,65.0,6.0,34.0,27.0,11.0
294,0.0,15.0,27.0,4.0,23.0,3.0,47.0,11.0,2.0,19.0,1.0,12.0,7.0,9.0,44.0,24.0,18.0,62.0,96.0,17.0,54.0,6.0,35.0,29.0,13.0,28.0,21.0,25.0,41.0,8.0
343,0.0,4.0,18.0,30.0,13.0,6.0,49.0,9.0,2.0,5.0,1.0,17.0,14.0,19.0,63.0,7.0,86.0,12.0,51.0,117.0,48.0,8.0,24.0,84.0,23.0,69.0,20.0,22.0,26.0,34.0
392,0.0,1.0,2.0,20.0,41.0,3.0,27.0,4.0,8.0,9.0,18.0,10.0,79.0,42.0,117.0,12.0,29.0,28.0,39.0,73.0,13.0,11.0,66.0,98.0,34.0,114.0,44.0,55.0,5.0,33.0
441,0.0,7.0,1.0,3.0,15.0,19.0,28.0,14.0,5.0,8.0,2.0,6.0,46.0,11.0,73.0,12.0,139.0,113.0,44.0,102.0,21.0,29.0,95.0,53.0,4.0,34.0,10.0,48.0,36.0,45.0
490,0.0,1.0,7.0,25.0,114.0,3.0,8.0,38.0,10.0,17.0,6.0,2.0,11.0,14.0,141.0,74.0,65.0,27.0,79.0,29.0,4.0,43.0,96.0,22.0,9.0,13.0,60.0,23.0,16.0,51.0
539,0.0,8.0,4.0,12.0,9.0,6.0,3.0,19.0,2.0,70.0,7.0,15.0,14.0,5.0,51.0,27.0,33.0,11.0,41.0,13.0,29.0,18.0,58.0,21.0,52.0,95.0,63.0,100.0,1.0,10.0
588,0.0,3.0,1.0,15.0,19.0,18.0,2.0,25.0,24.0,5.0,22.0,11.0,20.0,10.0,6.0,13.0,28.0,21.0,29.0,4.0,36.0,54.0,71.0,17.0,8.0,31.0,113.0,107.0,7.0,9.0
637,0.0,1.0,2.0,3.0,18.0,6.0,13.0,22.0,4.0,49.0,5.0,7.0,28.0,14.0,9.0,24.0,16.0,42.0,26.0,8.0,55.0,36.0,162.0,106.0,17.0,20.0,37.0,151.0,11.0,35.0
686,0.0,2.0,5.0,26.0,12.0,1.0,39.0,61.0,7.0,8.0,16.0,53.0,10.0,3.0,13.0,28.0,6.0,19.0,133.0,4.0,37.0,108.0,20.0,50.0,34.0,72.0,22.0,42.0,11.0,23.0
735,0.0,1.0,2.0,4.0,13.0,3.0,22.0,8.0,38.0,16.0,12.0,60.0,28.0,17.0,14.0,49.0,9.0,62.0,40.0,5.0,6.0,82.0,34.0,19.0,10.0,25.0,41.0,29.0,7.0,48.0
784,4.0,0.0,2.0,40.0,3.0,1.0,46.0,25.0,10.0,13.0,12.0,22.0,14.0,7.0,51.0,57.0,24.0,19.0,27.0,8.0,26.0,6.0,144.0,119.0,60.0,31.0,34.0,48.0,5.0,23.0
833,1.0,0.0,2.0,4.0,5.0,31.0,12.0,14.0,24.0,83.0,49.0,35.0,109.0,6.0,47.0,3.0,27.0,7.0,16.0,15.0,22.0,45.0,101.0,112.0,37.0,28.0,126.0,10.0,19.0,77.0
882,3.0,1.0,6.0,7.0,30.0,0.0,28.0,17.0,2.0,115.0,14.0,76.0,15.0,9.0,24.0,31.0,120.0,27.0,25.0,5.0,40.0,89.0,50.0,79.0,19.0,8.0,129.0,58.0,4.0,32.0
931,0.0,3.0,12.0,1.0,27.0,2.0,18.0,34.0,24.0,83.0,22.0,39.0,14.0,10.0,7.0,68.0,64.0,71.0,49.0,5.0,11.0,145.0,110.0,40.0,104.0,89.0,8.0,6.0,17.0,117.0
980,2.0,8.0,15.0,53.0,6.0,1.0,63.0,0.0,39.0,7.0,12.0,124.0,82.0,4.0,13.0,71.0,21.0,5.0,41.0,3.0,17.0,61.0,78.0,29.0,9.0,11.0,48.0,83.0,110.0,30.0
1029,1.0,20.0,9.0,23.0,19.0,12.0,2.0,3.0,8.0,0.0,32.0,50.0,11.0,69.0,27.0,22.0,71.0,4.0,21.0,39.0,30.0,157.0,28.0,14.0,13.0,75.0,109.0,45.0,156.0,5.0
1078,0.0,2.0,12.0,28.0,6.0,1.0,11.0,5.0,17.0,3.0,52.0,94.0,7.0,100.0,16.0,59.0,9.0,50.0,19.0,4.0,43.0,80.0,106.0,110.0,27.0,34.0,51.0,15.0,111.0,10.0
1127,1.0,4.0,2.0,20.0,0.0,6.0,9.0,12.0,105.0,14.0,18.0,19.0,56.0,28.0,15.0,74.0,30.0,8.0,50.0,7.0,10.0,109.0,66.0,87.0,44.0,5.0,48.0,25.0,127.0,3.0
1176,3.0,2.0,1.0,6.0,4.0,0.0,11.0,12.0,21.0,16.0,27.0,145.0,36.0,33.0,20.0,88.0,5.0,7.0,82.0,44.0,9.0,76.0,113.0,93.0,92.0,53.0,15.0,63.0,97.0,30.0
