,hsa-miR-34c-5p,hsa-miR-323-5p,hsa-miR-486-3p,hsa-miR-483-3p,hsa-miR-513a-5p,hsa-miR-105,hsa-miR-363,hsa-miR-130a,hsa-miR-216a,hsa-miR-26b,hsa-miR-10a,hsa-miR-151-3p,hsa-miR-1307,hsa-miR-605,hsa-miR-192,hsa-miR-148a,hsa-miR-296-5p,hsa-miR-765,hsa-let-7c,hsa-miR-589,kshv-miR-K12-6-5p,hsa-let-7a,hsa-miR-210,hsa-miR-424,hsa-miR-545,hsa-miR-214,hsa-miR-21,hsa-miR-1321,kshv-miR-K12-4-3p,hsa-miR-577
14,223.0,59.0,60.0,3.0,0.0,32.0,12.0,6.0,398.0,7.0,216.0,126.0,332.0,33.0,254.0,25.0,37.0,66.0,20.0,45.0,174.0,204.0,406.0,458.0,55.0,24.0,70.0,625.0,178.0,39.0
63,14.0,17.0,107.0,4.0,32.0,0.0,505.0,18.0,60.0,5.0,108.0,334.0,160.0,28.0,277.0,27.0,3.0,44.0,97.0,281.0,6.0,273.0,596.0,11.0,59.0,253.0,471.0,133.0,451.0,556.0
112,0.0,40.0,34.0,4.0,80.0,42.0,11.0,9.0,8.0,2.0,193.0,55.0,5.0,119.0,7.0,86.0,1.0,330.0,203.0,41.0,131.0,449.0,580.0,6.0,269.0,265.0,386.0,67.0,63.0,194.0
161,7.0,152.0,139.0,5.0,14.0,3.0,4.0,43.0,20.0,11.0,105.0,12.0,2.0,1.0,24.0,44.0,76.0,540.0,29.0,151.0,59.0,53.0,526.0,160.0,0.0,245.0,148.0,35.0,267.0,455.0
210,0.0,36.0,9.0,12.0,8.0,4.0,236.0,128.0,109.0,5.0,16.0,165.0,180.0,39.0,124.0,104.0,6.0,249.0,50.0,26.0,2.0,53.0,462.0,42.0,366.0,352.0,511.0,247.0,204.0,206.0
259,2.0,45.0,83.0,13.0,3.0,84.0,145.0,0.0,14.0,8.0,318.0,29.0,34.0,18.0,27.0,493.0,35.0,9.0,11.0,71.0,7.0,10.0,308.0,94.0,542.0,314.0,54.0,1.0,194.0,102.0
308,4.0,447.0,81.0,47.0,1.0,0.0,8.0,114.0,44.0,5.0,135.0,13.0,46.0,3.0,78.0,15.0,93.0,155.0,69.0,595.0,21.0,95.0,523.0,60.0,315.0,40.0,111.0,9.0,293.0,105.0
357,0.0,36.0,110.0,45.0,7.0,5.0,149.0,11.0,354.0,49.0,133.0,368.0,46.0,2.0,32.0,235.0,170.0,89.0,37.0,165.0,159.0,6.0,63.0,136.0,341.0,20.0,73.0,4.0,29.0,183.0
406,6.0,173.0,4.0,579.0,129.0,0.0,405.0,2.0,191.0,12.0,304.0,188.0,527.0,1.0,64.0,251.0,45.0,345.0,253.0,47.0,35.0,153.0,485.0,178.0,167.0,108.0,236.0,73.0,347.0,111.0
455,23.0,6.0,4.0,165.0,3.0,50.0,176.0,7.0,120.0,1.0,30.0,136.0,5.0,15.0,55.0,392.0,468.0,170.0,20.0,2.0,275.0,592.0,150.0,34.0,104.0,62.0,33.0,67.0,37.0,77.0
504,382.0,2.0,3.0,10.0,512.0,129.0,61.0,4.0,8.0,263.0,5.0,24.0,102.0,11.0,41.0,7.0,348.0,75.0,305.0,312.0,199.0,416.0,342.0,49.0,70.0,339.0,33.0,116.0,228.0,103.0
553,5.0,0.0,7.0,61.0,6.0,29.0,160.0,76.0,20.0,469.0,223.0,9.0,2.0,154.0,18.0,48.0,23.0,8.0,210.0,586.0,91.0,67.0,174.0,16.0,33.0,151.0,66.0,27.0,92.0,62.0
602,327.0,0.0,30.0,8.0,95.0,18.0,131.0,4.0,2.0,177.0,318.0,27.0,6.0,139.0,15.0,14.0,34.0,320.0,164.0,176.0,87.0,39.0,78.0,29.0,1.0,151.0,33.0,40.0,366.0,114.0
651,19.0,0.0,48.0,3.0,23.0,20.0,163.0,7.0,353.0,136.0,14.0,34.0,16.0,22.0,101.0,2.0,512.0,26.0,539.0,448.0,12.0,52.0,154.0,30.0,5.0,230.0,4.0,1.0,476.0,43.0
700,102.0,0.0,179.0,8.0,79.0,14.0,525.0,5.0,11.0,374.0,10.0,15.0,17.0,131.0,41.0,59.0,57.0,16.0,63.0,50.0,48.0,317.0,546.0,2.0,7.0,286.0,28.0,68.0,55.0,70.0
749,351.0,0.0,21.0,1.0,24.0,6.0,9.0,4.0,14.0,32.0,16.0,36.0,2.0,41.0,263.0,110.0,8.0,42.0,143.0,198.0,111.0,362.0,417.0,232.0,15.0,154.0,259.0,179.0,200.0,13.0
798,4.0,5.0,0.0,2.0,308.0,36.0,40.0,50.0,1.0,118.0,12.0,13.0,173.0,300.0,278.0,21.0,312.0,176.0,121.0,198.0,311.0,41.0,102.0,24.0,374.0,117.0,111.0,100.0,521.0,355.0
