,hsa-miR-744,hsa-miR-875-3p,hsa-miR-1284,hsa-miR-1538,hsa-miR-1308,hsa-miR-132,hsa-miR-644,hsa-miR-422a,hsa-miR-578,hsa-miR-148a,hsa-miR-620,hsa-miR-126,hsa-miR-147b,hsa-miR-665,hsa-miR-579,hsa-miR-671-3p,hsa-miR-590-5p,hsa-miR-491-5p,hsa-miR-1246,hsa-miR-103,hcmv-miR-US33-5p,hsa-miR-142-5p,hsa-miR-125a-3p,hsa-miR-877,hsa-miR-2110,hsa-miR-550,hsa-miR-938,hsa-miR-384,hsa-miR-330-3p,hsa-miR-92a
15,2.0,41.0,0.0,9.0,12.0,11.0,4.0,10.0,1.0,67.0,30.0,16.0,17.0,27.0,7.0,52.0,21.0,35.0,42.0,96.0,25.0,39.0,3.0,34.0,31.0,13.0,53.0,36.0,177.0,5.0
64,27.0,144.0,2.0,19.0,122.0,1.0,22.0,6.0,3.0,52.0,34.0,29.0,46.0,166.0,18.0,66.0,13.0,88.0,11.0,26.0,89.0,20.0,10.0,9.0,36.0,12.0,111.0,25.0,21.0,37.0
113,1.0,28.0,3.0,12.0,8.0,22.0,14.0,16.0,0.0,27.0,6.0,2.0,18.0,36.0,48.0,19.0,4.0,11.0,10.0,70.0,29.0,58.0,7.0,26.0,15.0,24.0,110.0,51.0,54.0,33.0
162,4.0,29.0,22.0,14.0,2.0,1.0,28.0,7.0,17.0,47.0,93.0,11.0,3.0,9.0,27.0,26.0,33.0,37.0,43.0,59.0,6.0,51.0,5.0,68.0,10.0,127.0,135.0,63.0,35.0,21.0
211,0.0,6.0,29.0,15.0,39.0,1.0,4.0,25.0,7.0,2.0,27.0,3.0,31.0,84.0,45.0,18.0,13.0,22.0,14.0,68.0,11.0,125.0,20.0,19.0,21.0,5.0,230.0,134.0,121.0,58.0
260,2.0,19.0,0.0,9.0,3.0,1.0,7.0,5.0,23.0,22.0,15.0,20.0,12.0,36.0,33.0,39.0,8.0,14.0,26.0,30.0,29.0,54.0,11.0,4.0,6.0,13.0,134.0,72.0,66.0,32.0
309,7.0,31.0,1.0,0.0,23.0,12.0,4.0,50.0,9.0,16.0,8.0,2.0,17.0,14.0,27.0,20.0,68.0,56.0,19.0,6.0,25.0,155.0,3.0,18.0,13.0,5.0,141.0,15.0,79.0,10.0
358,6.0,21.0,1.0,25.0,29.0,5.0,9.0,4.0,20.0,8.0,58.0,78.0,10.0,124.0,0.0,33.0,16.0,74.0,23.0,12.0,2.0,91.0,3.0,52.0,22.0,17.0,69.0,68.0,35.0,24.0
407,5.0,47.0,44.0,11.0,72.0,9.0,0.0,3.0,36.0,116.0,10.0,37.0,4.0,64.0,31.0,65.0,52.0,30.0,56.0,14.0,12.0,22.0,1.0,32.0,7.0,8.0,134.0,19.0,70.0,53.0
456,1.0,3.0,8.0,14.0,12.0,0.0,11.0,7.0,4.0,17.0,10.0,2.0,20.0,83.0,56.0,50.0,13.0,18.0,30.0,19.0,5.0,52.0,6.0,44.0,32.0,15.0,60.0,28.0,53.0,47.0
505,1.0,31.0,34.0,7.0,15.0,22.0,0.0,8.0,37.0,18.0,4.0,10.0,30.0,29.0,81.0,102.0,50.0,2.0,49.0,20.0,9.0,12.0,77.0,3.0,57.0,13.0,16.0,25.0,78.0,39.0
554,0.0,11.0,13.0,1.0,12.0,20.0,6.0,25.0,16.0,2.0,21.0,7.0,39.0,10.0,15.0,23.0,45.0,3.0,47.0,44.0,5.0,26.0,17.0,14.0,87.0,18.0,64.0,52.0,116.0,78.0
603,3.0,18.0,8.0,1.0,16.0,7.0,0.0,12.0,11.0,77.0,6.0,2.0,20.0,22.0,71.0,54.0,30.0,10.0,72.0,27.0,15.0,5.0,33.0,52.0,85.0,23.0,9.0,164.0,35.0,21.0
652,3.0,23.0,12.0,7.0,1.0,6.0,0.0,19.0,27.0,11.0,47.0,16.0,8.0,5.0,26.0,32.0,10.0,2.0,65.0,25.0,53.0,14.0,21.0,38.0,105.0,22.0,36.0,49.0,223.0,75.0
701,17.0,3.0,33.0,15.0,37.0,6.0,9.0,18.0,21.0,2.0,22.0,40.0,25.0,78.0,12.0,86.0,19.0,20.0,41.0,10.0,4.0,0.0,11.0,64.0,8.0,30.0,13.0,58.0,61.0,81.0
750,5.0,16.0,2.0,0.0,18.0,21.0,1.0,37.0,42.0,4.0,13.0,15.0,14.0,3.0,8.0,71.0,194.0,6.0,162.0,22.0,32.0,24.0,73.0,34.0,103.0,43.0,27.0,9.0,142.0,11.0
799,5.0,53.0,6.0,2.0,62.0,3.0,4.0,0.0,13.0,10.0,117.0,32.0,7.0,28.0,40.0,12.0,93.0,63.0,50.0,19.0,16.0,39.0,73.0,109.0,48.0,42.0,22.0,14.0,87.0,24.0
