,ZNF490_DEL,APBA1_AMP,MTAP_DEL,C1orf227_DEL,GLI3_MUT,FLT3_MUT,AFF2_DEL,NRAS_MUT,FOXK2_AMP,AXDND1_AMP,CDH11_MUT,JAK2_AMP,DACH2_DEL,C15orf55_MUT,ADARB2_DEL,CERS6_DEL,PRAMEF2_DEL,C9orf53_DEL,DPP6_DEL,FAM58BP_AMP,C17orf62_AMP,MIR4683_DEL,SECTM1_AMP,ZMAT4_DEL,ELMO1_DEL,LRRC37A_AMP,TOR3A_AMP,DEFB109P1_DEL,PLD1_MUT,NXPH1_DEL
32,22.0,8.0,1.0,41.0,11.0,6.0,13.0,5.0,2.0,398.0,50.0,15447.0,1988.0,139.0,518.0,188.0,34.0,0.0,214.0,538.0,26.0,1279.0,99.0,163.0,44.0,32.0,147.0,1340.0,299.0,225.0
81,2.0,271.0,0.0,248.0,79.0,2645.0,106.0,11.0,12.0,5.0,775.0,14424.0,7.0,8373.0,763.0,111.0,623.0,1.0,3606.0,18135.0,33.0,19173.0,9.0,1231.0,22.0,489.0,17.0,3367.0,474.0,35.0
130,9.0,3.0,1.0,1841.0,33.0,5.0,98.0,40.0,15473.0,81.0,7.0,771.0,619.0,1477.0,174.0,7689.0,68.0,15.0,3643.0,6.0,23929.0,20900.0,21496.0,610.0,43.0,29.0,167.0,478.0,1087.0,14.0
179,3.0,0.0,1.0,25.0,161.0,366.0,476.0,492.0,5.0,33.0,26.0,1706.0,132.0,257.0,15.0,4.0,32.0,14.0,5523.0,607.0,29.0,581.0,114.0,572.0,9502.0,16.0,41.0,3144.0,287.0,31.0
228,511.0,43.0,17.0,3.0,1.0,42.0,237.0,556.0,7.0,18.0,2.0,15227.0,23.0,1360.0,2752.0,135.0,778.0,5.0,577.0,477.0,276.0,52.0,89.0,3421.0,71.0,75.0,49.0,67.0,16645.0,14.0
277,22.0,15.0,0.0,38.0,75.0,9.0,40.0,873.0,4.0,49.0,287.0,119.0,134.0,377.0,90.0,16.0,189.0,2.0,1715.0,102.0,13.0,18881.0,6.0,771.0,296.0,127.0,22417.0,1080.0,88.0,17.0
326,1.0,388.0,0.0,59.0,2.0,640.0,823.0,32.0,23.0,263.0,120.0,1037.0,10.0,1402.0,297.0,41.0,25.0,8.0,107.0,51.0,3.0,157.0,26.0,8463.0,751.0,150.0,1404.0,266.0,386.0,1103.0
375,87.0,6.0,1.0,13.0,8.0,71.0,5.0,31.0,7.0,12.0,56.0,53.0,11.0,1282.0,32.0,19.0,10229.0,30.0,14.0,57.0,27.0,390.0,67.0,9733.0,6625.0,2.0,55.0,105.0,152.0,1989.0
424,1.0,682.0,4.0,81.0,14.0,5.0,1576.0,16.0,376.0,332.0,335.0,316.0,63.0,1627.0,21228.0,26.0,317.0,44.0,904.0,13628.0,94.0,20879.0,58.0,7857.0,61.0,22.0,166.0,231.0,16717.0,12.0
473,2.0,25.0,0.0,59.0,33.0,1.0,56.0,417.0,31.0,36.0,16764.0,788.0,184.0,355.0,8.0,381.0,12148.0,10.0,66.0,109.0,107.0,779.0,99.0,1528.0,60.0,19985.0,11.0,24.0,12.0,15.0
