, H2O2, TNFa, TLR, TGFB, PI3K_only, MAPK_PI3K, VEGF, Wnt, IL-1, JAK-STAT, MAPK_only
2882,1.0,3.0,2.0,4.0,0.0,10.0,6.0,7.0,5.0,9.0,8.0
2931,0.0,2.0,3.0,4.0,5.0,1.0,6.0,10.0,7.0,9.0,8.0
2980,0.0,1.0,5.0,4.0,8.0,10.0,6.0,7.0,9.0,2.0,3.0
3029,0.0,1.0,10.0,5.0,2.0,9.0,3.0,4.0,7.0,8.0,6.0
3078,1.0,0.0,5.0,2.0,6.0,7.0,4.0,8.0,9.0,10.0,3.0
3127,0.0,4.0,7.0,1.0,5.0,8.0,2.0,3.0,9.0,10.0,6.0
3176,1.0,0.0,2.0,4.0,3.0,5.0,9.0,10.0,7.0,8.0,6.0
3225,2.0,1.0,6.0,0.0,7.0,10.0,5.0,4.0,3.0,9.0,8.0
3274,0.0,1.0,3.0,4.0,2.0,9.0,7.0,5.0,10.0,8.0,6.0
3323,0.0,1.0,9.0,3.0,4.0,6.0,8.0,2.0,10.0,5.0,7.0
3372,0.0,1.0,10.0,2.0,6.0,7.0,3.0,8.0,4.0,9.0,5.0
3421,0.0,1.0,8.0,2.0,4.0,10.0,5.0,3.0,7.0,9.0,6.0
3470,0.0,1.0,4.0,3.0,2.0,7.0,5.0,8.0,9.0,6.0,10.0
3519,0.0,3.0,5.0,2.0,7.0,4.0,1.0,6.0,10.0,8.0,9.0
3568,0.0,1.0,5.0,4.0,3.0,8.0,2.0,9.0,6.0,10.0,7.0
3617,1.0,0.0,3.0,2.0,7.0,6.0,5.0,4.0,9.0,8.0,10.0
3666,1.0,0.0,6.0,2.0,4.0,5.0,3.0,8.0,9.0,7.0,10.0
3715,0.0,2.0,5.0,3.0,7.0,4.0,1.0,8.0,9.0,10.0,6.0
3764,0.0,2.0,7.0,6.0,4.0,5.0,1.0,8.0,10.0,3.0,9.0
3813,0.0,2.0,1.0,5.0,3.0,7.0,4.0,6.0,10.0,9.0,8.0
3862,5.0,0.0,6.0,2.0,4.0,7.0,3.0,1.0,10.0,8.0,9.0
3911,1.0,0.0,3.0,2.0,6.0,4.0,5.0,7.0,10.0,9.0,8.0
