,LEPREL2,MAGEA6,SPANXD,SLFN11,ANPEP,ZYG11A,RCOR2,TUSC3,ZNF215,RCN3,CCZ1B,FAM98B,EVC2,KRT13,LYPD6B,MEIS3P1,RP11-305M3.2,PDLIM4,SEMA3F,RPUSD2,P2RX5,CORO2A,ROBO1,PLA2G4A,ANKRD19P,CBS,LINC00665,COL18A1,LGALS9,AP000783.1
8,12.0,0.0,11.0,16.0,33.0,27.0,1.0,61.0,5.0,25.0,4.0,17.0,85.0,13.0,3.0,94.0,9.0,28.0,7.0,74.0,18.0,38.0,31.0,334.0,95.0,156.0,80.0,36.0,21.0,35.0
57,2.0,0.0,9.0,16.0,29.0,13.0,8.0,6.0,24.0,21.0,30.0,10.0,183.0,11.0,1.0,76.0,39.0,323.0,28.0,41.0,37.0,20.0,18.0,7.0,27.0,4.0,63.0,38.0,51.0,25.0
106,2.0,0.0,57.0,4.0,48.0,18.0,33.0,26.0,3.0,1.0,16.0,13.0,283.0,6.0,5.0,28.0,25.0,434.0,19.0,35.0,42.0,11.0,32.0,10.0,12.0,15.0,36.0,30.0,69.0,9.0
155,4.0,0.0,20.0,63.0,77.0,9.0,18.0,37.0,1.0,8.0,14.0,16.0,103.0,3.0,6.0,45.0,43.0,361.0,11.0,87.0,38.0,10.0,48.0,2.0,5.0,150.0,26.0,7.0,24.0,75.0
204,42.0,0.0,5.0,3.0,48.0,24.0,11.0,18.0,8.0,2.0,1.0,10.0,21.0,34.0,13.0,105.0,20.0,31.0,9.0,91.0,71.0,45.0,101.0,107.0,92.0,28.0,93.0,7.0,50.0,60.0
253,7.0,0.0,3.0,47.0,53.0,26.0,11.0,4.0,2.0,535.0,22.0,6.0,163.0,9.0,35.0,95.0,84.0,1.0,10.0,57.0,31.0,28.0,13.0,44.0,300.0,23.0,16.0,8.0,33.0,48.0
302,17.0,4.0,86.0,0.0,53.0,1.0,30.0,12.0,5.0,21.0,15.0,26.0,258.0,8.0,3.0,240.0,106.0,4556.0,2.0,25.0,78.0,9.0,89.0,20.0,7.0,16.0,28.0,33.0,32.0,164.0
351,4.0,0.0,46.0,1.0,201.0,3.0,8.0,9.0,5.0,43.0,75.0,11.0,89.0,7.0,2.0,103.0,23.0,27.0,12.0,15.0,25.0,6.0,21.0,82.0,63.0,38.0,24.0,14.0,67.0,51.0
400,10.0,0.0,15.0,2.0,29.0,12.0,14.0,7.0,8.0,1.0,21.0,6.0,67.0,4.0,5.0,33.0,66.0,175.0,9.0,55.0,32.0,11.0,30.0,16.0,23.0,24.0,36.0,27.0,25.0,69.0
449,2.0,0.0,20.0,10.0,116.0,26.0,15.0,3.0,6.0,5.0,8.0,1.0,104.0,9.0,16.0,39.0,48.0,875.0,4.0,14.0,11.0,19.0,45.0,167.0,21.0,68.0,95.0,7.0,142.0,84.0
498,14.0,12.0,3.0,39.0,5.0,10.0,20.0,72.0,131.0,1.0,35.0,25.0,2.0,15.0,11.0,6.0,47.0,97.0,74.0,41.0,32.0,313.0,64.0,23.0,66.0,8.0,67.0,70.0,57.0,175.0
547,7.0,33.0,1.0,13.0,8.0,41.0,36.0,78.0,6.0,133.0,29.0,16.0,55.0,0.0,5.0,3.0,75.0,156.0,54.0,25.0,22.0,42.0,264.0,21.0,18.0,2.0,127.0,100.0,10.0,14.0
