,Bax,Caspase-7_cleavedD198,XBP1,YB-1_pS102,GAPDH,HER3,FRA1,Notch1,p38_pT180_Y182,CD49b,CDK1,RAD51,ASNS,PEA15_pS116,HSP70,Beclin,14-3-3_zeta,Src_pY527,G6PD,Annexin 1,NDRG1_pT346,PAI-1,ACVRL1,MEK1_pS217_S221,PDCD4,p14 Arf(BetA300-340A),Cyclin_B1,FoxM1,Caveolin-1,MDMX_MDM4(BetIHC-00108)
1424,0.0,3.0,2.0,7.0,6.0,16.0,4.0,8.0,25.0,1.0,15.0,13.0,5.0,10.0,17.0,28.0,18.0,38.0,33.0,111.0,36.0,40.0,9.0,12.0,81.0,30.0,32.0,115.0,11.0,20.0
1473,2.0,1.0,0.0,3.0,7.0,5.0,14.0,11.0,9.0,22.0,4.0,13.0,6.0,17.0,127.0,18.0,8.0,62.0,26.0,99.0,12.0,21.0,23.0,35.0,25.0,38.0,122.0,15.0,29.0,79.0
1522,0.0,5.0,4.0,1.0,9.0,6.0,2.0,3.0,16.0,17.0,15.0,8.0,7.0,10.0,11.0,12.0,24.0,13.0,121.0,100.0,18.0,65.0,19.0,27.0,78.0,34.0,32.0,110.0,85.0,39.0
1571,0.0,1.0,6.0,7.0,2.0,4.0,8.0,5.0,18.0,17.0,20.0,15.0,16.0,10.0,115.0,33.0,13.0,14.0,11.0,101.0,19.0,22.0,24.0,53.0,21.0,35.0,113.0,32.0,90.0,54.0
1620,0.0,1.0,5.0,3.0,7.0,11.0,14.0,8.0,10.0,2.0,9.0,4.0,23.0,16.0,24.0,25.0,20.0,29.0,21.0,33.0,17.0,40.0,6.0,41.0,22.0,44.0,19.0,34.0,87.0,38.0
1669,1.0,0.0,2.0,3.0,10.0,7.0,5.0,4.0,23.0,8.0,9.0,6.0,14.0,15.0,28.0,16.0,13.0,61.0,20.0,100.0,11.0,18.0,17.0,25.0,26.0,30.0,120.0,116.0,24.0,38.0
1718,0.0,1.0,3.0,5.0,10.0,4.0,12.0,2.0,9.0,14.0,6.0,18.0,7.0,16.0,17.0,15.0,11.0,30.0,21.0,32.0,22.0,51.0,20.0,39.0,76.0,47.0,103.0,116.0,19.0,26.0
1767,0.0,3.0,4.0,6.0,9.0,2.0,5.0,11.0,8.0,10.0,16.0,1.0,13.0,18.0,30.0,29.0,22.0,17.0,12.0,84.0,15.0,23.0,25.0,31.0,14.0,26.0,85.0,119.0,20.0,35.0
1816,0.0,7.0,1.0,2.0,5.0,4.0,9.0,3.0,14.0,12.0,10.0,8.0,20.0,21.0,105.0,93.0,18.0,16.0,24.0,118.0,31.0,35.0,15.0,47.0,6.0,40.0,99.0,117.0,17.0,37.0
1865,0.0,4.0,5.0,1.0,6.0,2.0,14.0,20.0,10.0,3.0,11.0,7.0,16.0,9.0,8.0,21.0,22.0,25.0,23.0,26.0,19.0,32.0,13.0,48.0,28.0,40.0,111.0,113.0,24.0,78.0
1914,0.0,3.0,11.0,1.0,7.0,5.0,4.0,10.0,2.0,6.0,19.0,13.0,18.0,15.0,27.0,26.0,14.0,22.0,23.0,92.0,8.0,77.0,17.0,47.0,9.0,35.0,82.0,120.0,20.0,48.0
1963,0.0,6.0,10.0,16.0,21.0,3.0,2.0,1.0,13.0,8.0,11.0,4.0,98.0,9.0,5.0,28.0,39.0,22.0,36.0,7.0,19.0,20.0,102.0,34.0,12.0,24.0,121.0,119.0,86.0,25.0
2012,0.0,7.0,8.0,18.0,17.0,1.0,12.0,20.0,2.0,4.0,10.0,23.0,96.0,24.0,6.0,13.0,107.0,25.0,31.0,11.0,15.0,16.0,103.0,35.0,5.0,21.0,22.0,36.0,92.0,14.0
2061,0.0,3.0,6.0,25.0,5.0,8.0,11.0,4.0,7.0,2.0,1.0,14.0,20.0,13.0,12.0,17.0,116.0,59.0,24.0,18.0,21.0,16.0,105.0,19.0,22.0,9.0,28.0,111.0,86.0,36.0
2110,0.0,2.0,4.0,14.0,32.0,3.0,1.0,10.0,6.0,8.0,12.0,5.0,19.0,27.0,7.0,22.0,106.0,52.0,110.0,13.0,28.0,17.0,98.0,42.0,34.0,23.0,16.0,116.0,18.0,21.0
2159,0.0,3.0,6.0,15.0,8.0,11.0,4.0,1.0,12.0,2.0,5.0,13.0,33.0,16.0,20.0,17.0,36.0,58.0,121.0,7.0,14.0,18.0,28.0,26.0,10.0,34.0,25.0,24.0,90.0,22.0
2208,0.0,8.0,2.0,22.0,10.0,11.0,4.0,3.0,6.0,5.0,84.0,7.0,98.0,16.0,12.0,14.0,23.0,61.0,115.0,1.0,32.0,21.0,102.0,35.0,9.0,20.0,123.0,26.0,111.0,17.0
2257,1.0,0.0,26.0,10.0,7.0,6.0,13.0,4.0,12.0,2.0,8.0,9.0,31.0,15.0,11.0,23.0,122.0,33.0,118.0,3.0,45.0,19.0,112.0,25.0,21.0,18.0,30.0,120.0,99.0,5.0
2306,0.0,2.0,6.0,14.0,7.0,28.0,1.0,3.0,10.0,12.0,19.0,15.0,97.0,29.0,11.0,5.0,111.0,77.0,26.0,20.0,30.0,9.0,91.0,17.0,18.0,13.0,36.0,108.0,88.0,8.0
2355,0.0,18.0,19.0,82.0,16.0,4.0,1.0,7.0,5.0,8.0,13.0,15.0,17.0,21.0,6.0,11.0,107.0,65.0,124.0,3.0,2.0,9.0,20.0,22.0,27.0,40.0,23.0,126.0,100.0,45.0
2404,0.0,13.0,2.0,10.0,5.0,9.0,11.0,8.0,3.0,1.0,16.0,7.0,26.0,23.0,6.0,4.0,32.0,37.0,35.0,15.0,12.0,28.0,30.0,29.0,17.0,45.0,111.0,113.0,84.0,49.0
2453,0.0,2.0,1.0,4.0,8.0,16.0,11.0,5.0,3.0,22.0,10.0,6.0,13.0,9.0,24.0,7.0,12.0,15.0,28.0,18.0,31.0,25.0,32.0,14.0,27.0,48.0,34.0,17.0,96.0,50.0
2502,0.0,1.0,2.0,3.0,4.0,7.0,14.0,5.0,11.0,24.0,16.0,12.0,13.0,10.0,81.0,6.0,22.0,19.0,28.0,15.0,20.0,33.0,100.0,18.0,34.0,26.0,27.0,9.0,85.0,38.0
2551,0.0,3.0,5.0,2.0,1.0,6.0,12.0,7.0,10.0,20.0,24.0,8.0,11.0,4.0,15.0,17.0,18.0,19.0,28.0,9.0,45.0,35.0,21.0,14.0,16.0,26.0,25.0,13.0,88.0,33.0
2600,0.0,1.0,2.0,7.0,3.0,4.0,18.0,8.0,6.0,17.0,20.0,10.0,9.0,5.0,81.0,31.0,19.0,61.0,15.0,16.0,44.0,26.0,28.0,22.0,21.0,50.0,105.0,108.0,32.0,14.0
2649,0.0,1.0,4.0,8.0,2.0,7.0,3.0,6.0,15.0,13.0,9.0,12.0,19.0,5.0,20.0,101.0,17.0,22.0,14.0,34.0,46.0,30.0,16.0,10.0,37.0,33.0,27.0,23.0,99.0,29.0
2698,0.0,3.0,2.0,5.0,1.0,12.0,19.0,7.0,6.0,93.0,11.0,13.0,22.0,4.0,8.0,9.0,28.0,14.0,21.0,15.0,32.0,17.0,116.0,10.0,49.0,37.0,26.0,35.0,30.0,25.0
2747,0.0,2.0,3.0,7.0,1.0,4.0,29.0,6.0,10.0,28.0,20.0,14.0,19.0,5.0,21.0,15.0,23.0,17.0,11.0,16.0,18.0,22.0,103.0,12.0,13.0,32.0,24.0,8.0,88.0,27.0
2796,0.0,3.0,1.0,2.0,7.0,14.0,15.0,4.0,6.0,10.0,5.0,24.0,13.0,8.0,29.0,84.0,17.0,23.0,18.0,27.0,25.0,12.0,32.0,9.0,66.0,51.0,22.0,11.0,26.0,76.0
2845,0.0,2.0,3.0,4.0,1.0,6.0,7.0,28.0,11.0,23.0,15.0,5.0,9.0,8.0,24.0,10.0,18.0,25.0,26.0,27.0,20.0,16.0,21.0,22.0,68.0,19.0,31.0,34.0,81.0,48.0
2894,0.0,2.0,1.0,7.0,4.0,8.0,18.0,3.0,6.0,12.0,35.0,20.0,11.0,5.0,9.0,23.0,22.0,15.0,116.0,27.0,21.0,30.0,14.0,10.0,74.0,44.0,26.0,13.0,28.0,36.0
2943,0.0,7.0,2.0,5.0,1.0,4.0,17.0,23.0,12.0,8.0,38.0,15.0,24.0,26.0,18.0,21.0,16.0,13.0,123.0,98.0,60.0,6.0,10.0,28.0,3.0,45.0,14.0,36.0,34.0,22.0
2992,0.0,5.0,3.0,4.0,1.0,14.0,8.0,17.0,10.0,7.0,21.0,25.0,2.0,26.0,18.0,11.0,107.0,30.0,28.0,100.0,29.0,6.0,12.0,13.0,15.0,9.0,116.0,23.0,24.0,48.0
3041,0.0,2.0,1.0,6.0,3.0,17.0,10.0,8.0,5.0,11.0,87.0,16.0,4.0,26.0,22.0,28.0,20.0,9.0,12.0,120.0,19.0,27.0,18.0,24.0,7.0,48.0,30.0,23.0,25.0,29.0
3090,0.0,5.0,3.0,1.0,8.0,4.0,21.0,2.0,11.0,9.0,27.0,29.0,7.0,20.0,12.0,13.0,35.0,10.0,121.0,103.0,19.0,14.0,17.0,23.0,6.0,18.0,15.0,25.0,16.0,26.0
3139,1.0,8.0,6.0,3.0,0.0,4.0,14.0,5.0,10.0,18.0,35.0,19.0,15.0,25.0,12.0,16.0,26.0,13.0,32.0,95.0,9.0,24.0,7.0,21.0,11.0,36.0,20.0,30.0,2.0,28.0
