,hsa-miR-1307,hsa-miR-142-5p,hsa-miR-1245,hsa-miR-425,hsa-miR-574-5p,hsa-miR-155,hsa-miR-642,hsa-miR-744,hsa-miR-769-5p,hsa-miR-944,hsa-miR-630,hsa-miR-34c-5p,hsa-miR-223,hsa-miR-762,hsa-miR-133b,hsa-miR-186,hsa-miR-551b,hsa-miR-582-5p,ebv-miR-BART18-3p,hsa-miR-1248,hsa-miR-330-3p,hsa-miR-581,hsa-miR-579,hsa-miR-1197,hsa-miR-1301,hsa-miR-125a-3p,hsa-miR-491-3p,hsa-miR-601,hsa-miR-885-3p,hsa-miR-584
17,5.0,10.0,7.0,1.0,28.0,0.0,9.0,2.0,16.0,6.0,3.0,54.0,77.0,30.0,15.0,4.0,36.0,31.0,24.0,13.0,12.0,19.0,40.0,98.0,8.0,23.0,26.0,280.0,52.0,46.0
66,1.0,6.0,11.0,0.0,7.0,3.0,5.0,10.0,38.0,16.0,13.0,22.0,26.0,9.0,12.0,2.0,17.0,14.0,15.0,25.0,19.0,23.0,51.0,24.0,8.0,29.0,41.0,53.0,49.0,31.0
115,1.0,13.0,3.0,0.0,11.0,7.0,2.0,6.0,14.0,10.0,34.0,9.0,29.0,19.0,4.0,25.0,15.0,5.0,12.0,48.0,24.0,18.0,42.0,52.0,8.0,62.0,21.0,40.0,70.0,63.0
164,0.0,11.0,3.0,1.0,37.0,8.0,2.0,4.0,7.0,9.0,30.0,10.0,29.0,18.0,12.0,23.0,6.0,17.0,24.0,27.0,5.0,52.0,26.0,15.0,14.0,28.0,48.0,22.0,33.0,13.0
213,2.0,3.0,14.0,1.0,47.0,4.0,5.0,0.0,19.0,12.0,8.0,35.0,41.0,40.0,21.0,13.0,28.0,22.0,17.0,34.0,7.0,10.0,23.0,20.0,18.0,16.0,15.0,32.0,57.0,73.0
262,1.0,4.0,5.0,2.0,53.0,0.0,6.0,3.0,7.0,13.0,12.0,24.0,39.0,11.0,10.0,14.0,47.0,17.0,27.0,51.0,46.0,18.0,92.0,31.0,8.0,21.0,16.0,15.0,82.0,29.0
311,0.0,7.0,2.0,3.0,52.0,4.0,12.0,1.0,33.0,5.0,19.0,17.0,18.0,9.0,13.0,11.0,6.0,16.0,26.0,35.0,10.0,20.0,54.0,22.0,14.0,31.0,48.0,15.0,79.0,59.0
360,1.0,17.0,2.0,0.0,25.0,6.0,38.0,3.0,11.0,23.0,32.0,5.0,50.0,39.0,46.0,13.0,24.0,55.0,19.0,7.0,9.0,20.0,26.0,15.0,4.0,8.0,14.0,10.0,22.0,31.0
409,2.0,6.0,4.0,0.0,14.0,3.0,1.0,5.0,19.0,7.0,50.0,21.0,20.0,27.0,10.0,16.0,9.0,62.0,17.0,8.0,33.0,39.0,31.0,18.0,25.0,70.0,42.0,13.0,45.0,26.0
458,2.0,4.0,5.0,0.0,29.0,13.0,3.0,1.0,8.0,10.0,18.0,17.0,22.0,15.0,6.0,7.0,9.0,30.0,16.0,21.0,12.0,24.0,67.0,11.0,26.0,46.0,34.0,66.0,65.0,83.0
507,21.0,3.0,9.0,11.0,0.0,1.0,2.0,16.0,5.0,18.0,4.0,17.0,51.0,7.0,15.0,8.0,69.0,6.0,24.0,20.0,54.0,12.0,60.0,10.0,63.0,53.0,29.0,86.0,95.0,89.0
556,0.0,8.0,4.0,12.0,11.0,1.0,6.0,2.0,5.0,18.0,9.0,36.0,19.0,3.0,16.0,10.0,15.0,14.0,51.0,26.0,22.0,7.0,147.0,17.0,31.0,27.0,20.0,71.0,246.0,94.0
605,6.0,4.0,3.0,16.0,1.0,2.0,5.0,45.0,8.0,9.0,17.0,14.0,28.0,13.0,7.0,26.0,15.0,11.0,38.0,44.0,18.0,12.0,134.0,0.0,36.0,10.0,37.0,60.0,47.0,128.0
654,7.0,0.0,3.0,10.0,1.0,2.0,6.0,25.0,8.0,11.0,9.0,16.0,32.0,5.0,20.0,15.0,17.0,13.0,18.0,45.0,36.0,12.0,123.0,4.0,88.0,44.0,35.0,48.0,83.0,47.0
703,1.0,9.0,12.0,7.0,2.0,3.0,23.0,28.0,15.0,18.0,6.0,19.0,55.0,4.0,5.0,14.0,25.0,36.0,11.0,66.0,31.0,10.0,52.0,0.0,68.0,16.0,22.0,54.0,92.0,38.0
752,1.0,0.0,2.0,11.0,5.0,4.0,8.0,51.0,9.0,18.0,6.0,17.0,50.0,3.0,12.0,36.0,19.0,7.0,29.0,85.0,52.0,24.0,54.0,14.0,79.0,33.0,87.0,95.0,34.0,47.0
801,3.0,0.0,4.0,20.0,1.0,8.0,2.0,18.0,19.0,6.0,13.0,46.0,27.0,5.0,14.0,17.0,12.0,22.0,16.0,53.0,25.0,10.0,45.0,11.0,86.0,9.0,35.0,85.0,50.0,68.0
850,6.0,1.0,0.0,2.0,10.0,4.0,25.0,9.0,8.0,14.0,13.0,16.0,40.0,12.0,11.0,7.0,50.0,24.0,22.0,36.0,35.0,3.0,49.0,5.0,109.0,17.0,30.0,23.0,89.0,105.0
899,4.0,10.0,3.0,5.0,0.0,2.0,6.0,49.0,8.0,9.0,21.0,12.0,18.0,1.0,7.0,17.0,47.0,11.0,28.0,14.0,30.0,13.0,67.0,15.0,426.0,45.0,41.0,74.0,80.0,108.0
948,4.0,1.0,11.0,13.0,5.0,0.0,10.0,57.0,6.0,3.0,9.0,20.0,31.0,2.0,18.0,7.0,24.0,29.0,22.0,58.0,21.0,12.0,101.0,15.0,45.0,16.0,17.0,102.0,51.0,71.0
997,1.0,3.0,0.0,2.0,25.0,6.0,64.0,7.0,5.0,22.0,16.0,26.0,40.0,12.0,10.0,18.0,55.0,41.0,48.0,11.0,37.0,38.0,76.0,46.0,45.0,42.0,36.0,24.0,17.0,9.0
1046,3.0,5.0,1.0,0.0,26.0,33.0,21.0,8.0,6.0,14.0,69.0,23.0,7.0,30.0,15.0,9.0,27.0,43.0,20.0,4.0,10.0,49.0,11.0,77.0,52.0,38.0,75.0,32.0,2.0,22.0
1095,6.0,13.0,2.0,0.0,11.0,48.0,12.0,3.0,5.0,20.0,23.0,21.0,14.0,10.0,32.0,22.0,26.0,63.0,27.0,1.0,18.0,37.0,8.0,7.0,65.0,50.0,17.0,4.0,19.0,9.0
1144,3.0,5.0,1.0,0.0,6.0,17.0,11.0,14.0,4.0,8.0,23.0,21.0,10.0,15.0,7.0,33.0,37.0,54.0,32.0,2.0,12.0,42.0,22.0,13.0,36.0,50.0,20.0,9.0,49.0,62.0
1193,2.0,6.0,1.0,0.0,29.0,4.0,3.0,7.0,16.0,11.0,26.0,27.0,17.0,19.0,23.0,8.0,13.0,75.0,39.0,25.0,15.0,18.0,61.0,14.0,95.0,72.0,73.0,30.0,5.0,9.0
1242,3.0,8.0,0.0,1.0,4.0,18.0,17.0,71.0,2.0,15.0,14.0,22.0,21.0,12.0,32.0,29.0,10.0,35.0,7.0,6.0,16.0,45.0,33.0,20.0,52.0,59.0,78.0,13.0,11.0,9.0
1291,3.0,2.0,0.0,1.0,9.0,24.0,17.0,15.0,6.0,19.0,38.0,8.0,16.0,20.0,7.0,29.0,26.0,21.0,22.0,13.0,10.0,42.0,12.0,4.0,34.0,33.0,56.0,11.0,5.0,18.0
