,ZNF625,SNHG18,PDE10A,ZSCAN18,NDN,HS3ST3A1,BHLHE41,DACH1,ZNF502,GREM1,ZNF334,CCND2,UBA6-AS1,LPHN2,TSPYL5,CCDC8,C17orf97,AC073052.1,UBA6,SPRY1,ROR2,MDFI,GPX1P1,ARL14,GRIN2A,ALDH2,HPDL,RPL39P6,CXADR,ALPK3
8,2.0,1.0,8.0,0.0,59.0,6.0,5.0,3.0,9.0,52.0,13.0,22.0,11.0,12.0,51.0,42.0,34.0,43.0,63.0,82.0,40.0,78.0,820.0,129.0,41.0,21.0,15.0,69.0,24.0,109.0
57,2.0,0.0,4.0,1.0,5.0,8.0,15.0,6.0,27.0,7.0,13.0,59.0,20.0,32.0,99.0,31.0,240.0,18.0,10.0,37.0,82.0,47.0,837.0,260.0,26.0,17.0,386.0,41.0,11.0,188.0
106,7.0,0.0,41.0,6.0,1.0,9.0,20.0,4.0,65.0,52.0,3.0,37.0,58.0,5.0,438.0,14.0,42.0,32.0,36.0,266.0,15.0,67.0,82.0,186.0,130.0,121.0,285.0,320.0,21.0,164.0
155,3.0,0.0,2.0,1.0,17.0,4.0,7.0,8.0,170.0,83.0,5.0,13.0,39.0,12.0,357.0,257.0,165.0,9.0,15.0,65.0,11.0,114.0,152.0,133.0,19.0,45.0,63.0,72.0,94.0,536.0
204,2.0,0.0,7.0,1.0,92.0,6.0,12.0,3.0,14.0,77.0,4.0,15.0,9.0,51.0,16.0,143.0,601.0,20.0,8.0,90.0,34.0,209.0,600.0,187.0,114.0,94.0,118.0,247.0,11.0,185.0
253,0.0,2.0,4.0,1.0,3.0,5.0,7.0,12.0,516.0,20.0,53.0,267.0,10.0,15.0,48.0,13.0,8.0,6.0,18.0,139.0,31.0,35.0,1517.0,44.0,133.0,58.0,79.0,513.0,42.0,28.0
302,9.0,3.0,2.0,1.0,0.0,8.0,5.0,7.0,187.0,22.0,18.0,347.0,30.0,222.0,4.0,131.0,12.0,81.0,47.0,14.0,230.0,20.0,943.0,1827.0,44.0,218.0,254.0,62.0,109.0,95.0
351,3.0,1.0,4.0,0.0,74.0,5.0,16.0,23.0,88.0,46.0,34.0,47.0,41.0,2.0,17.0,7.0,19.0,25.0,22.0,29.0,12.0,35.0,472.0,129.0,38.0,49.0,79.0,31.0,9.0,222.0
400,9.0,6.0,12.0,0.0,170.0,3.0,14.0,1.0,176.0,23.0,194.0,63.0,27.0,19.0,282.0,225.0,119.0,22.0,140.0,42.0,169.0,80.0,352.0,18.0,4.0,43.0,65.0,8.0,7.0,75.0
449,4.0,0.0,3.0,2.0,6.0,8.0,5.0,10.0,71.0,34.0,9.0,92.0,14.0,190.0,31.0,22.0,7.0,43.0,12.0,140.0,41.0,35.0,633.0,198.0,23.0,13.0,127.0,690.0,73.0,499.0
498,9.0,11.0,2.0,3.0,1.0,20.0,28.0,68.0,5.0,13.0,25.0,519.0,24.0,204.0,16.0,0.0,10.0,34.0,87.0,112.0,148.0,171.0,105.0,29.0,19.0,612.0,27.0,18.0,149.0,100.0
547,7.0,2.0,0.0,18.0,1.0,304.0,4.0,88.0,3.0,12.0,33.0,444.0,45.0,375.0,51.0,14.0,25.0,6.0,269.0,1376.0,17.0,308.0,10.0,105.0,8.0,77.0,67.0,47.0,191.0,52.0
596,4.0,0.0,3.0,19.0,1.0,8.0,10.0,37.0,5.0,6.0,628.0,118.0,12.0,329.0,186.0,32.0,7.0,44.0,172.0,67.0,14.0,311.0,30.0,47.0,11.0,262.0,21.0,22.0,46.0,23.0
645,12.0,83.0,4.0,6.0,0.0,14.0,28.0,24.0,5.0,22.0,3.0,31.0,23.0,70.0,39.0,1.0,175.0,32.0,121.0,172.0,15.0,62.0,128.0,99.0,227.0,122.0,2.0,177.0,230.0,58.0
694,9.0,1.0,23.0,4.0,0.0,3.0,5.0,65.0,36.0,25.0,6.0,1640.0,27.0,269.0,14.0,22.0,38.0,43.0,174.0,103.0,26.0,31.0,19.0,44.0,11.0,220.0,61.0,72.0,53.0,218.0
743,13.0,6.0,1.0,8.0,0.0,17.0,24.0,26.0,3.0,35.0,10.0,116.0,38.0,37.0,144.0,36.0,19.0,29.0,323.0,780.0,16.0,115.0,2.0,27.0,28.0,90.0,7.0,55.0,217.0,112.0
792,2.0,3.0,7.0,12.0,0.0,6.0,11.0,25.0,1.0,47.0,29.0,76.0,16.0,168.0,233.0,5.0,8.0,15.0,96.0,109.0,21.0,27.0,44.0,19.0,32.0,460.0,10.0,115.0,38.0,179.0
841,2.0,0.0,3.0,7.0,176.0,6.0,74.0,21.0,14.0,179.0,61.0,122.0,4.0,572.0,92.0,53.0,1.0,12.0,45.0,107.0,28.0,562.0,375.0,8.0,15.0,20.0,16.0,38.0,211.0,300.0
890,0.0,3.0,9.0,5.0,6.0,4.0,8.0,40.0,44.0,14.0,15.0,147.0,42.0,35.0,135.0,2.0,1.0,7.0,207.0,539.0,16.0,165.0,63.0,104.0,17.0,152.0,43.0,58.0,115.0,282.0
939,1.0,3.0,46.0,18.0,56.0,17.0,15.0,16.0,8.0,48.0,0.0,61.0,20.0,68.0,234.0,4.0,10.0,28.0,302.0,67.0,50.0,267.0,2.0,37.0,668.0,145.0,31.0,80.0,1055.0,232.0
988,9.0,4.0,2.0,10.0,0.0,7.0,103.0,12.0,8.0,20.0,21.0,92.0,19.0,132.0,1.0,22.0,14.0,78.0,18.0,74.0,11.0,88.0,5.0,227.0,17.0,279.0,219.0,34.0,16.0,23.0
1037,9.0,181.0,10.0,11.0,8.0,6.0,13.0,20.0,17.0,14.0,18.0,2.0,24.0,58.0,0.0,114.0,47.0,464.0,27.0,12.0,76.0,140.0,61.0,64.0,216.0,29.0,261.0,372.0,42.0,16.0
1086,5.0,25.0,4.0,19.0,6.0,1.0,82.0,36.0,14.0,40.0,26.0,140.0,31.0,243.0,0.0,133.0,24.0,84.0,90.0,61.0,8.0,35.0,2.0,45.0,7.0,177.0,272.0,247.0,39.0,27.0
1135,3.0,12.0,4.0,2.0,0.0,1.0,75.0,9.0,49.0,6.0,20.0,29.0,28.0,158.0,11.0,14.0,5.0,44.0,112.0,136.0,13.0,36.0,10.0,21.0,87.0,54.0,635.0,346.0,74.0,18.0
1184,11.0,0.0,4.0,10.0,121.0,3.0,112.0,6.0,179.0,20.0,12.0,19.0,133.0,25.0,16.0,13.0,111.0,74.0,178.0,18.0,1.0,285.0,5.0,109.0,21.0,108.0,712.0,201.0,27.0,22.0
1233,1.0,965.0,3.0,14.0,18.0,0.0,38.0,12.0,2.0,9.0,6.0,5.0,15.0,44.0,35.0,56.0,31.0,70.0,92.0,114.0,19.0,82.0,23.0,25.0,17.0,246.0,34.0,296.0,4.0,88.0
1282,9.0,8.0,22.0,1.0,118.0,4.0,80.0,24.0,17.0,117.0,6.0,95.0,42.0,274.0,0.0,2.0,20.0,217.0,122.0,37.0,13.0,39.0,328.0,53.0,5.0,182.0,353.0,206.0,15.0,25.0
1331,2.0,6.0,24.0,11.0,1.0,7.0,19.0,4.0,102.0,18.0,16.0,141.0,29.0,338.0,13.0,221.0,3.0,8.0,109.0,17.0,5.0,359.0,12.0,36.0,15.0,160.0,536.0,173.0,23.0,25.0
1380,7.0,21.0,1.0,5.0,13.0,2.0,79.0,27.0,3.0,4.0,14.0,34.0,16.0,50.0,20.0,17.0,70.0,15.0,75.0,189.0,19.0,80.0,0.0,53.0,40.0,302.0,225.0,134.0,22.0,73.0
