,HAEMATOPOIETIC,ENDOMETRIUM,PANCREAS,LIVER,NERVOUS,BREAST,LUNG,OVARY,SKIN,URINARY,OESOPHAGUS,GANGLIA,LARGE_INTESTINE,AERODIGESTIVE,PROSTATE,BONE,SALIVARY,SOFT_TISSUE,THYROID,KIDNEY,STOMACH,PLEURA,BILIARY
2301,0.0,13.0,3.0,1.0,2.0,4.0,7.0,8.0,5.0,6.0,9.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2350,0.0,21.0,4.0,3.0,5.0,8.0,7.0,6.0,9.0,10.0,11.0,12.0,2.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,1.0,15.0,22.0
2399,0.0,21.0,2.0,3.0,4.0,5.0,8.0,6.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,1.0,15.0,22.0
2448,0.0,12.0,2.0,1.0,3.0,4.0,6.0,7.0,5.0,19.0,8.0,9.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
2497,0.0,1.0,3.0,2.0,5.0,4.0,6.0,9.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2546,0.0,21.0,1.0,2.0,3.0,5.0,8.0,9.0,6.0,7.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,4.0,15.0,22.0
2595,0.0,2.0,3.0,15.0,4.0,7.0,6.0,5.0,8.0,20.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,1.0,21.0,22.0
2644,0.0,1.0,2.0,14.0,3.0,4.0,5.0,7.0,6.0,19.0,8.0,9.0,10.0,11.0,13.0,21.0,15.0,16.0,17.0,18.0,20.0,12.0,22.0
2693,0.0,13.0,1.0,2.0,3.0,4.0,8.0,6.0,5.0,7.0,9.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2742,0.0,13.0,3.0,2.0,6.0,4.0,8.0,7.0,5.0,20.0,9.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,1.0,21.0,22.0
2791,0.0,2.0,3.0,4.0,6.0,5.0,8.0,10.0,7.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,1.0,21.0,22.0
2840,1.0,0.0,2.0,3.0,4.0,7.0,6.0,9.0,5.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2889,0.0,2.0,3.0,4.0,6.0,8.0,7.0,5.0,9.0,20.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,1.0,21.0,22.0
2938,0.0,21.0,3.0,2.0,5.0,4.0,6.0,9.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,1.0,15.0,22.0
2987,0.0,1.0,3.0,2.0,4.0,5.0,8.0,9.0,6.0,7.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3036,1.0,2.0,4.0,16.0,6.0,7.0,5.0,9.0,8.0,3.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,0.0,21.0,22.0
3085,0.0,1.0,3.0,4.0,5.0,7.0,2.0,6.0,9.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3134,1.0,0.0,3.0,2.0,4.0,7.0,6.0,9.0,8.0,5.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3183,1.0,3.0,2.0,16.0,5.0,9.0,4.0,8.0,6.0,7.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,0.0,21.0,22.0
3232,0.0,13.0,3.0,4.0,5.0,9.0,7.0,6.0,8.0,20.0,10.0,11.0,2.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,1.0,21.0,22.0
3281,1.0,2.0,5.0,3.0,6.0,9.0,4.0,10.0,8.0,7.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,0.0,21.0,22.0
3330,0.0,1.0,3.0,15.0,4.0,5.0,6.0,2.0,8.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3379,1.0,21.0,5.0,3.0,8.0,4.0,6.0,7.0,9.0,10.0,11.0,12.0,2.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,0.0,15.0,22.0
3428,0.0,2.0,3.0,1.0,5.0,7.0,6.0,4.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3477,1.0,0.0,4.0,2.0,3.0,5.0,8.0,7.0,6.0,19.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
3526,0.0,13.0,1.0,2.0,3.0,5.0,7.0,8.0,4.0,6.0,9.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3575,0.0,1.0,2.0,15.0,4.0,7.0,3.0,6.0,5.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3624,1.0,0.0,3.0,2.0,4.0,7.0,8.0,9.0,6.0,5.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3673,0.0,1.0,2.0,15.0,4.0,5.0,3.0,6.0,8.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3722,0.0,1.0,3.0,2.0,4.0,5.0,9.0,6.0,8.0,7.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3771,1.0,0.0,3.0,2.0,5.0,4.0,6.0,9.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3820,0.0,13.0,2.0,1.0,3.0,4.0,6.0,8.0,5.0,7.0,9.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3869,0.0,2.0,1.0,15.0,4.0,5.0,7.0,6.0,8.0,3.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3918,0.0,12.0,1.0,15.0,6.0,5.0,3.0,4.0,7.0,2.0,8.0,9.0,10.0,11.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3967,0.0,12.0,2.0,1.0,4.0,3.0,5.0,19.0,7.0,6.0,8.0,9.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
4016,1.0,21.0,4.0,2.0,5.0,6.0,3.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,0.0,15.0,22.0
4065,0.0,1.0,3.0,2.0,5.0,4.0,8.0,6.0,7.0,19.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
4114,0.0,12.0,3.0,1.0,2.0,4.0,7.0,6.0,5.0,19.0,8.0,9.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
4163,1.0,0.0,3.0,2.0,4.0,6.0,5.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4212,0.0,2.0,5.0,4.0,6.0,3.0,9.0,10.0,8.0,7.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,1.0,21.0,22.0
4261,0.0,13.0,2.0,1.0,4.0,7.0,5.0,8.0,6.0,20.0,9.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,3.0,21.0,22.0
4310,0.0,21.0,4.0,3.0,6.0,5.0,7.0,9.0,8.0,10.0,11.0,12.0,2.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,1.0,15.0,22.0
4359,0.0,21.0,5.0,4.0,6.0,8.0,7.0,9.0,10.0,3.0,11.0,12.0,2.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,1.0,15.0,22.0
4408,0.0,13.0,2.0,1.0,5.0,4.0,3.0,8.0,7.0,6.0,9.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4457,0.0,13.0,4.0,3.0,5.0,6.0,7.0,2.0,8.0,9.0,10.0,11.0,1.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4506,1.0,2.0,6.0,4.0,7.0,3.0,8.0,5.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,0.0,21.0,22.0
4555,0.0,1.0,4.0,3.0,5.0,6.0,8.0,9.0,2.0,7.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4604,1.0,5.0,6.0,7.0,9.0,10.0,8.0,2.0,11.0,4.0,12.0,13.0,3.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,0.0,21.0,22.0
4653,1.0,21.0,4.0,5.0,7.0,8.0,6.0,2.0,3.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,0.0,15.0,22.0
4702,0.0,3.0,2.0,4.0,5.0,6.0,10.0,7.0,8.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,1.0,21.0,22.0
4751,0.0,2.0,4.0,3.0,7.0,6.0,8.0,5.0,9.0,20.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,1.0,21.0,22.0
4800,1.0,21.0,5.0,4.0,6.0,7.0,8.0,3.0,9.0,10.0,11.0,12.0,2.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,0.0,15.0,22.0
4849,0.0,12.0,2.0,15.0,5.0,4.0,7.0,3.0,6.0,1.0,8.0,9.0,10.0,11.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4898,0.0,3.0,5.0,6.0,7.0,8.0,9.0,2.0,10.0,20.0,11.0,12.0,4.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,1.0,21.0,22.0
