,LUNG,BREAST,ENDOMETRIUM,NERVOUS,LARGE_INTESTINE,HAEMATOPOIETIC,SKIN,STOMACH,PANCREAS,LIVER,OESOPHAGUS,OVARY,URINARY,SOFT_TISSUE,BONE,GANGLIA,PLEURA,AERODIGESTIVE,PROSTATE,THYROID,KIDNEY,SALIVARY,BILIARY
48,0.0,11.0,8.0,2.0,5.0,10.0,3.0,6.0,14.0,1.0,15.0,4.0,9.0,12.0,7.0,16.0,13.0,20.0,17.0,18.0,19.0,21.0,22.0
97,11.0,8.0,2.0,5.0,12.0,0.0,1.0,3.0,14.0,9.0,6.0,13.0,4.0,18.0,10.0,15.0,7.0,16.0,17.0,19.0,20.0,21.0,22.0
146,0.0,5.0,2.0,12.0,3.0,1.0,6.0,8.0,10.0,13.0,9.0,11.0,7.0,4.0,14.0,16.0,15.0,20.0,17.0,18.0,19.0,21.0,22.0
195,2.0,1.0,0.0,7.0,4.0,10.0,15.0,9.0,6.0,3.0,5.0,11.0,8.0,12.0,13.0,16.0,14.0,20.0,17.0,18.0,19.0,21.0,22.0
244,14.0,5.0,0.0,20.0,6.0,2.0,3.0,10.0,7.0,4.0,9.0,8.0,1.0,11.0,12.0,16.0,13.0,15.0,17.0,18.0,19.0,21.0,22.0
293,1.0,5.0,2.0,0.0,4.0,7.0,6.0,15.0,11.0,3.0,10.0,8.0,9.0,12.0,13.0,16.0,14.0,20.0,17.0,18.0,19.0,21.0,22.0
342,8.0,9.0,10.0,0.0,2.0,5.0,12.0,3.0,6.0,7.0,1.0,4.0,15.0,13.0,16.0,14.0,11.0,17.0,18.0,19.0,20.0,21.0,22.0
391,1.0,13.0,2.0,0.0,5.0,7.0,6.0,10.0,12.0,14.0,11.0,8.0,9.0,18.0,4.0,15.0,3.0,16.0,17.0,19.0,20.0,21.0,22.0
440,3.0,11.0,0.0,1.0,5.0,9.0,6.0,8.0,10.0,4.0,2.0,13.0,7.0,12.0,20.0,15.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
489,16.0,11.0,1.0,0.0,9.0,6.0,8.0,3.0,7.0,10.0,13.0,5.0,4.0,2.0,14.0,19.0,15.0,12.0,20.0,18.0,17.0,21.0,22.0
538,1.0,15.0,3.0,0.0,12.0,9.0,7.0,11.0,2.0,5.0,6.0,14.0,10.0,8.0,13.0,16.0,4.0,18.0,20.0,19.0,17.0,21.0,22.0
587,2.0,4.0,5.0,0.0,1.0,9.0,19.0,11.0,3.0,12.0,7.0,14.0,10.0,8.0,6.0,15.0,13.0,18.0,20.0,16.0,17.0,21.0,22.0
636,19.0,5.0,12.0,14.0,7.0,2.0,6.0,0.0,4.0,15.0,8.0,18.0,1.0,3.0,10.0,13.0,9.0,11.0,20.0,16.0,17.0,21.0,22.0
685,3.0,0.0,5.0,13.0,7.0,9.0,2.0,14.0,4.0,1.0,6.0,11.0,10.0,8.0,17.0,15.0,12.0,18.0,20.0,19.0,16.0,21.0,22.0
734,11.0,1.0,7.0,5.0,8.0,0.0,2.0,3.0,4.0,15.0,9.0,6.0,14.0,19.0,10.0,13.0,12.0,18.0,20.0,16.0,17.0,21.0,22.0
783,13.0,7.0,12.0,0.0,9.0,5.0,8.0,2.0,6.0,14.0,10.0,4.0,3.0,1.0,11.0,16.0,15.0,19.0,20.0,17.0,18.0,21.0,22.0
832,2.0,3.0,1.0,9.0,11.0,8.0,5.0,16.0,0.0,13.0,6.0,14.0,10.0,7.0,4.0,17.0,15.0,12.0,19.0,20.0,18.0,21.0,22.0
881,2.0,10.0,13.0,4.0,8.0,6.0,7.0,0.0,1.0,16.0,9.0,5.0,3.0,19.0,11.0,14.0,15.0,12.0,20.0,17.0,18.0,21.0,22.0
930,3.0,1.0,10.0,6.0,2.0,0.0,14.0,4.0,8.0,16.0,9.0,7.0,5.0,13.0,15.0,19.0,12.0,11.0,20.0,17.0,18.0,21.0,22.0
979,19.0,8.0,1.0,5.0,14.0,0.0,9.0,3.0,7.0,11.0,10.0,6.0,4.0,13.0,12.0,2.0,18.0,17.0,20.0,15.0,16.0,21.0,22.0
1028,11.0,2.0,3.0,4.0,15.0,5.0,0.0,1.0,16.0,8.0,6.0,13.0,14.0,12.0,10.0,7.0,9.0,20.0,17.0,18.0,19.0,21.0,22.0
1077,0.0,5.0,1.0,6.0,12.0,2.0,7.0,4.0,3.0,13.0,10.0,8.0,9.0,11.0,14.0,16.0,15.0,20.0,17.0,18.0,19.0,21.0,22.0
1126,0.0,6.0,10.0,20.0,5.0,4.0,15.0,14.0,1.0,8.0,2.0,3.0,11.0,7.0,9.0,12.0,13.0,16.0,17.0,18.0,19.0,21.0,22.0
1175,12.0,1.0,4.0,0.0,8.0,5.0,2.0,3.0,16.0,9.0,6.0,13.0,14.0,15.0,11.0,7.0,10.0,20.0,17.0,18.0,19.0,21.0,22.0
1224,0.0,3.0,15.0,8.0,2.0,11.0,6.0,10.0,16.0,13.0,5.0,7.0,9.0,12.0,14.0,4.0,1.0,20.0,17.0,18.0,19.0,21.0,22.0
1273,0.0,2.0,10.0,4.0,1.0,5.0,7.0,19.0,14.0,8.0,3.0,12.0,11.0,13.0,9.0,6.0,20.0,15.0,16.0,17.0,18.0,21.0,22.0
1322,11.0,6.0,4.0,1.0,8.0,0.0,2.0,3.0,16.0,15.0,13.0,5.0,14.0,7.0,10.0,12.0,9.0,20.0,17.0,18.0,19.0,21.0,22.0
1371,0.0,2.0,11.0,12.0,8.0,5.0,7.0,3.0,6.0,9.0,1.0,13.0,4.0,15.0,18.0,19.0,10.0,14.0,20.0,16.0,17.0,21.0,22.0
1420,16.0,1.0,4.0,0.0,5.0,2.0,3.0,7.0,6.0,13.0,8.0,10.0,12.0,11.0,14.0,9.0,15.0,20.0,17.0,18.0,19.0,21.0,22.0
1469,2.0,0.0,20.0,7.0,4.0,1.0,6.0,8.0,10.0,3.0,9.0,12.0,13.0,5.0,14.0,11.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
1518,7.0,5.0,2.0,1.0,6.0,8.0,10.0,9.0,0.0,3.0,11.0,20.0,12.0,4.0,13.0,15.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
1567,15.0,6.0,3.0,1.0,5.0,2.0,0.0,9.0,7.0,4.0,8.0,10.0,11.0,18.0,12.0,14.0,13.0,16.0,17.0,19.0,20.0,21.0,22.0
1616,12.0,7.0,5.0,4.0,9.0,1.0,16.0,2.0,0.0,15.0,6.0,14.0,3.0,8.0,11.0,13.0,10.0,20.0,17.0,18.0,19.0,21.0,22.0
1665,0.0,10.0,3.0,1.0,2.0,5.0,6.0,4.0,7.0,8.0,12.0,19.0,11.0,16.0,9.0,13.0,20.0,14.0,15.0,17.0,18.0,21.0,22.0
1714,12.0,8.0,3.0,4.0,10.0,0.0,1.0,2.0,20.0,11.0,6.0,5.0,14.0,9.0,15.0,13.0,7.0,16.0,17.0,18.0,19.0,21.0,22.0
1763,17.0,6.0,14.0,0.0,1.0,2.0,3.0,13.0,7.0,5.0,8.0,11.0,9.0,10.0,12.0,15.0,4.0,20.0,16.0,18.0,19.0,21.0,22.0
1812,12.0,6.0,17.0,4.0,9.0,1.0,8.0,0.0,5.0,11.0,14.0,13.0,3.0,15.0,10.0,2.0,7.0,19.0,20.0,16.0,18.0,21.0,22.0
1861,6.0,1.0,14.0,20.0,5.0,2.0,10.0,11.0,0.0,3.0,8.0,7.0,9.0,4.0,12.0,16.0,13.0,15.0,17.0,18.0,19.0,21.0,22.0
1910,1.0,7.0,2.0,0.0,6.0,12.0,16.0,10.0,8.0,5.0,9.0,13.0,14.0,11.0,4.0,15.0,3.0,20.0,17.0,18.0,19.0,21.0,22.0
1959,16.0,1.0,3.0,7.0,4.0,2.0,6.0,8.0,0.0,12.0,5.0,15.0,11.0,10.0,13.0,9.0,14.0,20.0,17.0,18.0,19.0,21.0,22.0
2008,15.0,6.0,20.0,9.0,4.0,8.0,0.0,13.0,7.0,3.0,1.0,11.0,10.0,5.0,12.0,14.0,2.0,16.0,17.0,18.0,19.0,21.0,22.0
2057,0.0,4.0,15.0,7.0,3.0,10.0,5.0,9.0,20.0,2.0,1.0,6.0,8.0,12.0,13.0,11.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
2106,0.0,5.0,1.0,20.0,6.0,8.0,7.0,10.0,12.0,3.0,13.0,9.0,15.0,4.0,14.0,11.0,2.0,16.0,17.0,18.0,19.0,21.0,22.0
2155,6.0,4.0,2.0,9.0,3.0,7.0,0.0,15.0,16.0,1.0,10.0,8.0,12.0,11.0,13.0,5.0,14.0,19.0,17.0,18.0,21.0,20.0,22.0
2204,12.0,1.0,9.0,0.0,8.0,6.0,15.0,3.0,2.0,14.0,5.0,20.0,4.0,13.0,11.0,7.0,10.0,16.0,17.0,18.0,19.0,21.0,22.0
2253,0.0,11.0,2.0,1.0,4.0,16.0,6.0,8.0,9.0,3.0,5.0,7.0,13.0,12.0,14.0,10.0,15.0,20.0,17.0,18.0,19.0,21.0,22.0
2302,6.0,2.0,3.0,1.0,4.0,7.0,9.0,14.0,0.0,12.0,15.0,8.0,11.0,5.0,20.0,10.0,13.0,16.0,17.0,18.0,19.0,21.0,22.0
2351,11.0,15.0,3.0,4.0,9.0,1.0,16.0,0.0,2.0,7.0,6.0,13.0,14.0,8.0,10.0,12.0,5.0,20.0,17.0,18.0,19.0,21.0,22.0
2400,12.0,7.0,2.0,1.0,9.0,8.0,0.0,5.0,17.0,3.0,14.0,13.0,6.0,4.0,11.0,19.0,10.0,18.0,20.0,15.0,16.0,21.0,22.0
2449,4.0,10.0,9.0,5.0,7.0,1.0,6.0,0.0,3.0,8.0,2.0,12.0,11.0,17.0,14.0,13.0,21.0,15.0,16.0,18.0,19.0,20.0,22.0
2498,3.0,10.0,2.0,4.0,1.0,6.0,8.0,0.0,14.0,9.0,12.0,5.0,11.0,17.0,13.0,7.0,20.0,15.0,16.0,18.0,19.0,21.0,22.0
2547,3.0,9.0,10.0,1.0,7.0,6.0,2.0,0.0,14.0,8.0,4.0,5.0,19.0,17.0,16.0,11.0,20.0,13.0,15.0,12.0,18.0,21.0,22.0
2596,0.0,2.0,11.0,5.0,7.0,1.0,8.0,3.0,9.0,10.0,4.0,6.0,19.0,16.0,20.0,12.0,13.0,14.0,15.0,17.0,18.0,21.0,22.0
2645,15.0,8.0,3.0,0.0,2.0,7.0,12.0,5.0,1.0,13.0,9.0,17.0,6.0,19.0,10.0,4.0,11.0,14.0,20.0,18.0,16.0,21.0,22.0
2694,3.0,5.0,15.0,1.0,4.0,2.0,7.0,0.0,9.0,12.0,8.0,10.0,11.0,18.0,13.0,6.0,14.0,16.0,17.0,19.0,20.0,21.0,22.0
2743,12.0,11.0,10.0,14.0,1.0,0.0,6.0,2.0,9.0,7.0,4.0,3.0,13.0,17.0,8.0,5.0,20.0,15.0,16.0,18.0,19.0,21.0,22.0
2792,0.0,2.0,3.0,1.0,4.0,9.0,6.0,8.0,10.0,12.0,5.0,7.0,11.0,18.0,13.0,15.0,14.0,16.0,17.0,19.0,20.0,21.0,22.0
2841,10.0,9.0,8.0,4.0,7.0,0.0,12.0,3.0,14.0,2.0,1.0,5.0,11.0,17.0,13.0,6.0,20.0,15.0,16.0,18.0,19.0,21.0,22.0
2890,0.0,5.0,1.0,8.0,4.0,11.0,7.0,16.0,10.0,3.0,9.0,12.0,15.0,20.0,14.0,6.0,2.0,13.0,17.0,18.0,19.0,21.0,22.0
2939,11.0,7.0,4.0,1.0,8.0,5.0,3.0,0.0,15.0,9.0,2.0,13.0,14.0,18.0,6.0,12.0,10.0,16.0,17.0,19.0,20.0,21.0,22.0
2988,2.0,10.0,9.0,3.0,7.0,0.0,6.0,11.0,1.0,14.0,5.0,4.0,12.0,17.0,8.0,13.0,20.0,15.0,16.0,18.0,19.0,21.0,22.0
3037,8.0,1.0,3.0,5.0,2.0,0.0,11.0,14.0,16.0,7.0,6.0,13.0,4.0,15.0,10.0,12.0,9.0,20.0,17.0,18.0,19.0,21.0,22.0
3086,2.0,7.0,11.0,4.0,1.0,0.0,13.0,14.0,15.0,9.0,6.0,5.0,3.0,8.0,10.0,16.0,12.0,20.0,17.0,18.0,19.0,21.0,22.0
3135,12.0,8.0,11.0,1.0,2.0,6.0,9.0,0.0,7.0,13.0,14.0,5.0,4.0,3.0,15.0,19.0,10.0,18.0,20.0,16.0,17.0,21.0,22.0
3184,0.0,2.0,3.0,7.0,12.0,10.0,6.0,8.0,16.0,1.0,15.0,11.0,13.0,5.0,4.0,9.0,14.0,20.0,17.0,18.0,19.0,21.0,22.0
3233,1.0,5.0,6.0,7.0,4.0,0.0,3.0,20.0,8.0,12.0,13.0,9.0,10.0,11.0,2.0,15.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
3282,1.0,3.0,0.0,7.0,14.0,10.0,6.0,9.0,11.0,2.0,5.0,12.0,8.0,13.0,20.0,4.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
3331,0.0,4.0,7.0,11.0,6.0,2.0,9.0,8.0,1.0,14.0,3.0,12.0,10.0,5.0,15.0,13.0,16.0,20.0,17.0,18.0,19.0,21.0,22.0
