,FAM21B,PYCARD,HMGA2,RP11-1094M14.1,PTEN,GAMT,BHLHE41,FAM110C,NDN,CPNE7,ADAP2,HSPB1,BTN3A1,AP006222.2,ZNF502,IFITM2,SCN9A,HS1BP3,RPL22,GBP5,SNCA,PITPNC1,ALDH2,C20orf96,NRK,RP11-517B11.7,ATP10A,PNRC2,RP11-216M21.1,FDXR
2949,0.0,54.0,2.0,6.0,5.0,13.0,1.0,19.0,110.0,3.0,89.0,248.0,108.0,65.0,9.0,42.0,14.0,58.0,22.0,16.0,4.0,52.0,53.0,34.0,82.0,103.0,105.0,36.0,15.0,10.0
2998,0.0,1.0,5.0,2.0,12.0,7.0,9.0,13.0,360.0,24.0,16.0,93.0,80.0,528.0,6.0,4.0,15.0,36.0,34.0,51.0,27.0,153.0,14.0,248.0,58.0,204.0,65.0,23.0,21.0,25.0
3047,0.0,13.0,78.0,1.0,10.0,8.0,30.0,72.0,42.0,6.0,90.0,35.0,173.0,28.0,40.0,22.0,9.0,85.0,46.0,20.0,83.0,297.0,139.0,18.0,55.0,149.0,103.0,7.0,3.0,2.0
3096,2.0,27.0,5.0,0.0,80.0,10.0,13.0,90.0,471.0,1.0,21.0,77.0,36.0,41.0,9.0,8.0,35.0,50.0,28.0,37.0,268.0,32.0,422.0,18.0,45.0,226.0,458.0,76.0,73.0,4.0
3145,0.0,5.0,8.0,1.0,29.0,135.0,15.0,2.0,50.0,46.0,23.0,123.0,18.0,53.0,9.0,6.0,48.0,145.0,38.0,51.0,62.0,17.0,59.0,20.0,16.0,56.0,49.0,37.0,3.0,60.0
3194,0.0,2.0,5.0,1.0,27.0,86.0,6.0,19.0,525.0,16.0,9.0,26.0,63.0,70.0,4.0,75.0,7.0,190.0,22.0,13.0,10.0,45.0,25.0,89.0,11.0,335.0,310.0,28.0,8.0,40.0
3243,3.0,545.0,5.0,0.0,7.0,73.0,1.0,13.0,20.0,17.0,9.0,68.0,22.0,64.0,11.0,33.0,45.0,53.0,24.0,18.0,4.0,37.0,76.0,63.0,14.0,312.0,85.0,387.0,2.0,16.0
3292,1.0,2.0,14.0,0.0,10.0,9.0,4.0,38.0,618.0,23.0,117.0,296.0,36.0,34.0,7.0,114.0,6.0,157.0,48.0,32.0,26.0,22.0,416.0,126.0,17.0,339.0,351.0,15.0,12.0,16.0
3341,2.0,53.0,3.0,0.0,5.0,16.0,1.0,14.0,52.0,4.0,8.0,18.0,102.0,33.0,119.0,37.0,21.0,68.0,42.0,12.0,31.0,7.0,231.0,75.0,50.0,94.0,417.0,87.0,9.0,64.0
3390,0.0,2.0,4.0,1.0,43.0,104.0,3.0,68.0,3212.0,148.0,706.0,27.0,45.0,19.0,8.0,10.0,67.0,159.0,7.0,5.0,22.0,12.0,189.0,105.0,820.0,46.0,233.0,112.0,36.0,134.0
3439,2.0,69.0,0.0,36.0,27.0,15.0,21.0,134.0,3.0,18.0,5.0,194.0,11.0,61.0,786.0,385.0,411.0,28.0,58.0,4.0,96.0,6.0,49.0,169.0,8.0,37.0,9.0,81.0,193.0,82.0
3488,0.0,4.0,20.0,105.0,2.0,1.0,79.0,3.0,13.0,36.0,7.0,48.0,33.0,57.0,74.0,44.0,214.0,25.0,101.0,8.0,417.0,15.0,186.0,37.0,23.0,165.0,5.0,19.0,61.0,14.0
3537,0.0,12.0,1.0,214.0,14.0,16.0,154.0,36.0,13.0,37.0,33.0,58.0,17.0,63.0,597.0,98.0,131.0,40.0,97.0,24.0,52.0,70.0,18.0,57.0,65.0,299.0,4.0,41.0,106.0,15.0
3586,2.0,1.0,4.0,74.0,5.0,9.0,419.0,36.0,17.0,217.0,0.0,46.0,10.0,100.0,1934.0,11.0,187.0,19.0,23.0,15.0,620.0,83.0,30.0,146.0,37.0,246.0,52.0,61.0,54.0,14.0
3635,0.0,2.0,20.0,11.0,3.0,25.0,80.0,8.0,1.0,59.0,21.0,51.0,29.0,111.0,2150.0,249.0,110.0,23.0,335.0,5.0,91.0,61.0,124.0,17.0,36.0,134.0,7.0,6.0,40.0,24.0
3684,0.0,1.0,35.0,792.0,24.0,11.0,157.0,4.0,12.0,14.0,57.0,40.0,10.0,31.0,251.0,60.0,200.0,81.0,30.0,26.0,293.0,20.0,155.0,27.0,3.0,113.0,17.0,48.0,367.0,5.0
3733,0.0,4.0,12.0,19.0,6.0,11.0,279.0,28.0,10.0,7.0,2.0,81.0,31.0,58.0,70.0,20.0,282.0,14.0,38.0,74.0,120.0,191.0,35.0,64.0,43.0,173.0,3.0,53.0,96.0,9.0
3782,1.0,7.0,3.0,1053.0,14.0,4.0,125.0,11.0,0.0,94.0,9.0,102.0,31.0,33.0,83.0,58.0,173.0,106.0,92.0,18.0,34.0,10.0,50.0,54.0,15.0,198.0,5.0,350.0,43.0,13.0
3831,0.0,3.0,7.0,114.0,4.0,105.0,210.0,2.0,1.0,124.0,18.0,35.0,15.0,64.0,277.0,74.0,67.0,98.0,168.0,9.0,148.0,48.0,113.0,66.0,25.0,123.0,8.0,47.0,150.0,14.0
3880,2.0,84.0,16.0,70.0,0.0,7.0,78.0,58.0,8.0,34.0,1.0,120.0,53.0,36.0,802.0,113.0,324.0,21.0,55.0,312.0,369.0,5.0,13.0,33.0,6.0,287.0,3.0,470.0,92.0,9.0
3929,33.0,2.0,7.0,0.0,8.0,14.0,88.0,185.0,1539.0,54.0,5.0,13.0,11.0,57.0,36.0,17.0,34.0,49.0,61.0,18.0,31.0,9.0,364.0,156.0,16.0,24.0,95.0,218.0,19.0,478.0
3978,0.0,2.0,4.0,1.0,3.0,15.0,99.0,46.0,24.0,16.0,7.0,9.0,8.0,28.0,10.0,40.0,33.0,25.0,363.0,35.0,92.0,27.0,51.0,80.0,13.0,107.0,58.0,82.0,105.0,235.0
4027,18.0,22.0,15.0,4.0,11.0,1.0,403.0,158.0,26.0,0.0,12.0,10.0,17.0,59.0,3.0,6.0,27.0,44.0,322.0,67.0,137.0,69.0,20.0,62.0,7.0,89.0,48.0,716.0,63.0,81.0
4076,8.0,1.0,3.0,0.0,12.0,55.0,69.0,204.0,120.0,56.0,28.0,51.0,5.0,58.0,2.0,493.0,26.0,32.0,148.0,38.0,50.0,40.0,6.0,225.0,63.0,194.0,57.0,35.0,4.0,84.0
4125,2.0,1.0,7.0,3.0,8.0,15.0,75.0,19.0,40.0,34.0,6.0,5.0,33.0,95.0,63.0,38.0,42.0,22.0,110.0,20.0,47.0,21.0,45.0,39.0,14.0,91.0,24.0,59.0,10.0,84.0
4174,0.0,1.0,3.0,8.0,6.0,4.0,118.0,108.0,47.0,105.0,2.0,5.0,32.0,95.0,79.0,36.0,13.0,29.0,168.0,18.0,23.0,355.0,64.0,88.0,21.0,39.0,40.0,14.0,70.0,113.0
4223,1.0,0.0,14.0,4.0,29.0,26.0,210.0,211.0,9.0,30.0,34.0,2.0,5.0,11.0,302.0,279.0,15.0,74.0,69.0,48.0,25.0,60.0,21.0,42.0,7.0,31.0,95.0,153.0,10.0,232.0
4272,51.0,20.0,1.0,8.0,26.0,16.0,70.0,21.0,4.0,78.0,53.0,10.0,2.0,24.0,32.0,23.0,31.0,52.0,97.0,19.0,12.0,59.0,152.0,180.0,3.0,15.0,62.0,525.0,27.0,328.0
4321,0.0,11.0,2.0,1.0,3.0,17.0,229.0,223.0,5.0,153.0,19.0,14.0,48.0,30.0,8.0,113.0,54.0,27.0,89.0,18.0,20.0,139.0,16.0,252.0,22.0,35.0,56.0,104.0,13.0,74.0
4370,0.0,5.0,9.0,1.0,2.0,6.0,105.0,93.0,4.0,58.0,63.0,3.0,82.0,7.0,11.0,70.0,21.0,33.0,478.0,71.0,250.0,50.0,81.0,14.0,72.0,13.0,8.0,521.0,12.0,150.0
4419,2.0,0.0,3.0,11.0,10.0,71.0,56.0,9.0,44.0,111.0,97.0,25.0,8.0,63.0,1.0,21.0,27.0,96.0,26.0,46.0,95.0,51.0,125.0,114.0,229.0,109.0,6.0,4.0,15.0,5.0
4468,1.0,24.0,249.0,6.0,3.0,12.0,35.0,2.0,0.0,144.0,138.0,37.0,58.0,17.0,80.0,171.0,8.0,117.0,64.0,19.0,130.0,41.0,46.0,323.0,309.0,9.0,30.0,10.0,38.0,13.0
4517,4.0,3.0,10.0,1.0,11.0,32.0,30.0,5.0,0.0,395.0,9.0,22.0,2.0,28.0,8.0,36.0,27.0,129.0,7.0,61.0,146.0,53.0,428.0,246.0,42.0,15.0,31.0,16.0,12.0,13.0
4566,10.0,9.0,167.0,19.0,12.0,79.0,243.0,1.0,5.0,223.0,48.0,7.0,4.0,16.0,3.0,18.0,20.0,91.0,264.0,26.0,290.0,11.0,99.0,28.0,101.0,49.0,45.0,31.0,30.0,34.0
4615,3.0,17.0,7.0,42.0,22.0,26.0,12.0,0.0,8.0,34.0,31.0,11.0,14.0,27.0,20.0,30.0,4.0,184.0,85.0,61.0,65.0,29.0,369.0,36.0,43.0,21.0,2.0,9.0,5.0,32.0
4664,2.0,12.0,16.0,11.0,1.0,18.0,29.0,5.0,3.0,231.0,26.0,27.0,23.0,44.0,0.0,73.0,50.0,64.0,25.0,180.0,81.0,15.0,69.0,90.0,303.0,38.0,21.0,4.0,98.0,222.0
4713,0.0,26.0,60.0,21.0,9.0,7.0,15.0,8.0,6.0,141.0,33.0,14.0,5.0,58.0,24.0,4.0,49.0,51.0,13.0,40.0,227.0,29.0,37.0,25.0,66.0,165.0,2.0,107.0,147.0,19.0
4762,48.0,6.0,45.0,0.0,1.0,13.0,94.0,3.0,187.0,611.0,21.0,142.0,8.0,78.0,44.0,7.0,11.0,111.0,15.0,97.0,88.0,98.0,14.0,102.0,56.0,36.0,9.0,22.0,2.0,5.0
4811,0.0,1.0,5.0,14.0,17.0,31.0,12.0,18.0,15.0,77.0,93.0,2.0,4.0,67.0,24.0,6.0,49.0,102.0,39.0,42.0,179.0,21.0,248.0,104.0,55.0,11.0,3.0,7.0,692.0,40.0
4860,0.0,1.0,6.0,3.0,22.0,12.0,8.0,5.0,31.0,132.0,100.0,16.0,7.0,460.0,94.0,91.0,32.0,54.0,18.0,56.0,72.0,135.0,20.0,47.0,152.0,33.0,14.0,2.0,24.0,75.0
