,hsa-let-7e,hsa-miR-30a,hsa-miR-142-5p,hsa-miR-21,hsa-miR-22,hsa-miR-30d,hsa-miR-30e,hsa-miR-766,hsa-miR-220b,hsa-miR-34a,hsa-miR-30c,hsa-miR-199b-5p,hsa-miR-214,hsa-miR-744,hsa-miR-92a,hsa-miR-378,hsa-miR-193a-5p,hsa-miR-28-5p,hsa-miR-200a,hsa-miR-607,hsa-miR-574-5p,hsa-miR-24,hsa-miR-190b,hsa-miR-223,hsa-miR-210,hsa-miR-222,hsa-miR-643,hsa-miR-1246,hsa-miR-146b-5p,hsa-miR-193b
18,2.0,3.0,0.0,4.0,8.0,1.0,7.0,11.0,9.0,28.0,24.0,16.0,5.0,6.0,22.0,246.0,21.0,20.0,17.0,30.0,10.0,25.0,249.0,26.0,299.0,44.0,263.0,47.0,42.0,104.0
67,0.0,1.0,3.0,4.0,5.0,10.0,9.0,7.0,14.0,13.0,11.0,2.0,16.0,6.0,18.0,31.0,8.0,142.0,273.0,44.0,111.0,12.0,65.0,17.0,125.0,58.0,47.0,23.0,28.0,106.0
116,0.0,1.0,4.0,3.0,15.0,6.0,9.0,2.0,11.0,5.0,20.0,19.0,13.0,7.0,123.0,8.0,56.0,28.0,10.0,25.0,91.0,63.0,18.0,100.0,306.0,12.0,161.0,17.0,280.0,124.0
165,3.0,2.0,0.0,1.0,4.0,7.0,6.0,5.0,16.0,11.0,13.0,9.0,10.0,18.0,31.0,15.0,28.0,21.0,25.0,188.0,40.0,27.0,17.0,12.0,304.0,59.0,39.0,199.0,82.0,232.0
214,0.0,2.0,1.0,5.0,3.0,4.0,8.0,7.0,10.0,15.0,9.0,6.0,12.0,44.0,43.0,32.0,146.0,11.0,34.0,332.0,18.0,24.0,57.0,26.0,60.0,19.0,95.0,115.0,81.0,103.0
263,0.0,1.0,6.0,3.0,2.0,4.0,19.0,11.0,20.0,8.0,18.0,5.0,10.0,12.0,21.0,31.0,43.0,16.0,173.0,49.0,22.0,14.0,100.0,84.0,272.0,7.0,153.0,93.0,309.0,221.0
312,0.0,3.0,2.0,1.0,5.0,4.0,8.0,7.0,6.0,12.0,13.0,9.0,39.0,35.0,10.0,16.0,25.0,20.0,379.0,66.0,11.0,14.0,15.0,23.0,154.0,19.0,28.0,48.0,50.0,30.0
361,0.0,2.0,6.0,1.0,3.0,7.0,16.0,4.0,11.0,13.0,27.0,8.0,5.0,9.0,34.0,15.0,102.0,40.0,173.0,10.0,30.0,93.0,125.0,20.0,57.0,29.0,127.0,45.0,163.0,92.0
410,1.0,0.0,4.0,2.0,5.0,11.0,6.0,12.0,20.0,10.0,9.0,7.0,3.0,26.0,31.0,14.0,200.0,24.0,197.0,17.0,47.0,25.0,23.0,206.0,43.0,15.0,99.0,280.0,34.0,138.0
459,10.0,0.0,5.0,3.0,2.0,1.0,4.0,6.0,9.0,8.0,11.0,16.0,7.0,26.0,134.0,15.0,45.0,31.0,114.0,28.0,102.0,37.0,42.0,176.0,284.0,25.0,20.0,281.0,314.0,247.0
508,1.0,0.0,3.0,5.0,2.0,6.0,7.0,10.0,8.0,4.0,14.0,37.0,25.0,41.0,12.0,116.0,21.0,44.0,566.0,13.0,50.0,16.0,17.0,23.0,461.0,61.0,9.0,49.0,31.0,66.0
