,hsa-miR-216a,hsa-miR-205,hsa-miR-223,hsa-miR-375,hsa-miR-934,hsa-miR-1539,hsa-miR-615-3p,hsa-let-7e,hsa-miR-9,hsa-miR-671-3p,hsa-miR-339-5p,hsa-miR-139-5p,hsa-miR-142-5p,hsa-miR-220b,hsa-miR-28-3p,hsa-miR-1246,hsa-miR-135b,hsa-miR-30e,hsa-miR-2053,hsa-miR-320d,hsa-miR-296-5p,hsa-miR-30c,hsa-miR-222,hsa-miR-323-3p,hsa-miR-518b,hsa-miR-1180,hsa-miR-515-3p,hsa-miR-557,hsa-miR-509-5p,hsa-miR-155
1145,2.0,250.0,14.0,4.0,25.0,22.0,48.0,20.0,3.0,24.0,36.0,23.0,1.0,53.0,38.0,8.0,18.0,0.0,274.0,44.0,157.0,39.0,58.0,252.0,17.0,15.0,118.0,16.0,114.0,47.0
1194,0.0,6.0,7.0,3.0,9.0,13.0,12.0,19.0,123.0,5.0,16.0,37.0,8.0,27.0,251.0,1.0,296.0,72.0,186.0,59.0,93.0,42.0,29.0,75.0,10.0,162.0,2.0,23.0,53.0,87.0
1243,5.0,12.0,6.0,8.0,17.0,7.0,18.0,46.0,60.0,31.0,15.0,4.0,2.0,19.0,63.0,3.0,16.0,194.0,44.0,0.0,58.0,39.0,211.0,151.0,119.0,220.0,92.0,108.0,47.0,468.0
1292,0.0,54.0,11.0,13.0,43.0,29.0,35.0,5.0,127.0,18.0,83.0,56.0,1.0,4.0,191.0,6.0,2.0,16.0,76.0,3.0,246.0,433.0,89.0,75.0,63.0,53.0,88.0,148.0,480.0,373.0
1341,2.0,16.0,9.0,20.0,33.0,0.0,15.0,44.0,119.0,12.0,28.0,14.0,5.0,182.0,248.0,8.0,11.0,55.0,10.0,24.0,52.0,60.0,205.0,251.0,3.0,91.0,21.0,522.0,126.0,220.0
1390,0.0,131.0,1.0,21.0,100.0,9.0,149.0,22.0,87.0,3.0,30.0,7.0,23.0,78.0,8.0,4.0,19.0,177.0,190.0,116.0,34.0,14.0,500.0,491.0,20.0,16.0,35.0,395.0,17.0,157.0
1439,3.0,18.0,11.0,12.0,49.0,5.0,98.0,70.0,23.0,1.0,37.0,211.0,7.0,10.0,25.0,62.0,58.0,0.0,46.0,199.0,291.0,69.0,55.0,216.0,6.0,424.0,96.0,175.0,250.0,187.0
1488,2.0,0.0,13.0,66.0,22.0,183.0,130.0,1.0,70.0,45.0,18.0,59.0,47.0,4.0,27.0,268.0,505.0,8.0,3.0,31.0,63.0,103.0,273.0,11.0,360.0,44.0,120.0,601.0,302.0,383.0
1537,5.0,51.0,2.0,32.0,3.0,17.0,120.0,1.0,28.0,25.0,24.0,30.0,0.0,4.0,38.0,160.0,445.0,60.0,72.0,9.0,46.0,31.0,61.0,71.0,115.0,27.0,126.0,407.0,89.0,20.0
1586,2.0,1.0,0.0,4.0,15.0,5.0,85.0,23.0,27.0,135.0,33.0,29.0,26.0,40.0,45.0,106.0,548.0,170.0,14.0,16.0,79.0,95.0,56.0,3.0,273.0,96.0,205.0,291.0,258.0,134.0
