,HAEMATOPOIETIC,LUNG,PANCREAS,OESOPHAGUS,LARGE_INTESTINE,SKIN,SOFT_TISSUE,BREAST,OVARY,BONE,ENDOMETRIUM,URINARY,AERODIGESTIVE,PROSTATE,NERVOUS,GANGLIA,LIVER,STOMACH,THYROID,KIDNEY,PLEURA,SALIVARY,BILIARY
48,3.0,0.0,6.0,1.0,2.0,4.0,5.0,8.0,13.0,10.0,9.0,19.0,18.0,11.0,14.0,7.0,16.0,15.0,17.0,12.0,21.0,20.0,22.0
97,4.0,0.0,2.0,12.0,7.0,5.0,6.0,9.0,1.0,15.0,8.0,3.0,14.0,16.0,11.0,13.0,17.0,10.0,18.0,19.0,20.0,21.0,22.0
146,1.0,0.0,4.0,2.0,11.0,5.0,6.0,7.0,14.0,9.0,8.0,3.0,12.0,13.0,15.0,10.0,16.0,19.0,17.0,18.0,20.0,21.0,22.0
195,0.0,12.0,1.0,3.0,4.0,2.0,7.0,6.0,5.0,8.0,11.0,14.0,20.0,9.0,13.0,10.0,16.0,15.0,18.0,19.0,17.0,21.0,22.0
244,0.0,3.0,2.0,4.0,6.0,14.0,7.0,11.0,1.0,8.0,12.0,5.0,10.0,13.0,15.0,9.0,16.0,19.0,17.0,18.0,20.0,21.0,22.0
293,1.0,4.0,2.0,0.0,5.0,3.0,7.0,16.0,6.0,9.0,8.0,14.0,11.0,12.0,13.0,10.0,20.0,19.0,17.0,18.0,15.0,21.0,22.0
342,13.0,2.0,5.0,0.0,3.0,7.0,8.0,6.0,1.0,9.0,11.0,15.0,4.0,12.0,14.0,10.0,20.0,16.0,18.0,19.0,17.0,21.0,22.0
391,0.0,8.0,2.0,1.0,5.0,10.0,7.0,3.0,12.0,6.0,4.0,14.0,17.0,18.0,13.0,16.0,9.0,15.0,19.0,11.0,20.0,21.0,22.0
440,4.0,0.0,5.0,2.0,1.0,13.0,12.0,6.0,14.0,8.0,7.0,3.0,10.0,11.0,15.0,9.0,20.0,19.0,17.0,18.0,16.0,21.0,22.0
489,0.0,1.0,5.0,2.0,3.0,6.0,7.0,8.0,4.0,10.0,9.0,16.0,12.0,13.0,15.0,11.0,14.0,17.0,21.0,18.0,19.0,20.0,22.0
538,2.0,0.0,3.0,4.0,1.0,7.0,8.0,16.0,6.0,9.0,10.0,13.0,5.0,11.0,12.0,18.0,20.0,19.0,15.0,17.0,14.0,21.0,22.0
587,3.0,15.0,0.0,8.0,11.0,6.0,2.0,5.0,9.0,1.0,4.0,7.0,13.0,17.0,10.0,16.0,12.0,14.0,18.0,19.0,20.0,21.0,22.0
636,1.0,12.0,11.0,0.0,4.0,5.0,13.0,6.0,20.0,8.0,7.0,3.0,10.0,2.0,15.0,9.0,17.0,16.0,19.0,14.0,18.0,21.0,22.0
685,1.0,4.0,2.0,5.0,6.0,17.0,8.0,7.0,0.0,3.0,11.0,20.0,10.0,12.0,13.0,9.0,15.0,14.0,18.0,19.0,16.0,21.0,22.0
734,2.0,8.0,5.0,4.0,0.0,10.0,11.0,1.0,9.0,7.0,6.0,14.0,13.0,3.0,12.0,19.0,15.0,20.0,16.0,18.0,17.0,21.0,22.0
783,1.0,3.0,2.0,4.0,0.0,7.0,8.0,6.0,5.0,11.0,9.0,14.0,19.0,12.0,13.0,10.0,15.0,20.0,17.0,18.0,16.0,21.0,22.0
832,1.0,4.0,2.0,0.0,6.0,18.0,12.0,3.0,19.0,8.0,7.0,5.0,10.0,11.0,14.0,9.0,16.0,15.0,21.0,13.0,17.0,20.0,22.0
881,1.0,16.0,7.0,9.0,5.0,0.0,6.0,2.0,8.0,4.0,14.0,12.0,3.0,17.0,10.0,15.0,11.0,13.0,18.0,19.0,20.0,21.0,22.0
930,2.0,0.0,6.0,4.0,1.0,12.0,3.0,8.0,13.0,9.0,7.0,15.0,5.0,11.0,14.0,19.0,10.0,20.0,17.0,18.0,16.0,21.0,22.0
979,11.0,8.0,4.0,0.0,1.0,10.0,7.0,5.0,12.0,2.0,6.0,9.0,14.0,3.0,13.0,19.0,16.0,20.0,15.0,17.0,18.0,21.0,22.0
