,C22:6 CE,PEP,1-methylnicotinamide,C18:0 LPC,creatinine,C56:5 TAG,dCMP,isocitrate,beta-alanine,palmitoylcarnitine,putrescine,malondialdehyde,leucine,C16:0 LPE,GABA,urate,pantothenate,niacinamide,UMP,uridine,alpha-glycerophosphate,oxalate,hypoxanthine,C22:6 LPE,C34:2 DAG,butyrylcarnitine/isobutyrylcarnitine,cotinine,valerylcarnitine,DHAP/glyceraldehyde 3P,C34:4 PC
27,2.0,23.0,6.0,0.0,3.0,11.0,38.0,1.0,13.0,19.0,18.0,50.0,54.0,14.0,58.0,21.0,4.0,60.0,61.0,51.0,12.0,26.0,22.0,36.0,39.0,34.0,5.0,35.0,27.0,43.0
76,32.0,3.0,0.0,14.0,10.0,19.0,9.0,11.0,8.0,42.0,1.0,18.0,55.0,2.0,7.0,24.0,4.0,13.0,26.0,51.0,23.0,50.0,30.0,6.0,36.0,35.0,65.0,16.0,33.0,22.0
125,6.0,12.0,20.0,24.0,5.0,21.0,0.0,25.0,29.0,13.0,2.0,22.0,14.0,38.0,10.0,7.0,11.0,1.0,30.0,52.0,4.0,31.0,50.0,3.0,37.0,15.0,42.0,34.0,26.0,35.0
174,5.0,1.0,6.0,7.0,21.0,25.0,0.0,4.0,12.0,16.0,23.0,11.0,13.0,32.0,60.0,27.0,30.0,18.0,29.0,9.0,28.0,56.0,52.0,39.0,34.0,10.0,55.0,37.0,48.0,38.0
223,18.0,3.0,9.0,6.0,26.0,33.0,10.0,0.0,4.0,15.0,13.0,5.0,59.0,22.0,25.0,23.0,52.0,2.0,1.0,54.0,17.0,7.0,31.0,27.0,39.0,12.0,43.0,35.0,48.0,30.0
272,12.0,30.0,17.0,15.0,4.0,23.0,31.0,1.0,24.0,13.0,16.0,8.0,9.0,11.0,54.0,5.0,32.0,3.0,27.0,61.0,40.0,7.0,45.0,37.0,20.0,47.0,64.0,14.0,48.0,36.0
321,0.0,1.0,5.0,2.0,20.0,17.0,7.0,32.0,6.0,34.0,31.0,54.0,13.0,38.0,57.0,8.0,22.0,60.0,21.0,33.0,4.0,23.0,26.0,40.0,28.0,12.0,65.0,35.0,48.0,24.0
370,23.0,5.0,3.0,0.0,12.0,24.0,29.0,10.0,4.0,19.0,1.0,38.0,39.0,47.0,25.0,59.0,33.0,11.0,7.0,34.0,28.0,2.0,32.0,45.0,42.0,18.0,58.0,53.0,30.0,44.0
419,0.0,6.0,2.0,12.0,5.0,3.0,46.0,14.0,11.0,23.0,8.0,32.0,51.0,13.0,22.0,31.0,28.0,20.0,29.0,26.0,45.0,1.0,47.0,39.0,18.0,15.0,63.0,33.0,35.0,40.0
468,4.0,1.0,16.0,9.0,6.0,8.0,27.0,29.0,10.0,11.0,21.0,54.0,13.0,0.0,20.0,12.0,49.0,14.0,19.0,31.0,30.0,5.0,48.0,37.0,39.0,32.0,65.0,15.0,46.0,34.0
