,C16:0 LPE,3-phosphoglycerate,pantothenate,1-methylnicotinamide,acetylcholine,C36:1 DAG,C34:2 DAG,niacinamide,C22:6 CE,C18:0 LPC,putrescine,guanosine,creatinine,hypoxanthine,NADP,creatine,inositol,C56:3 TAG,SDMA/ADMA,C18:0 LPE,carnitine,GABA,PEP,alpha-glycerophosphocholine,alpha-hydroxybutyrate,2-deoxyadenosine,DHAP/glyceraldehyde 3P,inosine,UMP,dCMP
1202,7.0,11.0,18.0,25.0,2.0,14.0,22.0,60.0,21.0,23.0,38.0,17.0,34.0,8.0,27.0,54.0,16.0,39.0,13.0,20.0,29.0,24.0,56.0,28.0,44.0,26.0,45.0,31.0,30.0,35.0
1251,7.0,38.0,17.0,28.0,4.0,8.0,21.0,6.0,36.0,33.0,1.0,24.0,18.0,9.0,40.0,58.0,45.0,20.0,2.0,16.0,46.0,12.0,14.0,44.0,56.0,15.0,35.0,43.0,25.0,0.0
1300,33.0,43.0,8.0,17.0,65.0,7.0,40.0,29.0,2.0,21.0,30.0,53.0,6.0,28.0,34.0,47.0,52.0,11.0,13.0,12.0,57.0,38.0,10.0,16.0,26.0,56.0,27.0,1.0,14.0,51.0
1349,3.0,0.0,7.0,35.0,56.0,2.0,16.0,21.0,9.0,11.0,42.0,17.0,54.0,25.0,5.0,27.0,4.0,24.0,63.0,51.0,50.0,32.0,29.0,31.0,48.0,59.0,45.0,20.0,28.0,6.0
1398,6.0,15.0,22.0,44.0,39.0,23.0,51.0,34.0,18.0,14.0,7.0,17.0,25.0,30.0,10.0,53.0,4.0,35.0,54.0,21.0,32.0,19.0,27.0,13.0,8.0,37.0,9.0,16.0,2.0,33.0
1447,4.0,33.0,25.0,18.0,13.0,6.0,45.0,39.0,5.0,12.0,14.0,48.0,34.0,15.0,35.0,54.0,31.0,55.0,50.0,11.0,56.0,2.0,3.0,21.0,52.0,19.0,32.0,0.0,53.0,37.0
1496,6.0,10.0,34.0,9.0,39.0,19.0,4.0,21.0,12.0,32.0,43.0,23.0,50.0,15.0,51.0,20.0,55.0,38.0,65.0,7.0,40.0,37.0,13.0,48.0,58.0,17.0,2.0,49.0,14.0,16.0
1545,12.0,1.0,9.0,8.0,6.0,24.0,18.0,21.0,37.0,28.0,11.0,5.0,17.0,35.0,25.0,52.0,57.0,22.0,44.0,31.0,49.0,43.0,45.0,27.0,4.0,53.0,30.0,33.0,58.0,16.0
1594,7.0,4.0,19.0,21.0,22.0,15.0,28.0,9.0,17.0,5.0,37.0,30.0,13.0,0.0,36.0,24.0,49.0,1.0,8.0,34.0,41.0,61.0,11.0,42.0,43.0,2.0,63.0,20.0,44.0,6.0
1643,4.0,50.0,12.0,15.0,43.0,16.0,25.0,21.0,11.0,39.0,3.0,22.0,2.0,29.0,41.0,30.0,34.0,56.0,49.0,17.0,20.0,46.0,66.0,28.0,14.0,32.0,44.0,59.0,37.0,45.0
1692,6.0,5.0,16.0,4.0,17.0,8.0,13.0,28.0,20.0,19.0,62.0,23.0,57.0,2.0,55.0,0.0,56.0,9.0,31.0,24.0,42.0,21.0,26.0,18.0,27.0,12.0,51.0,43.0,29.0,11.0
1741,7.0,4.0,22.0,17.0,18.0,38.0,8.0,35.0,55.0,52.0,13.0,32.0,12.0,14.0,9.0,49.0,0.0,20.0,31.0,3.0,23.0,46.0,53.0,19.0,11.0,27.0,56.0,66.0,47.0,6.0
1790,25.0,7.0,26.0,15.0,1.0,21.0,13.0,20.0,22.0,43.0,29.0,18.0,14.0,6.0,8.0,2.0,38.0,28.0,31.0,4.0,44.0,19.0,64.0,34.0,53.0,11.0,37.0,0.0,60.0,48.0
1839,34.0,7.0,5.0,15.0,17.0,24.0,18.0,25.0,31.0,23.0,58.0,14.0,35.0,22.0,4.0,11.0,6.0,12.0,30.0,16.0,29.0,2.0,60.0,13.0,40.0,47.0,55.0,46.0,27.0,48.0
1888,15.0,24.0,22.0,14.0,18.0,13.0,26.0,32.0,27.0,19.0,59.0,12.0,43.0,35.0,63.0,23.0,1.0,2.0,4.0,6.0,11.0,40.0,48.0,7.0,25.0,38.0,53.0,36.0,41.0,9.0
1937,12.0,9.0,8.0,14.0,3.0,10.0,16.0,59.0,17.0,5.0,30.0,23.0,32.0,24.0,65.0,19.0,26.0,2.0,51.0,11.0,37.0,31.0,34.0,18.0,27.0,53.0,54.0,6.0,47.0,0.0
1986,26.0,54.0,3.0,18.0,7.0,8.0,19.0,23.0,17.0,24.0,56.0,9.0,30.0,48.0,16.0,31.0,21.0,14.0,39.0,15.0,1.0,58.0,20.0,32.0,25.0,63.0,57.0,33.0,12.0,37.0
2035,30.0,53.0,10.0,6.0,33.0,41.0,12.0,16.0,29.0,22.0,11.0,23.0,27.0,54.0,37.0,26.0,50.0,28.0,32.0,38.0,8.0,58.0,24.0,25.0,20.0,49.0,15.0,42.0,55.0,9.0
2084,46.0,2.0,33.0,19.0,9.0,22.0,16.0,26.0,24.0,34.0,29.0,15.0,48.0,27.0,8.0,23.0,13.0,35.0,12.0,21.0,41.0,30.0,59.0,25.0,28.0,60.0,57.0,1.0,43.0,39.0
2133,9.0,0.0,11.0,14.0,15.0,5.0,27.0,37.0,30.0,34.0,29.0,23.0,36.0,22.0,48.0,20.0,6.0,13.0,25.0,44.0,19.0,28.0,43.0,35.0,18.0,10.0,4.0,54.0,31.0,17.0
2182,7.0,1.0,24.0,11.0,23.0,35.0,13.0,4.0,28.0,37.0,25.0,15.0,6.0,38.0,12.0,5.0,19.0,27.0,46.0,10.0,9.0,56.0,17.0,43.0,2.0,47.0,8.0,26.0,29.0,33.0
2231,14.0,66.0,20.0,8.0,1.0,35.0,3.0,4.0,9.0,21.0,41.0,32.0,57.0,40.0,0.0,33.0,6.0,27.0,24.0,13.0,17.0,59.0,58.0,54.0,22.0,39.0,50.0,62.0,23.0,52.0
2280,18.0,60.0,24.0,14.0,26.0,28.0,17.0,7.0,9.0,1.0,39.0,15.0,37.0,27.0,59.0,38.0,11.0,5.0,12.0,55.0,49.0,6.0,29.0,32.0,4.0,34.0,0.0,44.0,13.0,22.0
2329,37.0,16.0,41.0,18.0,2.0,13.0,17.0,29.0,27.0,20.0,46.0,55.0,64.0,19.0,57.0,24.0,49.0,30.0,60.0,22.0,35.0,11.0,14.0,3.0,23.0,8.0,28.0,54.0,50.0,26.0
2378,10.0,57.0,18.0,32.0,12.0,16.0,9.0,6.0,23.0,17.0,22.0,48.0,7.0,43.0,0.0,33.0,1.0,34.0,35.0,27.0,31.0,54.0,25.0,42.0,39.0,15.0,19.0,44.0,24.0,4.0
2427,16.0,1.0,13.0,27.0,51.0,19.0,31.0,25.0,7.0,20.0,40.0,10.0,65.0,54.0,11.0,41.0,32.0,28.0,23.0,12.0,50.0,47.0,5.0,29.0,30.0,38.0,2.0,17.0,8.0,26.0
2476,32.0,21.0,23.0,15.0,64.0,12.0,24.0,40.0,37.0,30.0,36.0,28.0,39.0,16.0,8.0,27.0,34.0,6.0,17.0,59.0,33.0,42.0,55.0,20.0,18.0,22.0,5.0,1.0,2.0,58.0
2525,14.0,5.0,15.0,11.0,16.0,10.0,23.0,7.0,27.0,28.0,4.0,32.0,40.0,29.0,3.0,26.0,12.0,48.0,35.0,25.0,20.0,33.0,45.0,39.0,30.0,44.0,58.0,31.0,49.0,47.0
2574,2.0,1.0,29.0,40.0,0.0,13.0,9.0,50.0,11.0,5.0,8.0,19.0,37.0,7.0,44.0,23.0,3.0,56.0,12.0,39.0,45.0,30.0,17.0,14.0,22.0,25.0,10.0,46.0,32.0,20.0
2623,5.0,13.0,33.0,20.0,12.0,10.0,21.0,53.0,28.0,11.0,6.0,26.0,19.0,23.0,36.0,18.0,4.0,14.0,65.0,27.0,7.0,37.0,44.0,9.0,58.0,31.0,24.0,54.0,3.0,1.0
2672,7.0,14.0,24.0,36.0,0.0,9.0,11.0,8.0,22.0,18.0,2.0,21.0,49.0,31.0,3.0,44.0,43.0,27.0,64.0,42.0,30.0,25.0,23.0,32.0,56.0,39.0,33.0,10.0,54.0,35.0
2721,15.0,41.0,14.0,33.0,13.0,3.0,17.0,50.0,23.0,12.0,2.0,56.0,64.0,19.0,6.0,39.0,7.0,59.0,9.0,22.0,21.0,48.0,24.0,38.0,54.0,47.0,43.0,5.0,18.0,4.0
2770,12.0,0.0,13.0,18.0,53.0,29.0,22.0,15.0,30.0,11.0,7.0,17.0,52.0,44.0,5.0,26.0,57.0,39.0,59.0,61.0,42.0,64.0,2.0,40.0,27.0,35.0,55.0,8.0,28.0,14.0
2819,7.0,52.0,8.0,10.0,14.0,20.0,15.0,53.0,12.0,19.0,21.0,37.0,6.0,60.0,22.0,28.0,30.0,5.0,1.0,34.0,11.0,13.0,31.0,35.0,36.0,24.0,23.0,65.0,45.0,2.0
2868,22.0,66.0,10.0,17.0,4.0,14.0,28.0,13.0,37.0,9.0,6.0,24.0,3.0,43.0,18.0,27.0,54.0,5.0,42.0,45.0,21.0,30.0,0.0,53.0,26.0,7.0,25.0,11.0,62.0,46.0
2917,9.0,5.0,20.0,8.0,4.0,44.0,22.0,17.0,24.0,18.0,2.0,21.0,51.0,12.0,26.0,19.0,14.0,38.0,25.0,54.0,30.0,41.0,1.0,45.0,11.0,43.0,36.0,0.0,37.0,16.0
2966,8.0,2.0,7.0,22.0,13.0,6.0,14.0,1.0,24.0,20.0,3.0,11.0,5.0,23.0,26.0,55.0,9.0,27.0,65.0,43.0,32.0,63.0,57.0,37.0,10.0,15.0,4.0,40.0,16.0,21.0
3015,18.0,7.0,35.0,23.0,5.0,19.0,42.0,0.0,20.0,1.0,2.0,17.0,44.0,34.0,32.0,63.0,21.0,47.0,14.0,36.0,58.0,57.0,43.0,33.0,29.0,9.0,8.0,25.0,61.0,53.0
3064,10.0,16.0,5.0,14.0,49.0,11.0,18.0,15.0,31.0,25.0,28.0,3.0,1.0,44.0,22.0,52.0,0.0,40.0,56.0,34.0,27.0,8.0,42.0,13.0,6.0,17.0,21.0,24.0,26.0,62.0
