,XBP1,Lck,eEF2,Chk2,FRA1,Cyclin_B1,Src_pY416,Notch1,Caspase-7_cleavedD198,PDCD4,MSH6,PTEN,Myosin IIa pS1943,Annexin 1,GAPDH,Caveolin-1,CD49b,4E-BP1,VAV1,Bax,Porin,AMPK_pT172,Stathmin,MDMX_MDM4(BetIHC-00108),p38_pT180_Y182,PI3K-p110-alpha,SF2,Chk1_pS345,C-Raf(BD610151),c-Myc
1375,0.0,1.0,2.0,7.0,6.0,5.0,19.0,4.0,14.0,17.0,8.0,9.0,23.0,3.0,16.0,10.0,25.0,30.0,20.0,13.0,62.0,11.0,12.0,18.0,22.0,27.0,31.0,86.0,21.0,38.0
1424,0.0,2.0,9.0,4.0,7.0,3.0,14.0,1.0,8.0,13.0,12.0,19.0,34.0,11.0,15.0,6.0,26.0,27.0,16.0,24.0,25.0,5.0,10.0,28.0,41.0,17.0,32.0,117.0,110.0,21.0
1473,0.0,1.0,2.0,3.0,6.0,8.0,4.0,11.0,14.0,25.0,15.0,17.0,10.0,34.0,7.0,18.0,106.0,24.0,47.0,23.0,9.0,32.0,22.0,125.0,27.0,20.0,13.0,26.0,31.0,111.0
1522,0.0,8.0,2.0,1.0,3.0,14.0,9.0,4.0,5.0,10.0,12.0,13.0,27.0,21.0,6.0,23.0,18.0,112.0,29.0,99.0,26.0,122.0,19.0,31.0,24.0,15.0,7.0,16.0,17.0,90.0
1571,0.0,3.0,2.0,1.0,13.0,22.0,8.0,14.0,9.0,18.0,11.0,12.0,26.0,16.0,5.0,4.0,32.0,19.0,21.0,27.0,20.0,101.0,54.0,47.0,31.0,10.0,7.0,29.0,6.0,88.0
1620,0.0,1.0,2.0,3.0,7.0,13.0,21.0,35.0,4.0,9.0,19.0,26.0,17.0,5.0,8.0,12.0,112.0,20.0,70.0,14.0,37.0,23.0,16.0,130.0,10.0,6.0,11.0,18.0,58.0,114.0
1669,0.0,2.0,1.0,4.0,5.0,10.0,6.0,11.0,7.0,13.0,21.0,9.0,25.0,24.0,3.0,17.0,20.0,16.0,12.0,29.0,80.0,27.0,33.0,49.0,8.0,22.0,15.0,28.0,94.0,95.0
1718,0.0,2.0,1.0,6.0,3.0,11.0,9.0,15.0,7.0,5.0,40.0,13.0,24.0,16.0,4.0,8.0,30.0,17.0,25.0,20.0,19.0,34.0,18.0,33.0,23.0,14.0,12.0,10.0,36.0,89.0
1767,0.0,4.0,1.0,11.0,10.0,22.0,5.0,3.0,8.0,6.0,7.0,37.0,15.0,23.0,2.0,30.0,13.0,14.0,54.0,97.0,20.0,25.0,31.0,33.0,18.0,9.0,27.0,32.0,19.0,16.0
1816,0.0,2.0,4.0,1.0,3.0,7.0,6.0,5.0,16.0,13.0,12.0,10.0,21.0,11.0,14.0,17.0,32.0,34.0,23.0,9.0,28.0,29.0,25.0,43.0,8.0,19.0,20.0,22.0,103.0,36.0
