,hsa-miR-142-5p,hsa-miR-10a,hsa-miR-21,hsa-miR-24,hsa-let-7e,hsa-miR-22,hsa-miR-223,hsa-miR-766,ebv-miR-BART18-3p,hsa-miR-744,hsa-miR-216a,hsa-miR-222,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-miR-130a,hsa-miR-424,hsa-miR-31,hsa-miR-151-3p,hsa-miR-224,hsa-miR-148a,hsa-miR-126,hsa-miR-593,hsa-miR-1180,hsa-miR-29b,hsa-miR-193a-5p,hsa-miR-135b,hsa-miR-34c-3p,hsa-miR-137,hsa-miR-28-5p,hsa-miR-545,hsa-miR-369-5p
3987,0.0,8.0,1.0,5.0,2.0,4.0,15.0,6.0,3.0,21.0,17.0,13.0,7.0,144.0,10.0,130.0,18.0,75.0,19.0,11.0,9.0,12.0,14.0,62.0,20.0,24.0,400.0,241.0,185.0,329.0
4036,2.0,5.0,0.0,56.0,3.0,1.0,10.0,7.0,6.0,21.0,4.0,16.0,104.0,185.0,19.0,34.0,14.0,112.0,95.0,22.0,47.0,43.0,45.0,361.0,205.0,41.0,400.0,60.0,66.0,169.0
4085,0.0,10.0,1.0,8.0,7.0,4.0,27.0,11.0,5.0,2.0,3.0,13.0,9.0,61.0,24.0,140.0,14.0,264.0,34.0,110.0,22.0,57.0,56.0,187.0,77.0,21.0,28.0,215.0,114.0,282.0
4134,0.0,8.0,1.0,9.0,2.0,3.0,18.0,7.0,4.0,268.0,48.0,25.0,30.0,277.0,14.0,50.0,5.0,38.0,237.0,10.0,13.0,6.0,75.0,62.0,142.0,107.0,202.0,94.0,19.0,280.0
4183,12.0,4.0,1.0,13.0,6.0,0.0,138.0,3.0,8.0,92.0,27.0,24.0,49.0,87.0,2.0,79.0,11.0,274.0,29.0,5.0,113.0,25.0,76.0,64.0,263.0,17.0,7.0,41.0,22.0,135.0
4232,0.0,1.0,7.0,5.0,3.0,4.0,11.0,21.0,2.0,18.0,12.0,77.0,152.0,255.0,75.0,222.0,31.0,517.0,52.0,14.0,510.0,10.0,401.0,61.0,43.0,6.0,361.0,49.0,38.0,426.0
4281,0.0,7.0,1.0,2.0,4.0,3.0,25.0,5.0,27.0,6.0,17.0,13.0,15.0,32.0,8.0,64.0,9.0,36.0,48.0,99.0,24.0,194.0,109.0,33.0,14.0,424.0,63.0,104.0,61.0,335.0
4330,4.0,2.0,1.0,3.0,6.0,5.0,27.0,67.0,9.0,8.0,0.0,7.0,39.0,436.0,11.0,238.0,165.0,337.0,14.0,35.0,81.0,59.0,10.0,130.0,85.0,51.0,60.0,168.0,133.0,559.0
4379,12.0,7.0,0.0,3.0,5.0,2.0,151.0,28.0,4.0,280.0,257.0,1.0,57.0,17.0,22.0,143.0,14.0,114.0,10.0,29.0,19.0,39.0,165.0,27.0,30.0,13.0,47.0,8.0,221.0,217.0
4428,0.0,1.0,5.0,7.0,9.0,10.0,2.0,3.0,75.0,4.0,6.0,33.0,57.0,36.0,12.0,20.0,8.0,64.0,178.0,26.0,23.0,56.0,520.0,42.0,19.0,34.0,18.0,14.0,50.0,78.0
4477,1.0,0.0,3.0,8.0,54.0,5.0,10.0,4.0,214.0,9.0,2.0,29.0,15.0,50.0,13.0,6.0,31.0,188.0,113.0,42.0,129.0,276.0,39.0,227.0,109.0,60.0,104.0,59.0,68.0,7.0
4526,0.0,9.0,12.0,17.0,6.0,1.0,15.0,3.0,55.0,7.0,11.0,13.0,8.0,47.0,2.0,18.0,46.0,124.0,232.0,105.0,14.0,165.0,113.0,70.0,143.0,32.0,93.0,24.0,41.0,99.0
4575,0.0,2.0,3.0,4.0,15.0,1.0,32.0,18.0,33.0,6.0,5.0,35.0,23.0,34.0,14.0,51.0,84.0,97.0,52.0,59.0,19.0,16.0,140.0,57.0,46.0,12.0,125.0,38.0,21.0,72.0
4624,0.0,1.0,3.0,4.0,16.0,2.0,9.0,8.0,10.0,12.0,6.0,7.0,14.0,25.0,29.0,22.0,34.0,26.0,189.0,37.0,13.0,5.0,62.0,23.0,32.0,51.0,47.0,55.0,52.0,156.0
4673,0.0,4.0,7.0,1.0,8.0,37.0,15.0,17.0,43.0,5.0,3.0,80.0,12.0,9.0,2.0,63.0,58.0,11.0,93.0,14.0,19.0,21.0,30.0,38.0,270.0,64.0,23.0,464.0,83.0,56.0
4722,0.0,6.0,3.0,4.0,10.0,1.0,9.0,13.0,12.0,8.0,2.0,21.0,216.0,50.0,20.0,11.0,5.0,32.0,30.0,62.0,53.0,381.0,272.0,127.0,221.0,28.0,233.0,7.0,27.0,23.0
4771,0.0,7.0,3.0,10.0,4.0,5.0,13.0,2.0,93.0,11.0,12.0,9.0,87.0,19.0,8.0,15.0,41.0,24.0,17.0,104.0,30.0,21.0,22.0,18.0,189.0,301.0,14.0,62.0,23.0,144.0
4820,0.0,1.0,3.0,2.0,6.0,7.0,24.0,14.0,8.0,9.0,5.0,47.0,4.0,15.0,17.0,11.0,12.0,55.0,67.0,21.0,18.0,33.0,32.0,26.0,56.0,133.0,10.0,36.0,316.0,29.0
4869,0.0,6.0,4.0,3.0,20.0,1.0,10.0,12.0,206.0,2.0,7.0,61.0,5.0,18.0,27.0,21.0,46.0,37.0,75.0,215.0,169.0,56.0,273.0,45.0,17.0,89.0,50.0,24.0,71.0,64.0
