,CHD1_MUT,RYR3_DEL,SMURF2_MUT,UQCRFS1_AMP,PUS3_DEL,FTL_DEL,HYLS1_DEL,RPUSD4_DEL,KIRREL3-AS2_DEL,LOC284395_AMP,NFATC1_MUT,VSTM2B_AMP,SNTG1_AMP,DDX25_DEL,NCAPD3_DEL,ZNF521_MUT,TIRAP_DEL,BAX_DEL,MIR4697_DEL,HIF1A_MUT,CLEC4E_DEL,PATE3_DEL,TMEM191C_DEL,RPN1_MUT,DHDH_DEL,LINC00665_AMP,NRK_MUT,KIRREL3-AS3_DEL,PASK_DEL,LOC283174_DEL
32,1.0,0.0,7.0,632.0,131.0,715.0,2.0,5862.0,9.0,950.0,32.0,641.0,59.0,22.0,16.0,436.0,38.0,8807.0,132.0,4.0,129.0,199.0,619.0,13.0,665.0,3.0,326.0,117.0,8153.0,133.0
81,1.0,0.0,10.0,54.0,42.0,8.0,6.0,3.0,4.0,14.0,22.0,12.0,365.0,197.0,60.0,179.0,65.0,55.0,21.0,11.0,121.0,66.0,5.0,45.0,107.0,245.0,16788.0,6332.0,164.0,29.0
130,25.0,3.0,1302.0,11.0,9.0,5.0,7.0,29.0,15.0,13.0,14.0,48.0,132.0,52.0,41.0,1.0,223.0,38.0,228.0,103.0,44.0,43.0,2.0,1097.0,56.0,47.0,362.0,93.0,372.0,21.0
179,0.0,16.0,9.0,21.0,40.0,20.0,6.0,5.0,25.0,13.0,12.0,1.0,14901.0,36.0,58.0,19.0,64.0,73.0,63.0,519.0,57.0,62.0,196.0,34.0,130.0,150.0,2112.0,6387.0,7150.0,65.0
228,0.0,6.0,12.0,38.0,25.0,22.0,11.0,3.0,17.0,8.0,7.0,2.0,22288.0,10.0,69.0,35.0,34.0,70.0,19.0,54.0,153.0,199.0,13.0,43.0,20.0,517.0,104.0,3550.0,101.0,45.0
277,1.0,0.0,23.0,6.0,19.0,27.0,4.0,20.0,9.0,48.0,302.0,295.0,255.0,103.0,40.0,13.0,42.0,108.0,41.0,273.0,619.0,44.0,362.0,17113.0,93.0,124.0,2234.0,31.0,7138.0,43.0
326,1.0,50.0,6.0,24.0,35.0,28.0,8.0,4.0,127.0,753.0,5.0,25.0,63.0,31.0,219.0,18.0,139.0,12796.0,277.0,27.0,12.0,56.0,3145.0,812.0,349.0,87.0,2747.0,7350.0,6402.0,55.0
375,0.0,9.0,12.0,17.0,14.0,67.0,18.0,10.0,78.0,96.0,13.0,508.0,15751.0,23.0,330.0,6.0,83.0,26.0,409.0,680.0,86.0,112.0,4.0,68.0,8.0,21.0,851.0,73.0,3234.0,7241.0
424,0.0,10.0,3.0,16.0,5.0,4.0,7.0,116.0,83.0,775.0,103.0,13569.0,106.0,132.0,33.0,124.0,231.0,27.0,36.0,321.0,304.0,228.0,168.0,75.0,67.0,60.0,1820.0,1166.0,5547.0,40.0
473,1.0,0.0,24.0,82.0,31.0,8.0,6.0,28.0,2.0,725.0,3.0,112.0,9.0,97.0,117.0,995.0,12.0,26.0,32.0,35.0,90.0,48.0,12275.0,139.0,52.0,15915.0,16806.0,6716.0,7117.0,33.0
