,GABA,C16:0 LPE,hypoxanthine,putrescine,uracil,alpha-glycerophosphate,C22:6 LPC,alpha-glycerophosphocholine,serotonin,pyroglutamic acid,1-methylnicotinamide,inositol,sarcosine,beta-alanine,malondialdehyde,uridine,3-phosphoglycerate,C34:4 PC,DHAP/glyceraldehyde 3P,dCMP,cytidine,pantothenate,creatine,cystathionine,C34:2 DAG,C36:1 DAG,asparagine,oxalate,C20:4 CE,glutamine
27,5.0,0.0,9.0,1.0,3.0,44.0,30.0,22.0,4.0,7.0,8.0,2.0,14.0,18.0,55.0,12.0,32.0,23.0,47.0,46.0,27.0,6.0,25.0,28.0,39.0,26.0,57.0,51.0,11.0,58.0
76,14.0,7.0,0.0,1.0,9.0,28.0,19.0,65.0,13.0,10.0,11.0,4.0,36.0,18.0,38.0,33.0,16.0,6.0,27.0,41.0,5.0,2.0,59.0,43.0,21.0,22.0,48.0,56.0,44.0,24.0
125,0.0,7.0,1.0,65.0,8.0,2.0,39.0,56.0,4.0,24.0,11.0,29.0,16.0,18.0,28.0,61.0,12.0,6.0,34.0,5.0,33.0,27.0,58.0,42.0,22.0,43.0,49.0,37.0,44.0,25.0
174,8.0,7.0,0.0,3.0,9.0,1.0,22.0,19.0,17.0,2.0,18.0,65.0,11.0,34.0,55.0,24.0,41.0,4.0,45.0,44.0,43.0,12.0,64.0,6.0,28.0,33.0,57.0,49.0,32.0,5.0
223,9.0,0.0,2.0,8.0,6.0,3.0,4.0,63.0,16.0,18.0,17.0,1.0,20.0,11.0,53.0,24.0,14.0,27.0,7.0,33.0,5.0,13.0,44.0,46.0,30.0,35.0,65.0,28.0,32.0,56.0
272,15.0,14.0,7.0,16.0,5.0,11.0,3.0,62.0,60.0,25.0,19.0,8.0,6.0,17.0,56.0,4.0,46.0,41.0,29.0,9.0,28.0,1.0,13.0,48.0,32.0,45.0,57.0,30.0,35.0,20.0
321,0.0,40.0,3.0,7.0,27.0,34.0,19.0,14.0,53.0,17.0,5.0,35.0,6.0,23.0,65.0,57.0,25.0,1.0,29.0,8.0,30.0,2.0,60.0,33.0,38.0,41.0,48.0,26.0,43.0,20.0
370,18.0,6.0,4.0,19.0,1.0,12.0,27.0,14.0,61.0,23.0,15.0,2.0,40.0,0.0,56.0,53.0,42.0,29.0,3.0,44.0,9.0,7.0,43.0,10.0,37.0,30.0,58.0,49.0,31.0,59.0
419,19.0,0.0,33.0,9.0,22.0,1.0,21.0,18.0,59.0,16.0,37.0,15.0,20.0,5.0,14.0,26.0,42.0,38.0,25.0,10.0,11.0,4.0,43.0,44.0,30.0,28.0,54.0,49.0,35.0,55.0
468,4.0,2.0,0.0,8.0,1.0,10.0,20.0,62.0,15.0,22.0,36.0,11.0,5.0,35.0,56.0,31.0,44.0,33.0,48.0,25.0,24.0,3.0,14.0,9.0,37.0,38.0,57.0,29.0,26.0,19.0
517,1.0,0.0,9.0,15.0,2.0,11.0,25.0,18.0,21.0,42.0,14.0,28.0,22.0,41.0,7.0,52.0,3.0,5.0,33.0,12.0,26.0,47.0,62.0,37.0,36.0,31.0,56.0,29.0,4.0,65.0
566,5.0,38.0,12.0,16.0,8.0,27.0,25.0,4.0,6.0,33.0,3.0,22.0,20.0,35.0,7.0,0.0,42.0,9.0,46.0,13.0,45.0,30.0,64.0,15.0,11.0,26.0,56.0,31.0,1.0,57.0
615,1.0,25.0,0.0,11.0,9.0,12.0,38.0,44.0,3.0,33.0,15.0,21.0,4.0,37.0,5.0,8.0,34.0,31.0,13.0,46.0,22.0,10.0,28.0,45.0,27.0,26.0,56.0,30.0,23.0,57.0
664,13.0,36.0,6.0,56.0,3.0,43.0,4.0,23.0,12.0,17.0,66.0,8.0,19.0,5.0,0.0,2.0,15.0,1.0,30.0,32.0,33.0,9.0,16.0,39.0,21.0,42.0,47.0,31.0,22.0,49.0
713,8.0,0.0,49.0,12.0,26.0,14.0,1.0,22.0,18.0,33.0,21.0,31.0,36.0,19.0,17.0,2.0,43.0,28.0,10.0,11.0,27.0,5.0,63.0,25.0,37.0,7.0,3.0,6.0,9.0,20.0
762,2.0,5.0,8.0,1.0,24.0,0.0,16.0,9.0,15.0,55.0,34.0,19.0,38.0,20.0,53.0,31.0,44.0,7.0,32.0,10.0,47.0,6.0,11.0,26.0,25.0,37.0,4.0,28.0,39.0,54.0
811,4.0,20.0,12.0,8.0,3.0,11.0,19.0,27.0,15.0,44.0,35.0,6.0,14.0,5.0,53.0,51.0,36.0,24.0,1.0,23.0,22.0,9.0,21.0,47.0,29.0,42.0,56.0,31.0,2.0,65.0
860,13.0,10.0,50.0,2.0,24.0,29.0,7.0,16.0,9.0,36.0,18.0,54.0,41.0,3.0,1.0,0.0,43.0,6.0,47.0,33.0,32.0,25.0,17.0,46.0,30.0,34.0,11.0,8.0,35.0,56.0
909,1.0,13.0,51.0,0.0,4.0,12.0,3.0,16.0,15.0,34.0,35.0,65.0,40.0,41.0,5.0,2.0,44.0,6.0,28.0,10.0,48.0,7.0,18.0,26.0,32.0,31.0,57.0,25.0,27.0,58.0
958,0.0,42.0,22.0,4.0,26.0,18.0,6.0,7.0,27.0,32.0,11.0,1.0,15.0,35.0,5.0,24.0,33.0,9.0,25.0,13.0,46.0,28.0,3.0,21.0,40.0,2.0,65.0,29.0,12.0,17.0
1007,0.0,21.0,2.0,4.0,10.0,5.0,20.0,12.0,18.0,16.0,17.0,30.0,9.0,38.0,29.0,3.0,15.0,22.0,33.0,8.0,7.0,28.0,60.0,31.0,23.0,44.0,27.0,49.0,6.0,25.0
