,HER2_pY1248,Shc_pY317,B-Raf,C-Raf_pS338,PDK1_pS241,PEA15,Annexin 1,Smac,Akt,Rb,c-Myc,MDMX_MDM4(BetIHC-00108),MIG-6,Bap1 c-4,MYH11,PKC-pan_BetaII_pS660,RAD51,EGFR,VHL,Cyclin_E2,c-Jun_pS73,Notch1,B-Raf_pS445,Acetyl-a-Tubulin (Lys40),Src,EGFR_pY1068,14-3-3_beta,RSK1-2-3,p38_pT180_Y182,PRDX1
2847,12.0,5.0,45.0,46.0,0.0,76.0,20.0,70.0,44.0,26.0,107.0,22.0,33.0,10.0,8.0,54.0,25.0,60.0,51.0,23.0,160.0,47.0,39.0,43.0,24.0,145.0,41.0,3.0,85.0,83.0
2896,16.0,8.0,7.0,39.0,6.0,52.0,18.0,32.0,115.0,34.0,11.0,4.0,53.0,15.0,5.0,81.0,31.0,87.0,79.0,45.0,121.0,61.0,26.0,12.0,47.0,153.0,44.0,59.0,43.0,91.0
2945,40.0,11.0,24.0,49.0,43.0,113.0,63.0,5.0,48.0,64.0,74.0,8.0,29.0,32.0,13.0,62.0,163.0,22.0,1.0,25.0,9.0,120.0,18.0,12.0,50.0,148.0,132.0,54.0,46.0,93.0
2994,19.0,12.0,17.0,39.0,18.0,51.0,34.0,3.0,66.0,15.0,67.0,64.0,5.0,50.0,90.0,7.0,21.0,4.0,76.0,38.0,20.0,86.0,14.0,24.0,119.0,46.0,84.0,11.0,54.0,99.0
3043,10.0,40.0,30.0,11.0,0.0,16.0,33.0,37.0,23.0,72.0,62.0,26.0,49.0,117.0,121.0,63.0,68.0,103.0,136.0,31.0,24.0,98.0,18.0,20.0,126.0,89.0,36.0,70.0,41.0,17.0
3092,13.0,70.0,16.0,21.0,24.0,30.0,48.0,38.0,45.0,29.0,26.0,41.0,144.0,102.0,142.0,50.0,66.0,126.0,23.0,110.0,17.0,7.0,131.0,37.0,101.0,51.0,95.0,68.0,83.0,33.0
3141,8.0,73.0,15.0,37.0,19.0,72.0,66.0,45.0,89.0,16.0,30.0,1.0,132.0,20.0,81.0,17.0,38.0,55.0,21.0,68.0,25.0,109.0,29.0,130.0,77.0,51.0,86.0,64.0,57.0,26.0
3190,8.0,13.0,27.0,40.0,95.0,64.0,53.0,47.0,41.0,24.0,57.0,20.0,61.0,86.0,23.0,38.0,43.0,80.0,118.0,34.0,158.0,94.0,92.0,123.0,19.0,63.0,89.0,50.0,56.0,25.0
3239,18.0,26.0,47.0,31.0,12.0,40.0,68.0,49.0,63.0,16.0,45.0,36.0,39.0,164.0,25.0,37.0,30.0,131.0,7.0,74.0,51.0,136.0,121.0,137.0,56.0,60.0,52.0,42.0,111.0,95.0
3288,8.0,31.0,56.0,27.0,147.0,24.0,46.0,28.0,62.0,25.0,44.0,71.0,34.0,3.0,30.0,89.0,53.0,49.0,36.0,22.0,16.0,145.0,113.0,101.0,129.0,103.0,43.0,104.0,61.0,18.0
3337,4.0,14.0,11.0,39.0,8.0,24.0,81.0,27.0,33.0,88.0,37.0,28.0,36.0,41.0,147.0,10.0,62.0,85.0,108.0,15.0,55.0,22.0,79.0,42.0,86.0,109.0,110.0,76.0,80.0,51.0
3386,4.0,33.0,46.0,39.0,144.0,89.0,40.0,5.0,16.0,43.0,58.0,60.0,50.0,119.0,8.0,150.0,25.0,79.0,22.0,12.0,2.0,44.0,18.0,81.0,99.0,67.0,19.0,83.0,32.0,76.0
3435,13.0,19.0,14.0,42.0,15.0,86.0,63.0,2.0,36.0,29.0,6.0,23.0,137.0,123.0,0.0,32.0,160.0,12.0,39.0,82.0,136.0,53.0,111.0,128.0,22.0,78.0,164.0,64.0,37.0,90.0
