,hsa-miR-574-5p,hsa-miR-22,hsa-miR-142-5p,hsa-miR-21,hsa-let-7e,hsa-miR-548m,hsa-miR-2117,hsa-miR-24,hsa-miR-2115,hsa-miR-10a,kshv-miR-K12-4-3p,hsa-miR-545,hsa-miR-151-3p,hsa-miR-766,hsa-miR-193a-5p,hsa-miR-521,hsa-miR-92a,hsa-miR-31,hsa-miR-224,hsa-miR-30a,hsa-miR-711,hsa-miR-34a,hsa-miR-1255a,hsa-miR-206,hsa-miR-1269,hsa-miR-520a-5p,hsa-miR-602,hsa-miR-675,hsa-miR-378,hsa-miR-1308
2317,28.0,7.0,3.0,1.0,0.0,5.0,9.0,2.0,24.0,511.0,47.0,8.0,13.0,11.0,32.0,57.0,76.0,477.0,21.0,328.0,23.0,167.0,198.0,16.0,346.0,175.0,201.0,78.0,297.0,458.0
2366,2.0,5.0,7.0,1.0,0.0,12.0,16.0,4.0,29.0,31.0,70.0,9.0,42.0,20.0,14.0,22.0,11.0,142.0,374.0,34.0,3.0,260.0,32.0,80.0,38.0,18.0,123.0,420.0,98.0,153.0
2415,5.0,14.0,9.0,0.0,7.0,6.0,1.0,2.0,23.0,26.0,47.0,28.0,140.0,114.0,3.0,13.0,32.0,85.0,35.0,8.0,578.0,10.0,160.0,525.0,77.0,248.0,61.0,39.0,161.0,501.0
2464,12.0,3.0,1.0,5.0,6.0,0.0,14.0,8.0,2.0,74.0,23.0,4.0,60.0,34.0,22.0,48.0,95.0,137.0,52.0,40.0,73.0,45.0,27.0,138.0,67.0,78.0,151.0,140.0,54.0,387.0
2513,5.0,1.0,3.0,0.0,17.0,4.0,27.0,111.0,2.0,51.0,29.0,38.0,208.0,6.0,74.0,49.0,66.0,298.0,86.0,73.0,7.0,476.0,20.0,53.0,11.0,85.0,81.0,48.0,47.0,62.0
2562,0.0,2.0,1.0,10.0,11.0,6.0,5.0,12.0,3.0,4.0,9.0,7.0,27.0,18.0,41.0,62.0,196.0,102.0,28.0,67.0,22.0,357.0,19.0,119.0,63.0,177.0,69.0,94.0,59.0,8.0
2611,1.0,5.0,0.0,4.0,7.0,3.0,14.0,15.0,2.0,75.0,10.0,13.0,377.0,6.0,166.0,19.0,25.0,23.0,101.0,39.0,27.0,181.0,12.0,278.0,549.0,291.0,94.0,11.0,36.0,143.0
2660,5.0,4.0,0.0,6.0,2.0,3.0,9.0,11.0,1.0,86.0,154.0,14.0,331.0,19.0,41.0,58.0,7.0,46.0,8.0,16.0,100.0,196.0,13.0,136.0,134.0,31.0,117.0,174.0,61.0,29.0
2709,0.0,22.0,1.0,3.0,7.0,5.0,23.0,8.0,2.0,100.0,37.0,40.0,21.0,89.0,52.0,48.0,34.0,20.0,59.0,86.0,69.0,191.0,12.0,517.0,98.0,49.0,92.0,29.0,319.0,41.0
2758,2.0,13.0,0.0,4.0,15.0,14.0,42.0,8.0,1.0,9.0,32.0,11.0,68.0,38.0,6.0,62.0,54.0,480.0,7.0,18.0,25.0,67.0,3.0,197.0,19.0,16.0,84.0,10.0,196.0,247.0
2807,0.0,2.0,1.0,7.0,5.0,3.0,6.0,18.0,4.0,152.0,14.0,15.0,56.0,33.0,8.0,237.0,23.0,211.0,58.0,13.0,10.0,619.0,9.0,187.0,24.0,22.0,49.0,212.0,27.0,90.0
2856,0.0,2.0,5.0,4.0,3.0,10.0,6.0,23.0,1.0,176.0,27.0,19.0,22.0,20.0,30.0,351.0,71.0,48.0,137.0,11.0,36.0,229.0,8.0,469.0,82.0,25.0,167.0,219.0,39.0,87.0
2905,4.0,0.0,5.0,2.0,3.0,1.0,7.0,8.0,10.0,52.0,345.0,135.0,204.0,158.0,57.0,247.0,35.0,11.0,16.0,15.0,34.0,113.0,28.0,13.0,36.0,9.0,474.0,147.0,76.0,435.0
2954,2.0,7.0,3.0,0.0,10.0,38.0,1.0,5.0,13.0,48.0,9.0,44.0,97.0,6.0,317.0,31.0,159.0,130.0,333.0,15.0,257.0,66.0,182.0,16.0,8.0,34.0,100.0,71.0,217.0,19.0
3003,2.0,4.0,5.0,0.0,1.0,21.0,6.0,3.0,27.0,16.0,12.0,22.0,11.0,34.0,18.0,25.0,36.0,13.0,17.0,32.0,622.0,15.0,114.0,43.0,26.0,14.0,48.0,19.0,298.0,269.0
3052,3.0,5.0,34.0,1.0,10.0,0.0,2.0,6.0,78.0,63.0,9.0,105.0,35.0,4.0,19.0,24.0,76.0,164.0,160.0,80.0,126.0,14.0,43.0,11.0,391.0,22.0,65.0,72.0,314.0,129.0
3101,2.0,1.0,10.0,0.0,8.0,6.0,3.0,7.0,45.0,35.0,102.0,53.0,36.0,30.0,13.0,15.0,16.0,145.0,64.0,11.0,17.0,21.0,158.0,39.0,33.0,19.0,27.0,108.0,347.0,191.0
3150,0.0,1.0,6.0,2.0,4.0,17.0,5.0,3.0,55.0,16.0,8.0,28.0,7.0,30.0,11.0,48.0,10.0,20.0,15.0,14.0,12.0,21.0,270.0,27.0,74.0,29.0,13.0,26.0,41.0,593.0
3199,0.0,4.0,55.0,6.0,3.0,1.0,5.0,7.0,14.0,325.0,45.0,144.0,8.0,16.0,17.0,11.0,2.0,46.0,29.0,83.0,12.0,20.0,66.0,9.0,120.0,71.0,31.0,86.0,213.0,26.0
3248,0.0,4.0,23.0,27.0,3.0,5.0,1.0,9.0,15.0,90.0,2.0,313.0,59.0,39.0,68.0,302.0,6.0,84.0,52.0,71.0,31.0,8.0,303.0,160.0,106.0,26.0,18.0,11.0,430.0,146.0
3297,1.0,4.0,78.0,0.0,12.0,3.0,2.0,10.0,16.0,193.0,5.0,41.0,82.0,25.0,35.0,100.0,6.0,22.0,29.0,66.0,8.0,79.0,69.0,18.0,543.0,54.0,52.0,171.0,498.0,89.0
3346,1.0,3.0,4.0,13.0,5.0,0.0,6.0,2.0,12.0,57.0,7.0,119.0,100.0,30.0,22.0,412.0,11.0,26.0,15.0,350.0,74.0,52.0,41.0,39.0,81.0,37.0,17.0,56.0,339.0,8.0
3395,3.0,21.0,20.0,0.0,14.0,13.0,2.0,1.0,6.0,15.0,9.0,144.0,7.0,19.0,11.0,12.0,5.0,31.0,38.0,27.0,342.0,95.0,8.0,181.0,34.0,62.0,68.0,481.0,622.0,4.0
3444,10.0,5.0,8.0,1.0,7.0,2.0,0.0,80.0,9.0,3.0,209.0,15.0,23.0,109.0,26.0,4.0,600.0,195.0,485.0,68.0,40.0,92.0,11.0,45.0,13.0,54.0,6.0,28.0,154.0,17.0
3493,3.0,4.0,7.0,1.0,0.0,2.0,9.0,54.0,23.0,5.0,117.0,11.0,37.0,91.0,501.0,8.0,47.0,12.0,44.0,19.0,10.0,151.0,6.0,133.0,214.0,34.0,33.0,32.0,17.0,62.0
3542,6.0,1.0,13.0,3.0,12.0,0.0,2.0,153.0,38.0,5.0,114.0,9.0,88.0,22.0,35.0,4.0,289.0,25.0,538.0,43.0,94.0,45.0,11.0,19.0,8.0,24.0,46.0,14.0,39.0,243.0
3591,3.0,4.0,5.0,0.0,11.0,1.0,2.0,91.0,22.0,18.0,30.0,12.0,28.0,17.0,147.0,36.0,23.0,20.0,120.0,8.0,31.0,428.0,6.0,151.0,163.0,25.0,19.0,79.0,301.0,21.0
3640,4.0,6.0,2.0,0.0,11.0,1.0,5.0,16.0,29.0,9.0,104.0,47.0,462.0,37.0,126.0,71.0,10.0,8.0,21.0,13.0,33.0,38.0,7.0,204.0,62.0,24.0,26.0,19.0,208.0,18.0
3689,1.0,11.0,3.0,0.0,6.0,2.0,8.0,17.0,12.0,4.0,268.0,16.0,38.0,65.0,158.0,18.0,53.0,9.0,226.0,19.0,5.0,230.0,7.0,568.0,128.0,206.0,36.0,23.0,61.0,60.0
3738,0.0,6.0,3.0,1.0,11.0,2.0,5.0,98.0,7.0,4.0,151.0,45.0,231.0,14.0,268.0,33.0,120.0,21.0,362.0,9.0,12.0,469.0,15.0,50.0,86.0,270.0,197.0,20.0,28.0,96.0
3787,3.0,2.0,5.0,0.0,4.0,1.0,7.0,20.0,8.0,10.0,145.0,41.0,241.0,16.0,232.0,46.0,26.0,14.0,19.0,57.0,18.0,32.0,6.0,515.0,101.0,40.0,11.0,36.0,39.0,186.0
3836,1.0,3.0,4.0,0.0,5.0,7.0,10.0,22.0,8.0,2.0,212.0,407.0,354.0,17.0,47.0,11.0,132.0,52.0,19.0,18.0,12.0,419.0,9.0,151.0,99.0,63.0,14.0,39.0,61.0,116.0
3885,3.0,14.0,73.0,0.0,10.0,1.0,21.0,20.0,5.0,2.0,85.0,137.0,36.0,4.0,49.0,43.0,317.0,8.0,50.0,193.0,373.0,270.0,13.0,106.0,37.0,178.0,6.0,362.0,30.0,481.0
3934,8.0,2.0,10.0,12.0,0.0,4.0,38.0,23.0,5.0,7.0,28.0,148.0,30.0,587.0,24.0,15.0,3.0,6.0,44.0,9.0,133.0,115.0,164.0,31.0,73.0,223.0,142.0,20.0,1.0,245.0
3983,1.0,4.0,0.0,19.0,5.0,9.0,36.0,10.0,6.0,24.0,11.0,14.0,40.0,356.0,459.0,283.0,2.0,8.0,39.0,12.0,22.0,105.0,18.0,15.0,25.0,208.0,505.0,211.0,3.0,54.0
4032,1.0,2.0,0.0,9.0,6.0,5.0,23.0,4.0,20.0,24.0,27.0,198.0,172.0,99.0,552.0,106.0,3.0,8.0,7.0,12.0,17.0,28.0,62.0,119.0,14.0,219.0,91.0,102.0,13.0,33.0
4081,4.0,6.0,3.0,21.0,2.0,5.0,93.0,15.0,7.0,34.0,12.0,400.0,37.0,623.0,95.0,299.0,0.0,11.0,67.0,13.0,125.0,218.0,26.0,60.0,62.0,65.0,279.0,145.0,8.0,132.0
4130,8.0,4.0,3.0,412.0,0.0,2.0,39.0,10.0,6.0,9.0,82.0,64.0,28.0,25.0,256.0,169.0,1.0,65.0,55.0,5.0,162.0,482.0,77.0,33.0,7.0,71.0,329.0,474.0,27.0,35.0
4179,6.0,2.0,5.0,18.0,0.0,1.0,77.0,9.0,46.0,35.0,130.0,29.0,4.0,24.0,12.0,290.0,3.0,37.0,30.0,27.0,573.0,33.0,137.0,20.0,7.0,194.0,317.0,145.0,16.0,39.0
4228,1.0,4.0,2.0,8.0,0.0,5.0,15.0,12.0,7.0,3.0,18.0,630.0,22.0,17.0,88.0,37.0,13.0,11.0,10.0,586.0,86.0,230.0,20.0,620.0,9.0,141.0,69.0,182.0,6.0,44.0
4277,0.0,2.0,8.0,7.0,1.0,4.0,29.0,16.0,25.0,20.0,219.0,179.0,85.0,105.0,107.0,279.0,503.0,24.0,15.0,5.0,436.0,30.0,19.0,96.0,6.0,26.0,127.0,604.0,42.0,68.0
4326,6.0,5.0,2.0,14.0,0.0,3.0,135.0,182.0,12.0,35.0,17.0,67.0,15.0,42.0,108.0,77.0,97.0,87.0,38.0,219.0,4.0,28.0,61.0,33.0,1.0,21.0,126.0,8.0,19.0,588.0
4375,0.0,2.0,6.0,1.0,3.0,12.0,20.0,13.0,9.0,132.0,16.0,24.0,29.0,593.0,36.0,7.0,100.0,5.0,42.0,183.0,4.0,15.0,194.0,46.0,10.0,187.0,103.0,164.0,201.0,37.0
4424,1.0,4.0,0.0,5.0,2.0,6.0,13.0,3.0,7.0,68.0,30.0,20.0,38.0,18.0,9.0,50.0,44.0,156.0,8.0,246.0,27.0,24.0,365.0,449.0,125.0,25.0,32.0,99.0,216.0,12.0
4473,0.0,4.0,3.0,9.0,1.0,5.0,6.0,2.0,11.0,81.0,47.0,21.0,65.0,16.0,18.0,80.0,41.0,48.0,7.0,144.0,20.0,69.0,448.0,157.0,168.0,94.0,66.0,13.0,55.0,32.0
4522,2.0,4.0,3.0,67.0,1.0,6.0,5.0,0.0,61.0,8.0,22.0,7.0,23.0,13.0,17.0,26.0,38.0,45.0,79.0,272.0,53.0,101.0,244.0,536.0,367.0,209.0,31.0,14.0,77.0,49.0
4571,4.0,1.0,0.0,17.0,2.0,5.0,6.0,3.0,14.0,12.0,49.0,7.0,153.0,9.0,23.0,267.0,113.0,55.0,37.0,143.0,114.0,48.0,45.0,527.0,101.0,56.0,51.0,20.0,287.0,62.0
4620,4.0,0.0,5.0,7.0,3.0,8.0,11.0,1.0,20.0,2.0,31.0,6.0,21.0,14.0,24.0,293.0,23.0,13.0,151.0,98.0,233.0,63.0,528.0,199.0,393.0,300.0,34.0,15.0,53.0,41.0
4669,0.0,1.0,5.0,11.0,4.0,6.0,21.0,2.0,12.0,3.0,13.0,9.0,377.0,16.0,14.0,271.0,30.0,26.0,10.0,35.0,86.0,276.0,65.0,138.0,53.0,557.0,19.0,15.0,478.0,77.0
4718,0.0,1.0,9.0,4.0,6.0,3.0,5.0,13.0,10.0,2.0,37.0,11.0,105.0,25.0,83.0,175.0,14.0,21.0,8.0,50.0,43.0,167.0,74.0,155.0,54.0,30.0,7.0,17.0,23.0,20.0
4767,6.0,3.0,8.0,2.0,0.0,5.0,40.0,9.0,10.0,14.0,17.0,1.0,16.0,39.0,25.0,31.0,7.0,30.0,11.0,54.0,629.0,167.0,26.0,57.0,18.0,143.0,48.0,34.0,212.0,211.0
4816,0.0,3.0,8.0,2.0,1.0,14.0,11.0,5.0,7.0,9.0,58.0,13.0,23.0,10.0,33.0,102.0,6.0,27.0,48.0,53.0,35.0,123.0,54.0,533.0,22.0,328.0,45.0,21.0,70.0,38.0
4865,0.0,1.0,3.0,4.0,2.0,67.0,5.0,14.0,6.0,10.0,76.0,26.0,8.0,33.0,424.0,31.0,21.0,78.0,32.0,240.0,95.0,48.0,532.0,77.0,73.0,9.0,27.0,23.0,13.0,65.0
