,C34:4 PC,3-phosphoglycerate,inositol,uridine,glutamine,asparagine,malondialdehyde,GABA,serotonin,palmitoylcarnitine,C56:5 TAG,acetylcholine,butyrylcarnitine/isobutyrylcarnitine,beta-alanine,creatinine,creatine,2-deoxyadenosine,5-HIAA,sarcosine,2-deoxycytidine,cotinine,C36:1 DAG,uracil,C22:6 CE,alpha-glycerophosphate,dCMP,hypoxanthine,isocitrate,phosphocreatine,DHAP/glyceraldehyde 3P
27,22.0,14.0,35.0,1.0,53.0,3.0,34.0,6.0,4.0,20.0,7.0,25.0,0.0,48.0,2.0,26.0,17.0,15.0,39.0,57.0,18.0,36.0,62.0,43.0,37.0,45.0,29.0,5.0,8.0,33.0
76,12.0,44.0,9.0,29.0,25.0,1.0,26.0,20.0,6.0,18.0,5.0,62.0,3.0,8.0,2.0,15.0,64.0,7.0,4.0,45.0,65.0,19.0,32.0,14.0,46.0,21.0,27.0,16.0,54.0,22.0
125,27.0,0.0,11.0,2.0,22.0,1.0,10.0,19.0,9.0,18.0,8.0,60.0,15.0,4.0,7.0,44.0,6.0,21.0,37.0,45.0,65.0,42.0,31.0,28.0,13.0,57.0,49.0,24.0,51.0,20.0
174,11.0,0.0,7.0,2.0,1.0,5.0,57.0,4.0,61.0,16.0,13.0,17.0,15.0,6.0,3.0,64.0,23.0,60.0,38.0,65.0,43.0,21.0,22.0,14.0,46.0,49.0,51.0,18.0,55.0,24.0
223,0.0,2.0,3.0,1.0,24.0,25.0,27.0,10.0,9.0,16.0,11.0,58.0,5.0,46.0,7.0,6.0,14.0,8.0,17.0,15.0,61.0,21.0,4.0,23.0,37.0,43.0,57.0,36.0,34.0,29.0
272,6.0,3.0,0.0,22.0,1.0,4.0,60.0,5.0,2.0,15.0,63.0,10.0,39.0,11.0,19.0,7.0,31.0,17.0,43.0,21.0,20.0,34.0,25.0,9.0,46.0,48.0,51.0,23.0,58.0,26.0
321,2.0,14.0,0.0,5.0,1.0,11.0,15.0,55.0,12.0,7.0,13.0,10.0,57.0,36.0,9.0,59.0,62.0,6.0,18.0,23.0,16.0,20.0,30.0,21.0,46.0,32.0,27.0,44.0,51.0,34.0
370,2.0,10.0,27.0,9.0,25.0,8.0,54.0,6.0,22.0,17.0,20.0,13.0,44.0,19.0,5.0,63.0,15.0,7.0,40.0,47.0,24.0,38.0,52.0,36.0,11.0,21.0,62.0,12.0,29.0,23.0
419,4.0,1.0,27.0,7.0,18.0,3.0,26.0,13.0,12.0,21.0,9.0,10.0,6.0,16.0,5.0,17.0,8.0,51.0,22.0,62.0,63.0,24.0,32.0,44.0,28.0,30.0,2.0,31.0,52.0,34.0
468,1.0,4.0,2.0,3.0,18.0,19.0,21.0,13.0,14.0,22.0,59.0,20.0,7.0,0.0,9.0,12.0,27.0,58.0,43.0,17.0,46.0,26.0,49.0,5.0,30.0,35.0,25.0,40.0,52.0,44.0
517,24.0,35.0,4.0,31.0,7.0,12.0,14.0,15.0,2.0,8.0,21.0,6.0,17.0,5.0,63.0,3.0,10.0,60.0,36.0,16.0,46.0,28.0,20.0,29.0,0.0,9.0,51.0,30.0,57.0,49.0
566,5.0,15.0,1.0,2.0,17.0,25.0,40.0,12.0,11.0,21.0,13.0,16.0,20.0,7.0,55.0,3.0,53.0,10.0,37.0,4.0,18.0,45.0,61.0,47.0,0.0,39.0,28.0,35.0,63.0,38.0
615,0.0,48.0,1.0,3.0,58.0,57.0,7.0,11.0,62.0,2.0,20.0,16.0,19.0,9.0,17.0,5.0,18.0,61.0,10.0,49.0,12.0,42.0,36.0,25.0,24.0,52.0,23.0,50.0,30.0,27.0
664,11.0,2.0,30.0,4.0,3.0,12.0,23.0,62.0,61.0,0.0,63.0,17.0,36.0,41.0,18.0,8.0,20.0,13.0,7.0,21.0,65.0,28.0,9.0,43.0,26.0,6.0,29.0,27.0,57.0,49.0
713,10.0,43.0,11.0,7.0,0.0,12.0,8.0,17.0,60.0,14.0,61.0,19.0,2.0,23.0,44.0,6.0,29.0,16.0,22.0,26.0,4.0,38.0,1.0,24.0,45.0,25.0,3.0,5.0,57.0,9.0
762,2.0,9.0,35.0,5.0,6.0,25.0,27.0,13.0,53.0,20.0,14.0,24.0,1.0,44.0,7.0,8.0,16.0,12.0,21.0,18.0,19.0,40.0,33.0,23.0,45.0,34.0,29.0,0.0,52.0,31.0
811,15.0,24.0,7.0,31.0,0.0,5.0,30.0,21.0,62.0,23.0,61.0,57.0,65.0,12.0,4.0,20.0,17.0,22.0,13.0,54.0,53.0,9.0,25.0,10.0,47.0,34.0,6.0,45.0,27.0,43.0
860,0.0,12.0,8.0,6.0,14.0,13.0,32.0,10.0,15.0,5.0,11.0,58.0,47.0,4.0,18.0,7.0,19.0,53.0,38.0,62.0,63.0,22.0,9.0,1.0,26.0,34.0,60.0,44.0,35.0,39.0
909,0.0,3.0,21.0,25.0,5.0,4.0,13.0,10.0,1.0,15.0,55.0,11.0,34.0,6.0,20.0,61.0,2.0,9.0,16.0,12.0,47.0,19.0,28.0,44.0,27.0,33.0,26.0,42.0,23.0,32.0
958,44.0,45.0,0.0,1.0,20.0,3.0,59.0,13.0,63.0,7.0,16.0,2.0,15.0,22.0,46.0,5.0,4.0,62.0,12.0,55.0,23.0,28.0,25.0,33.0,47.0,32.0,53.0,26.0,30.0,50.0
1007,3.0,5.0,12.0,24.0,1.0,19.0,20.0,15.0,0.0,30.0,14.0,2.0,18.0,40.0,17.0,16.0,23.0,63.0,43.0,22.0,11.0,26.0,56.0,31.0,46.0,10.0,8.0,25.0,58.0,9.0
1056,2.0,3.0,4.0,22.0,6.0,18.0,5.0,14.0,9.0,15.0,61.0,64.0,44.0,7.0,12.0,0.0,19.0,8.0,41.0,65.0,20.0,32.0,54.0,24.0,48.0,31.0,10.0,49.0,56.0,1.0
1105,13.0,25.0,37.0,3.0,19.0,6.0,27.0,14.0,1.0,7.0,16.0,17.0,15.0,21.0,18.0,62.0,20.0,12.0,50.0,4.0,22.0,41.0,36.0,9.0,8.0,51.0,59.0,39.0,0.0,29.0
1154,2.0,25.0,7.0,4.0,50.0,10.0,33.0,55.0,6.0,18.0,11.0,14.0,47.0,3.0,62.0,9.0,15.0,53.0,19.0,16.0,17.0,21.0,60.0,22.0,0.0,28.0,27.0,26.0,54.0,42.0
1203,0.0,9.0,1.0,2.0,18.0,19.0,21.0,14.0,15.0,36.0,60.0,23.0,34.0,3.0,29.0,64.0,13.0,59.0,37.0,16.0,22.0,41.0,53.0,43.0,48.0,24.0,8.0,11.0,55.0,25.0
1252,30.0,3.0,6.0,25.0,0.0,4.0,13.0,15.0,60.0,22.0,14.0,5.0,11.0,17.0,64.0,21.0,8.0,59.0,16.0,19.0,33.0,44.0,27.0,7.0,9.0,34.0,51.0,26.0,55.0,49.0
1301,20.0,8.0,2.0,4.0,0.0,35.0,7.0,54.0,53.0,37.0,14.0,18.0,47.0,23.0,6.0,19.0,25.0,13.0,10.0,22.0,63.0,15.0,58.0,45.0,44.0,32.0,1.0,9.0,31.0,27.0
1350,14.0,0.0,27.0,52.0,3.0,10.0,8.0,22.0,4.0,19.0,53.0,6.0,31.0,1.0,18.0,7.0,25.0,23.0,33.0,16.0,64.0,42.0,57.0,44.0,15.0,12.0,30.0,39.0,29.0,28.0
1399,15.0,0.0,12.0,25.0,1.0,3.0,2.0,19.0,54.0,33.0,18.0,17.0,31.0,6.0,61.0,60.0,4.0,53.0,34.0,64.0,47.0,42.0,26.0,44.0,10.0,30.0,7.0,43.0,23.0,8.0
1448,30.0,0.0,29.0,3.0,5.0,57.0,9.0,61.0,60.0,14.0,62.0,17.0,12.0,6.0,19.0,18.0,20.0,15.0,16.0,24.0,31.0,39.0,54.0,43.0,11.0,27.0,50.0,47.0,56.0,28.0
1497,0.0,2.0,6.0,4.0,13.0,12.0,10.0,14.0,58.0,9.0,15.0,18.0,17.0,20.0,5.0,63.0,46.0,57.0,16.0,21.0,55.0,8.0,7.0,24.0,3.0,26.0,50.0,47.0,29.0,49.0
1546,0.0,22.0,2.0,3.0,7.0,57.0,6.0,16.0,11.0,8.0,59.0,12.0,17.0,15.0,64.0,63.0,54.0,13.0,14.0,1.0,35.0,26.0,5.0,40.0,24.0,27.0,10.0,45.0,30.0,47.0
1595,0.0,37.0,4.0,7.0,12.0,13.0,5.0,60.0,59.0,16.0,8.0,35.0,43.0,10.0,28.0,26.0,33.0,58.0,15.0,46.0,55.0,40.0,3.0,42.0,1.0,48.0,27.0,34.0,11.0,30.0
1644,0.0,1.0,9.0,6.0,59.0,12.0,29.0,16.0,15.0,23.0,17.0,21.0,19.0,25.0,22.0,64.0,3.0,60.0,13.0,4.0,55.0,31.0,33.0,43.0,2.0,28.0,53.0,27.0,26.0,49.0
1693,0.0,21.0,1.0,6.0,17.0,58.0,2.0,20.0,15.0,16.0,12.0,10.0,33.0,4.0,19.0,18.0,28.0,61.0,38.0,8.0,65.0,25.0,3.0,40.0,23.0,26.0,22.0,46.0,29.0,49.0
1742,0.0,41.0,2.0,22.0,57.0,56.0,6.0,20.0,29.0,3.0,61.0,26.0,33.0,10.0,28.0,64.0,65.0,60.0,5.0,11.0,4.0,21.0,9.0,27.0,44.0,18.0,49.0,45.0,7.0,46.0
1791,0.0,2.0,33.0,29.0,52.0,35.0,1.0,17.0,26.0,20.0,11.0,27.0,65.0,5.0,15.0,14.0,16.0,63.0,47.0,18.0,55.0,3.0,7.0,42.0,24.0,25.0,10.0,23.0,31.0,61.0
1840,0.0,2.0,26.0,5.0,23.0,50.0,25.0,11.0,13.0,6.0,22.0,10.0,7.0,19.0,62.0,61.0,14.0,12.0,18.0,8.0,16.0,21.0,1.0,45.0,43.0,30.0,28.0,40.0,3.0,34.0
1889,2.0,0.0,1.0,4.0,57.0,12.0,8.0,14.0,48.0,7.0,51.0,16.0,49.0,3.0,65.0,17.0,15.0,13.0,6.0,22.0,18.0,44.0,32.0,10.0,9.0,26.0,62.0,46.0,24.0,34.0
1938,0.0,3.0,1.0,25.0,19.0,56.0,9.0,14.0,15.0,4.0,8.0,7.0,21.0,22.0,64.0,46.0,26.0,58.0,44.0,6.0,17.0,24.0,11.0,43.0,23.0,20.0,50.0,34.0,2.0,59.0
1987,0.0,14.0,3.0,7.0,5.0,22.0,26.0,53.0,2.0,35.0,54.0,58.0,18.0,37.0,60.0,10.0,15.0,8.0,36.0,62.0,16.0,34.0,1.0,4.0,33.0,28.0,27.0,46.0,32.0,41.0
2036,24.0,36.0,1.0,7.0,0.0,6.0,5.0,16.0,61.0,15.0,18.0,8.0,3.0,19.0,65.0,47.0,26.0,60.0,37.0,29.0,17.0,43.0,21.0,13.0,48.0,30.0,27.0,49.0,2.0,11.0
2085,3.0,2.0,32.0,33.0,1.0,54.0,9.0,27.0,52.0,5.0,0.0,65.0,19.0,4.0,60.0,8.0,7.0,51.0,44.0,21.0,63.0,15.0,30.0,45.0,35.0,22.0,13.0,43.0,11.0,28.0
2134,8.0,1.0,10.0,7.0,5.0,6.0,21.0,13.0,0.0,45.0,33.0,20.0,22.0,37.0,4.0,23.0,27.0,15.0,36.0,30.0,3.0,11.0,28.0,24.0,32.0,19.0,17.0,49.0,57.0,26.0
2183,0.0,45.0,7.0,5.0,1.0,13.0,12.0,21.0,9.0,16.0,59.0,19.0,18.0,11.0,64.0,63.0,46.0,22.0,15.0,2.0,34.0,29.0,28.0,25.0,3.0,27.0,30.0,47.0,10.0,31.0
2232,26.0,2.0,7.0,10.0,21.0,22.0,6.0,5.0,1.0,0.0,4.0,16.0,20.0,40.0,63.0,19.0,30.0,18.0,45.0,47.0,8.0,37.0,11.0,33.0,48.0,17.0,28.0,49.0,9.0,52.0
2281,0.0,2.0,8.0,9.0,6.0,39.0,7.0,55.0,24.0,3.0,1.0,25.0,4.0,36.0,19.0,20.0,61.0,54.0,17.0,62.0,18.0,14.0,26.0,13.0,41.0,23.0,59.0,35.0,32.0,51.0
2330,10.0,2.0,8.0,9.0,29.0,55.0,7.0,4.0,5.0,36.0,3.0,17.0,18.0,6.0,0.0,16.0,64.0,58.0,32.0,45.0,65.0,14.0,52.0,41.0,46.0,13.0,49.0,20.0,11.0,48.0
2379,0.0,15.0,10.0,23.0,11.0,14.0,1.0,21.0,16.0,8.0,9.0,18.0,36.0,41.0,64.0,63.0,47.0,12.0,20.0,19.0,29.0,37.0,24.0,33.0,48.0,6.0,27.0,25.0,2.0,30.0
2428,0.0,5.0,1.0,3.0,13.0,57.0,7.0,61.0,60.0,14.0,12.0,17.0,4.0,21.0,43.0,18.0,65.0,59.0,15.0,29.0,2.0,26.0,6.0,24.0,44.0,31.0,9.0,45.0,11.0,30.0
2477,4.0,1.0,0.0,2.0,25.0,28.0,52.0,10.0,54.0,6.0,11.0,8.0,48.0,21.0,14.0,13.0,9.0,53.0,45.0,15.0,17.0,23.0,31.0,47.0,40.0,30.0,27.0,3.0,35.0,43.0
2526,0.0,10.0,1.0,8.0,25.0,64.0,9.0,12.0,6.0,19.0,13.0,24.0,2.0,42.0,16.0,58.0,61.0,11.0,43.0,17.0,15.0,22.0,32.0,23.0,45.0,30.0,33.0,3.0,4.0,5.0
2575,0.0,2.0,8.0,10.0,7.0,16.0,18.0,6.0,3.0,1.0,5.0,23.0,9.0,27.0,26.0,54.0,21.0,13.0,40.0,31.0,22.0,20.0,24.0,14.0,45.0,48.0,52.0,12.0,11.0,19.0
2624,0.0,15.0,22.0,8.0,10.0,9.0,5.0,4.0,16.0,21.0,3.0,18.0,2.0,42.0,46.0,64.0,20.0,60.0,13.0,55.0,24.0,35.0,26.0,32.0,47.0,31.0,52.0,6.0,11.0,1.0
2673,0.0,3.0,9.0,4.0,6.0,19.0,12.0,22.0,11.0,14.0,2.0,13.0,1.0,16.0,46.0,64.0,20.0,60.0,15.0,30.0,32.0,31.0,56.0,29.0,25.0,47.0,33.0,26.0,24.0,48.0
2722,0.0,1.0,5.0,2.0,13.0,10.0,7.0,17.0,21.0,25.0,18.0,15.0,20.0,29.0,4.0,64.0,44.0,9.0,23.0,54.0,32.0,38.0,30.0,42.0,45.0,48.0,26.0,8.0,22.0,24.0
2771,0.0,2.0,1.0,36.0,3.0,58.0,56.0,16.0,61.0,4.0,62.0,11.0,21.0,39.0,20.0,47.0,14.0,17.0,38.0,18.0,6.0,27.0,34.0,8.0,24.0,49.0,28.0,9.0,30.0,26.0
