,C34:4 PC,3-phosphoglycerate,inositol,uridine,glutamine,asparagine,malondialdehyde,GABA,serotonin,palmitoylcarnitine,C56:5 TAG,acetylcholine,butyrylcarnitine/isobutyrylcarnitine,beta-alanine,creatinine,creatine,2-deoxyadenosine,5-HIAA,sarcosine,2-deoxycytidine,cotinine,C36:1 DAG,uracil,C22:6 CE,alpha-glycerophosphate,dCMP,hypoxanthine,isocitrate,phosphocreatine,DHAP/glyceraldehyde 3P
2820,2.0,3.0,7.0,57.0,18.0,6.0,21.0,5.0,0.0,39.0,4.0,13.0,1.0,9.0,25.0,43.0,65.0,16.0,38.0,12.0,14.0,17.0,27.0,40.0,44.0,47.0,19.0,15.0,8.0,22.0
2869,0.0,13.0,19.0,22.0,15.0,60.0,6.0,10.0,11.0,14.0,16.0,18.0,2.0,43.0,5.0,45.0,20.0,12.0,29.0,65.0,21.0,33.0,23.0,30.0,3.0,27.0,50.0,46.0,57.0,1.0
2918,0.0,35.0,8.0,9.0,3.0,11.0,18.0,17.0,1.0,2.0,62.0,6.0,12.0,44.0,55.0,21.0,29.0,15.0,13.0,14.0,19.0,10.0,4.0,42.0,47.0,25.0,22.0,28.0,57.0,24.0
2967,0.0,7.0,3.0,32.0,2.0,12.0,1.0,14.0,53.0,44.0,55.0,18.0,37.0,21.0,8.0,19.0,20.0,4.0,23.0,62.0,5.0,41.0,30.0,9.0,33.0,28.0,63.0,35.0,26.0,27.0
3016,10.0,2.0,1.0,28.0,24.0,22.0,8.0,19.0,20.0,6.0,59.0,5.0,38.0,7.0,3.0,4.0,26.0,21.0,40.0,45.0,65.0,27.0,30.0,0.0,12.0,18.0,49.0,13.0,11.0,14.0
3065,15.0,9.0,0.0,28.0,4.0,3.0,8.0,19.0,53.0,14.0,55.0,5.0,13.0,36.0,16.0,59.0,7.0,20.0,35.0,62.0,63.0,11.0,27.0,2.0,1.0,46.0,41.0,12.0,32.0,10.0
3114,45.0,2.0,9.0,5.0,21.0,1.0,23.0,16.0,17.0,35.0,61.0,0.0,42.0,46.0,20.0,19.0,24.0,18.0,33.0,26.0,3.0,11.0,6.0,36.0,50.0,12.0,54.0,10.0,58.0,28.0
3163,18.0,24.0,0.0,29.0,9.0,8.0,6.0,13.0,12.0,22.0,14.0,2.0,57.0,7.0,4.0,17.0,20.0,5.0,39.0,60.0,61.0,16.0,31.0,1.0,27.0,34.0,59.0,28.0,26.0,33.0
3212,1.0,9.0,2.0,5.0,6.0,20.0,0.0,16.0,51.0,43.0,15.0,3.0,37.0,13.0,59.0,11.0,8.0,7.0,12.0,62.0,63.0,21.0,50.0,39.0,35.0,29.0,58.0,31.0,4.0,27.0
3261,9.0,0.0,5.0,7.0,32.0,21.0,4.0,18.0,59.0,1.0,60.0,16.0,17.0,33.0,14.0,3.0,6.0,58.0,43.0,11.0,65.0,12.0,8.0,23.0,15.0,47.0,50.0,19.0,10.0,29.0
3310,25.0,1.0,3.0,30.0,7.0,9.0,2.0,5.0,18.0,13.0,54.0,0.0,19.0,24.0,23.0,26.0,8.0,16.0,36.0,61.0,62.0,17.0,6.0,14.0,29.0,32.0,48.0,11.0,52.0,34.0
3359,8.0,1.0,4.0,27.0,12.0,51.0,3.0,2.0,13.0,20.0,54.0,0.0,41.0,11.0,9.0,15.0,17.0,6.0,36.0,62.0,63.0,14.0,28.0,45.0,25.0,30.0,61.0,26.0,33.0,5.0
3408,7.0,0.0,2.0,4.0,12.0,6.0,15.0,8.0,59.0,22.0,16.0,1.0,18.0,21.0,9.0,10.0,64.0,58.0,14.0,45.0,65.0,33.0,24.0,29.0,46.0,34.0,52.0,30.0,23.0,48.0
3457,4.0,16.0,26.0,1.0,18.0,3.0,63.0,10.0,52.0,7.0,12.0,13.0,9.0,2.0,58.0,57.0,60.0,0.0,6.0,22.0,62.0,19.0,31.0,21.0,27.0,35.0,47.0,45.0,28.0,5.0
3506,0.0,2.0,1.0,52.0,5.0,4.0,3.0,7.0,8.0,12.0,58.0,63.0,38.0,11.0,45.0,64.0,10.0,57.0,18.0,20.0,17.0,29.0,33.0,22.0,46.0,9.0,27.0,47.0,53.0,25.0
3555,11.0,27.0,30.0,1.0,9.0,7.0,29.0,17.0,16.0,20.0,53.0,18.0,25.0,23.0,19.0,59.0,3.0,0.0,24.0,62.0,8.0,26.0,4.0,15.0,46.0,41.0,40.0,44.0,52.0,33.0
3604,15.0,0.0,3.0,23.0,11.0,6.0,8.0,13.0,53.0,18.0,19.0,2.0,39.0,9.0,4.0,60.0,16.0,12.0,14.0,7.0,47.0,42.0,24.0,44.0,30.0,5.0,28.0,31.0,63.0,34.0
3653,1.0,25.0,4.0,2.0,20.0,7.0,39.0,14.0,54.0,6.0,15.0,17.0,23.0,37.0,18.0,65.0,19.0,53.0,36.0,61.0,3.0,44.0,31.0,46.0,43.0,9.0,49.0,41.0,0.0,32.0
3702,1.0,13.0,0.0,22.0,59.0,6.0,57.0,8.0,2.0,9.0,15.0,17.0,38.0,11.0,46.0,18.0,3.0,10.0,12.0,14.0,21.0,27.0,35.0,24.0,23.0,26.0,30.0,47.0,56.0,49.0
3751,11.0,25.0,1.0,5.0,3.0,0.0,7.0,4.0,53.0,35.0,55.0,17.0,8.0,12.0,61.0,60.0,15.0,21.0,36.0,14.0,9.0,22.0,6.0,45.0,44.0,32.0,47.0,28.0,52.0,10.0
3800,38.0,1.0,8.0,34.0,10.0,36.0,29.0,14.0,5.0,41.0,15.0,4.0,3.0,6.0,64.0,20.0,22.0,12.0,16.0,48.0,2.0,30.0,28.0,45.0,24.0,11.0,51.0,9.0,57.0,31.0
3849,10.0,1.0,8.0,55.0,59.0,7.0,23.0,5.0,61.0,2.0,4.0,63.0,19.0,25.0,14.0,3.0,45.0,6.0,22.0,11.0,65.0,38.0,9.0,15.0,46.0,13.0,12.0,47.0,24.0,49.0
3898,9.0,0.0,12.0,23.0,5.0,3.0,20.0,13.0,10.0,15.0,14.0,11.0,36.0,39.0,18.0,63.0,1.0,8.0,44.0,19.0,47.0,37.0,4.0,33.0,48.0,31.0,27.0,49.0,29.0,30.0
3947,32.0,0.0,8.0,24.0,19.0,5.0,7.0,4.0,16.0,18.0,62.0,64.0,6.0,22.0,15.0,3.0,45.0,61.0,20.0,65.0,23.0,34.0,25.0,10.0,46.0,26.0,51.0,47.0,57.0,49.0
3996,1.0,9.0,14.0,24.0,3.0,19.0,21.0,7.0,6.0,39.0,8.0,12.0,13.0,43.0,18.0,0.0,23.0,60.0,17.0,45.0,65.0,33.0,25.0,26.0,46.0,11.0,51.0,47.0,57.0,10.0
4045,0.0,14.0,1.0,10.0,12.0,58.0,8.0,62.0,61.0,34.0,16.0,63.0,15.0,13.0,64.0,6.0,45.0,19.0,11.0,30.0,65.0,38.0,32.0,4.0,3.0,47.0,51.0,46.0,56.0,48.0
4094,0.0,2.0,5.0,1.0,20.0,23.0,4.0,16.0,17.0,19.0,62.0,14.0,18.0,9.0,13.0,3.0,7.0,61.0,22.0,24.0,65.0,40.0,30.0,10.0,46.0,26.0,11.0,47.0,57.0,48.0
4143,3.0,20.0,0.0,21.0,9.0,8.0,7.0,12.0,59.0,18.0,13.0,63.0,2.0,36.0,64.0,6.0,54.0,58.0,11.0,5.0,19.0,24.0,31.0,1.0,22.0,47.0,4.0,45.0,28.0,48.0
4192,0.0,3.0,2.0,6.0,49.0,5.0,13.0,23.0,53.0,14.0,21.0,60.0,15.0,12.0,62.0,20.0,18.0,52.0,8.0,17.0,9.0,43.0,7.0,11.0,1.0,37.0,30.0,26.0,32.0,10.0
4241,0.0,14.0,1.0,27.0,10.0,9.0,17.0,7.0,11.0,18.0,12.0,58.0,23.0,6.0,60.0,13.0,62.0,52.0,19.0,15.0,64.0,43.0,30.0,21.0,2.0,3.0,28.0,26.0,47.0,37.0
4290,0.0,25.0,1.0,6.0,16.0,24.0,26.0,13.0,12.0,8.0,62.0,64.0,20.0,10.0,19.0,18.0,21.0,11.0,14.0,22.0,3.0,46.0,32.0,28.0,50.0,51.0,7.0,29.0,57.0,5.0
4339,0.0,13.0,22.0,1.0,5.0,10.0,58.0,21.0,61.0,8.0,14.0,47.0,39.0,4.0,2.0,17.0,19.0,12.0,11.0,20.0,65.0,28.0,3.0,25.0,48.0,50.0,6.0,26.0,24.0,51.0
4388,2.0,4.0,0.0,6.0,48.0,31.0,10.0,21.0,22.0,34.0,54.0,8.0,9.0,36.0,18.0,59.0,16.0,5.0,3.0,24.0,64.0,23.0,7.0,43.0,26.0,28.0,32.0,27.0,52.0,41.0
4437,13.0,1.0,27.0,6.0,5.0,4.0,3.0,10.0,8.0,20.0,11.0,58.0,47.0,37.0,14.0,23.0,16.0,52.0,36.0,62.0,17.0,22.0,30.0,45.0,9.0,28.0,61.0,29.0,25.0,33.0
4486,5.0,1.0,26.0,31.0,18.0,23.0,64.0,13.0,12.0,20.0,54.0,58.0,3.0,35.0,22.0,15.0,62.0,53.0,34.0,11.0,17.0,44.0,32.0,45.0,0.0,6.0,8.0,27.0,2.0,36.0
4535,8.0,45.0,9.0,7.0,1.0,13.0,29.0,17.0,23.0,2.0,24.0,6.0,12.0,43.0,4.0,46.0,22.0,62.0,44.0,26.0,25.0,40.0,10.0,42.0,0.0,5.0,30.0,27.0,58.0,28.0
4584,8.0,0.0,65.0,29.0,2.0,19.0,20.0,15.0,4.0,44.0,60.0,12.0,13.0,17.0,3.0,46.0,18.0,16.0,38.0,1.0,22.0,30.0,24.0,32.0,5.0,27.0,50.0,23.0,7.0,48.0
4633,22.0,0.0,26.0,33.0,1.0,17.0,64.0,12.0,6.0,46.0,53.0,14.0,7.0,4.0,16.0,23.0,24.0,11.0,5.0,62.0,63.0,8.0,30.0,47.0,44.0,29.0,37.0,36.0,35.0,43.0
4682,1.0,7.0,56.0,9.0,59.0,17.0,57.0,62.0,0.0,18.0,63.0,44.0,16.0,40.0,14.0,54.0,33.0,13.0,39.0,12.0,8.0,6.0,31.0,41.0,2.0,24.0,49.0,22.0,20.0,25.0
4731,17.0,1.0,27.0,3.0,7.0,24.0,26.0,21.0,2.0,11.0,20.0,16.0,10.0,38.0,9.0,5.0,12.0,52.0,37.0,62.0,23.0,19.0,4.0,45.0,29.0,32.0,36.0,30.0,53.0,28.0
4780,10.0,0.0,14.0,3.0,17.0,13.0,15.0,61.0,12.0,38.0,62.0,45.0,16.0,20.0,4.0,65.0,9.0,60.0,39.0,22.0,32.0,25.0,55.0,30.0,1.0,47.0,28.0,18.0,27.0,48.0
4829,3.0,4.0,5.0,2.0,7.0,15.0,6.0,61.0,21.0,14.0,10.0,45.0,20.0,16.0,19.0,18.0,9.0,60.0,42.0,29.0,41.0,25.0,56.0,24.0,1.0,12.0,27.0,46.0,22.0,49.0
4878,33.0,0.0,20.0,23.0,1.0,5.0,19.0,12.0,13.0,14.0,62.0,10.0,35.0,15.0,2.0,11.0,24.0,61.0,40.0,29.0,22.0,9.0,25.0,38.0,8.0,50.0,32.0,48.0,34.0,28.0
