,GATA3,Akt_pS473,beta-Catenin_pT41_S45,c-Myc,Rb,Gab2,Cyclin_E1,MDMX_MDM4(BetIHC-00108),EGFR,Src,Lck,RAD51,PKC-alpha,Src_pY416,A-Raf_pS299,TAZ,Caspase-7_cleavedD198,ADAR1,YAP_pS127,VEGFR2,IGFBP2,AMPK_pT172,Annexin 1,p62 Lck ligand,PI3K-p110-alpha,Paxillin,PI3K-p85,PEA15,PDK1,PDK1_pS241
1182,4.0,27.0,0.0,102.0,86.0,160.0,24.0,2.0,7.0,5.0,138.0,89.0,40.0,36.0,1.0,71.0,99.0,121.0,28.0,32.0,3.0,38.0,39.0,45.0,52.0,55.0,51.0,56.0,42.0,14.0
1231,4.0,122.0,39.0,108.0,3.0,20.0,14.0,6.0,15.0,42.0,22.0,70.0,11.0,89.0,35.0,5.0,130.0,34.0,61.0,36.0,28.0,125.0,40.0,23.0,2.0,16.0,81.0,85.0,87.0,86.0
1280,6.0,36.0,2.0,3.0,72.0,147.0,13.0,25.0,7.0,35.0,140.0,74.0,14.0,5.0,4.0,39.0,107.0,31.0,0.0,55.0,1.0,123.0,124.0,19.0,27.0,41.0,15.0,76.0,43.0,61.0
1329,1.0,38.0,6.0,2.0,84.0,14.0,151.0,36.0,11.0,9.0,29.0,82.0,43.0,23.0,5.0,72.0,101.0,4.0,17.0,8.0,10.0,34.0,33.0,28.0,12.0,48.0,45.0,44.0,47.0,59.0
1378,2.0,36.0,38.0,98.0,15.0,18.0,8.0,27.0,0.0,84.0,137.0,76.0,11.0,3.0,4.0,53.0,14.0,122.0,1.0,37.0,5.0,126.0,39.0,51.0,30.0,20.0,90.0,66.0,93.0,67.0
1427,18.0,33.0,2.0,20.0,7.0,146.0,153.0,10.0,158.0,25.0,139.0,85.0,3.0,5.0,9.0,70.0,106.0,35.0,8.0,62.0,6.0,30.0,29.0,4.0,57.0,43.0,74.0,38.0,40.0,41.0
1476,24.0,39.0,4.0,12.0,94.0,159.0,26.0,137.0,6.0,41.0,37.0,23.0,0.0,2.0,33.0,36.0,100.0,3.0,31.0,32.0,44.0,125.0,126.0,43.0,5.0,7.0,45.0,54.0,60.0,58.0
1525,6.0,33.0,9.0,3.0,1.0,147.0,153.0,25.0,22.0,11.0,28.0,17.0,10.0,21.0,0.0,5.0,106.0,36.0,62.0,4.0,2.0,122.0,123.0,47.0,31.0,58.0,42.0,39.0,40.0,38.0
1574,5.0,4.0,106.0,13.0,76.0,22.0,6.0,2.0,17.0,1.0,136.0,9.0,8.0,33.0,35.0,39.0,15.0,7.0,61.0,46.0,141.0,0.0,122.0,51.0,21.0,42.0,79.0,47.0,43.0,45.0
1623,22.0,6.0,27.0,14.0,86.0,160.0,25.0,141.0,153.0,1.0,3.0,24.0,10.0,19.0,32.0,2.0,18.0,4.0,7.0,65.0,34.0,35.0,36.0,26.0,48.0,49.0,47.0,59.0,54.0,52.0
1672,7.0,8.0,1.0,2.0,23.0,18.0,150.0,140.0,154.0,9.0,138.0,22.0,11.0,77.0,35.0,71.0,101.0,28.0,30.0,63.0,132.0,37.0,36.0,32.0,47.0,15.0,38.0,50.0,53.0,51.0
1721,4.0,7.0,105.0,21.0,76.0,3.0,154.0,8.0,17.0,1.0,23.0,79.0,16.0,2.0,118.0,30.0,13.0,33.0,43.0,36.0,6.0,124.0,125.0,5.0,18.0,48.0,90.0,78.0,42.0,56.0
1770,1.0,120.0,11.0,9.0,16.0,0.0,23.0,35.0,27.0,73.0,139.0,19.0,89.0,72.0,5.0,36.0,107.0,7.0,29.0,4.0,33.0,123.0,8.0,46.0,74.0,45.0,59.0,42.0,40.0,22.0
1819,3.0,8.0,1.0,16.0,77.0,161.0,150.0,140.0,24.0,0.0,12.0,79.0,9.0,6.0,115.0,31.0,105.0,34.0,54.0,45.0,2.0,29.0,32.0,15.0,47.0,39.0,61.0,40.0,36.0,35.0
1868,0.0,1.0,6.0,14.0,22.0,144.0,24.0,3.0,7.0,11.0,34.0,81.0,4.0,5.0,32.0,28.0,126.0,30.0,57.0,33.0,9.0,121.0,122.0,46.0,80.0,15.0,56.0,38.0,39.0,36.0
1917,18.0,31.0,97.0,12.0,4.0,148.0,153.0,34.0,24.0,26.0,39.0,62.0,23.0,30.0,32.0,2.0,107.0,3.0,42.0,66.0,145.0,33.0,35.0,13.0,63.0,45.0,90.0,61.0,47.0,43.0
1966,5.0,0.0,28.0,15.0,16.0,25.0,4.0,2.0,20.0,7.0,3.0,10.0,88.0,9.0,116.0,31.0,13.0,127.0,35.0,32.0,135.0,36.0,124.0,49.0,64.0,38.0,8.0,44.0,46.0,23.0
2015,5.0,2.0,18.0,102.0,3.0,17.0,4.0,27.0,7.0,77.0,139.0,0.0,28.0,76.0,29.0,36.0,22.0,121.0,62.0,15.0,1.0,37.0,33.0,51.0,38.0,47.0,35.0,40.0,43.0,44.0
