,Lapatinib_ActArea,Panobinostat_ActArea,Paclitaxel_ActArea,Irinotecan_ActArea,PD-0325901_ActArea,AZD6244_ActArea,Nilotinib_ActArea,AEW541_ActArea,17-AAG_ActArea,PHA-665752_ActArea,Nutlin-3_ActArea,AZD0530_ActArea,PF2341066_ActArea,L-685458_ActArea,ZD-6474_ActArea,Sorafenib_ActArea,LBW242_ActArea,PD-0332991_ActArea,PLX4720_ActArea,RAF265_ActArea,TAE684_ActArea,TKI258_ActArea,Erlotinib_ActArea,Lapatinib_ActArea_N,Panobinostat_ActArea_N,Paclitaxel_ActArea_N,Irinotecan_ActArea_N,PD-0325901_ActArea_N,AZD6244_ActArea_N,Nilotinib_ActArea_N,AEW541_ActArea_N,17-AAG_ActArea_N,PHA-665752_ActArea_N,Nutlin-3_ActArea_N,AZD0530_ActArea_N,PF2341066_ActArea_N,L-685458_ActArea_N,ZD-6474_ActArea_N,Sorafenib_ActArea_N,LBW242_ActArea_N,PD-0332991_ActArea_N,PLX4720_ActArea_N,RAF265_ActArea_N,TAE684_ActArea_N,TKI258_ActArea_N,Erlotinib_ActArea_N
STOMACH,,,,,,,,,0.8,,,,,0.5,0.7272727272727273,,,,,,,,,,,,,,,,,10,,,,,10,11,,,,,,,,
NERVOUS,,,,0.7272727272727273,0.875,,0.7272727272727273,0.625,0.6428571428571429,0.5714285714285714,0.6923076923076923,0.45454545454545453,0.5384615384615384,0.6666666666666666,0.8333333333333334,0.6470588235294118,0.42857142857142855,,0.5833333333333334,,0.4166666666666667,0.5714285714285714,,14,15,,11,16,13,11,16,14,14,13,11,13,15,12,17,14,,12,,12,14,15
OVARY,,0.46153846153846156,0.9166666666666666,,0.8181818181818182,0.7272727272727273,0.7272727272727273,0.7142857142857143,0.7857142857142857,,0.5,0.6153846153846154,0.7692307692307693,0.5454545454545454,,0.5,0.42857142857142855,0.9230769230769231,,0.8181818181818182,0.5,0.5,0.6666666666666666,,13,12,,11,11,11,14,14,,12,13,13,11,,10,14,13,,11,12,10,12
HAEMATOPOIETIC,0.5925925925925926,0.9428571428571428,0.8333333333333334,0.9583333333333334,0.9310344827586207,0.7407407407407407,0.8787878787878788,0.6538461538461539,0.6956521739130435,0.8235294117647058,0.6875,0.4411764705882353,0.8333333333333334,0.8571428571428571,0.6774193548387096,0.7222222222222222,0.4074074074074074,0.9090909090909091,0.5862068965517241,0.7272727272727273,0.7647058823529411,0.75,0.6666666666666666,27,35,36,24,29,27,33,26,23,34,32,34,36,35,31,36,27,33,29,33,34,36,27
SKIN,,0.5454545454545454,0.8666666666666667,0.6,0.8823529411764706,0.9411764705882353,,0.5833333333333334,0.7857142857142857,,0.46153846153846156,,0.7857142857142857,,,0.6,0.5384615384615384,0.6666666666666666,0.9444444444444444,0.6153846153846154,,0.8181818181818182,,15,11,15,10,17,17,,12,14,,13,12,14,,11,10,13,12,18,13,,11,11
LUNG,0.7291666666666666,0.8378378378378378,0.75,0.7333333333333333,0.9047619047619048,0.7872340425531915,0.6176470588235294,0.5714285714285714,0.6739130434782609,0.48936170212765956,0.5,0.4523809523809524,0.5526315789473685,0.47368421052631576,0.5909090909090909,0.5609756097560976,0.5319148936170213,0.5277777777777778,0.5686274509803921,0.6410256410256411,0.5434782608695652,0.5813953488372093,0.7111111111111111,48,37,44,15,42,47,34,42,46,47,42,42,38,38,44,41,47,36,51,39,46,43,45
BREAST,0.7857142857142857,0.6153846153846154,0.7142857142857143,0.6,,0.9230769230769231,0.25,0.5,0.42857142857142855,0.45454545454545453,0.6428571428571429,0.6,0.7333333333333333,0.46153846153846156,0.8571428571428571,0.5714285714285714,0.7333333333333333,0.46153846153846156,0.8,0.5833333333333334,0.9333333333333333,0.5294117647058824,0.8,14,13,14,10,15,13,12,12,14,11,14,15,15,13,14,14,15,13,15,12,15,17,15
PANCREAS,0.5833333333333334,,0.8,,0.8823529411764706,0.8,,0.5714285714285714,0.5833333333333334,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.3888888888888889,0.7333333333333333,0.7857142857142857,0.8666666666666667,0.625,,0.5833333333333334,0.8333333333333334,0.75,,0.5384615384615384,12,15,10,,17,15,13,14,12,15,14,14,18,15,14,15,16,,12,12,12,,13
LARGE_INTESTINE,0.8461538461538461,0.6363636363636364,0.7142857142857143,,1.0,0.9333333333333333,,0.7,0.42857142857142855,,0.4,,,0.4,0.75,0.5,,0.7,,0.5,,,0.8333333333333334,13,11,14,,14,15,,10,14,,10,,,10,12,12,,10,,12,,,12
OESOPHAGUS,0.9090909090909091,,0.7,,,,,0.2,,0.5,,0.7272727272727273,0.8333333333333334,,0.5,,,,,,,,0.9166666666666666,11,,10,,,,,10,,10,,11,12,,10,,,,,,,,12
LIVER,0.45454545454545453,,,,,,,,0.6,0.45454545454545453,,,,,,0.6,,,,,,,,11,,,,,,,,10,11,,,,,,10,,,,,,,
