,Lapatinib_ActArea,Panobinostat_ActArea,Paclitaxel_ActArea,Irinotecan_ActArea,PD-0325901_ActArea,AZD6244_ActArea,Nilotinib_ActArea,AEW541_ActArea,17-AAG_ActArea,PHA-665752_ActArea,Nutlin-3_ActArea,AZD0530_ActArea,PF2341066_ActArea,L-685458_ActArea,ZD-6474_ActArea,Sorafenib_ActArea,LBW242_ActArea,PD-0332991_ActArea,PLX4720_ActArea,RAF265_ActArea,TAE684_ActArea,TKI258_ActArea,Erlotinib_ActArea
STOMACH,,,,,,,,,0.7916666666666667,,,,,0.4642857142857143,0.6041666666666666,,,,,,,,
NERVOUS,,,,0.6388888888888888,0.6666666666666666,,0.4444444444444444,0.5,0.6333333333333333,0.475,0.5888888888888889,0.3857142857142857,0.475,0.4166666666666667,0.45454545454545453,0.5096153846153846,0.25,,0.5833333333333333,,0.35714285714285715,0.5416666666666666,
OVARY,,0.4285714285714286,0.875,,0.75,0.625,0.6041666666666666,0.5757575757575758,0.7,,0.375,0.6071428571428572,0.6166666666666667,0.48214285714285715,,0.45238095238095233,0.4285714285714286,0.75,,0.85,0.4375,0.5,0.6857142857142857
HAEMATOPOIETIC,0.4,0.5,0.5,0.5,0.9375,0.7244318181818181,0.5,0.5261437908496732,0.6222222222222222,0.5654761904761905,0.5972222222222222,0.40175438596491225,0.5,0.5,0.5659090909090909,0.48148148148148145,0.4722222222222222,0.5,0.5421052631578948,0.6818181818181819,0.5,0.46551724137931033,0.6111111111111112
SKIN,,0.5357142857142857,0.8166666666666667,0.5416666666666667,0.5,0.5,,0.5833333333333333,0.7708333333333333,,0.4875,,0.625,,,0.6000000000000001,0.5238095238095238,0.4444444444444444,0.5,0.4444444444444444,,0.8035714285714286,
LUNG,0.7132107023411371,0.7933333333333333,0.7267206477732794,0.7321428571428572,0.9105882352941177,0.7823529411764706,0.5559440559440559,0.5675057208237986,0.676923076923077,0.46825396825396826,0.4642105263157895,0.44565217391304346,0.5280112044817927,0.45170454545454547,0.5773809523809523,0.5070588235294118,0.5402930402930404,0.4714285714285714,0.5287356321839081,0.5785714285714286,0.529891304347826,0.5405982905982906,0.7104743083003953
BREAST,0.7,0.6190476190476191,0.6,0.42857142857142855,,0.9583333333333333,0.25,0.4444444444444444,0.375,0.3125,0.375,0.6,0.4583333333333333,0.45238095238095233,0.75,0.5833333333333333,0.7321428571428572,0.4642857142857143,0.46153846153846156,0.5,0.75,0.44696969696969696,0.85
PANCREAS,0.6428571428571428,,0.6875,,0.46875,0.42857142857142855,,0.5333333333333333,0.5571428571428572,0.3214285714285714,0.4444444444444444,0.45,0.3701298701298701,0.6,0.8333333333333333,0.8611111111111112,0.6333333333333333,,0.6142857142857143,0.7,0.5,,0.5476190476190476
LARGE_INTESTINE,0.75,0.4375,0.75,,1.0,0.5,,0.3888888888888889,0.3,,0.4,,,0.4,0.611111111111111,0.4375,,0.5952380952380952,,0.4571428571428572,,,0.75
OESOPHAGUS,0.5,,0.625,,,,,0.14285714285714285,,0.35714285714285715,,0.4444444444444444,0.6666666666666666,,0.4166666666666667,,,,,,,,0.5
LIVER,0.35714285714285715,,,,,,,,0.375,0.43333333333333335,,,,,,0.625,,,,,,,
